	TH03_0106_S01	TH34_1150_S01	TH34_1150_S02	TH34_1162_S01	TH27_1168_S01	TH06_1171_S01	TH34_1240_S01	TH27_1266_S01	TH27_1270_S01	TH27_1358_S01	THR31_1384_S01	TH03_0014_S01	TH27_1406_S01	TH03_0157_S01	TH06_0615_S01	TH27_0691_S01	TH27_0696_S01	THR30_0804_S01	THR30_0805_S01	THR30_0806_S01	THR30_0807_S01	THR30_0808_S01	THR30_0809_S01	THR30_0810_S01	THR30_0811_S01	THR30_0812_S01	THR30_0813_S01	THR30_0814_S01	THR30_0815_S01	THR30_0816_S01	THR30_0817_S01	THR30_0818_S01	THR30_0819_S01	THR30_0820_S01	THR30_0821_S01	THR30_0822_S01	THR30_0823_S01	THR30_0824_S01	THR30_0825_S01	THR30_0826_S01	THR30_0827_S01	THR30_0828_S01	THR30_0829_S01	THR30_0830_S01	THR30_0831_S01	THR30_0832_S01	THR30_0833_S01	THR30_0834_S01	THR30_0835_S01	THR30_0836_S01	THR30_0837_S01	THR30_0838_S01	THR30_0839_S01	THR30_0840_S01	THR30_0841_S01	THR30_0842_S01	THR30_0843_S01	THR30_0844_S01	THR30_0845_S01	THR30_0846_S01	THR30_0847_S01	THR30_0848_S01	THR30_0849_S01	THR30_0850_S01	THR30_0851_S01	THR30_0852_S01	THR30_0853_S01	THR30_0854_S01	THR30_0855_S01	THR30_0856_S01	THR30_0857_S01	THR30_0858_S01	THR30_0859_S01	THR30_0860_S01	THR30_0861_S01	THR30_0862_S01	THR30_0863_S01	THR30_0864_S01	THR30_0865_S01	THR31_0906_S01	THR31_0937_S01	THR32_0947_S01
Adipocytes	0.0418	0	0	0	0.0163	0	0	0.0046	0.0085	0	0	0.0024	0.0088	0	0.0154	0.0022	0	0.0037	0	0.0109	0.0121	0.0055	0.0104	0	0	0	0.0085	0	0.006	0.0065	0	0.0017	0.0024	0.0058	4e-04	0	0.0064	0.0035	0	0.005	0	0.0011	0.0122	0.0054	0	0.0047	0	0.0349	0	0	0.0038	4e-04	0.0086	0.008	0.0026	0.0752	0	0	0.0016	0	0	0.002	0.0023	0	0.0037	0	2e-04	0.0064	0.0019	0.003	0	0.0042	0.0019	0.0032	0.0034	0.0046	0	0	0	0	0	0
Astrocytes	0	0	0	0.0698	0.0373	0	0	0	0.0754	0.0056	0	0	0.1084	0	0	0	0	0.0067	0	0	0	0.024	0.0152	0.0448	0.0336	0	0.016	0	0	0	0	0	0	0.0163	0.0266	0	0	0	0.036	0	0	0.093	0	0.0021	0	0	0.0558	0	0	0	0	0	0.0403	0	0	0.0597	0	0	0	0	0.0313	0	0	0.0228	0	0.1099	0	0	0.0333	0	0	0.0204	0.0454	0	0.0348	0.006	0	0	0	0	0.0254	0
B-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0549	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0.0577	0.0805	0	0	0	0	0	0	0.0304	0	0	0	0.1334	0	0	0	0	0.0043	0	0	0	0	0	0	0.0527	0	0	0	0.0101	0.0023	0.0221	0	0	0
Basophils	0	0.2674	0.2114	0	0.2376	0.2601	0	0.2412	0.1392	0.2048	0.1375	0	0.1402	0.226	0	0.1142	0.1902	0.242	0.0754	0.2106	0.2083	0.1582	0.2462	0	0.1152	0.164	0.2627	0.2308	0.1104	0.2475	0.1139	0.1247	0.0574	0.0744	0.4486	0.1029	0.2517	0.2869	0	0.0683	0.2468	0.0075	0.2529	0.2425	0.2497	0.0855	0	0.146	0.1018	0.0811	0.0962	0	0	0.1384	0.0952	0	0	0.0318	0.1566	0.2807	0	0.2644	0.3167	0.161	0.3414	0.0061	0.2794	0.1635	0.1517	0.0152	0.0363	0.4031	0.1312	0.2308	0	0.3061	0	0.1055	0.1191	0	0.0471	0.2553
CD4+ T-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4+ Tcm	0	0.0444	0	0	0.0076	0.0177	0	0	0	0	0.0441	0	0	0	0	0	0	0.0075	0	0	0	0	0	0	0	0	0	0.0391	0	0	0.0549	5e-04	0.0324	0.0271	0	0.0161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0195	0.0077	0	0	0	0	0	0	0	0	0	0	0	0	0.0287	0	0.0307	0	0	0	0.0358	0	0	0	0.0243	0.0075	0	0.0312	0	0	0	0
CD4+ Tem	0	0	0	0.0022	0	0.0262	0	0	0	0	0	0	0	0	0	0	0	0.0207	0	0	0	0	0	0	0.0117	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0612	0	0	0	0
CD4+ memory T-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0239	0	0	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222	0	0	0	0.0184	0	0	0	0	0	0	0	0	0	0	0	0.0044	0	0	0	0.0109	0	0.0287	0	0	0
CD4+ naive T-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0038	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0172	0	0	0	0	0	0	0	0	0	0	0.0325	0	0	0	0	0.0037	0	0.0141	0	0	0	0	0	0	0	0	9e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD8+ T-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039	0	0	0	0	0	0	0	0	0	0	0.0346	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD8+ Tcm	0	0	0	0	0	0	0	0	0	0	0	0.0017	0	0	0	0	0	0	0	0	0	0	0	0	0.0875	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019	0.0041	0	0	0	0.0103	0	0	0	0	0	0.1633	0	0	0	0	0	0	0	0	0	0	0.078	0	0	0	0	0	0	0	0	0.0115	0	0	0	0	0	0	0	0.003	0	0	0	0
CD8+ Tem	0.0227	0	0	0.0145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0208	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0583	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0265	0.031	0	0	0	0.0055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023	0	0	0	0	0
CD8+ naive T-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0.0049	0	2e-04	0	0	0	0	0.0097	0	0	0	0	0.0072	0	0	0	0	0.0037	0	0	0	0	0	0	3e-04	0	0	0	0	0	0	0.0018	0	0.009	0	0	0	6e-04	0	0	0	0	0
CLP	0.0296	0.0188	0.0391	0.0098	0	0.0115	0.0272	0.0022	0.0142	0.0261	0	0.035	0.0249	0.0153	0.0274	0.027	0.0468	0.011	0.0437	0.0386	0.0213	0.0295	0.0084	0.0489	0.0067	0.029	0.0534	0.0252	0.0179	0.0537	0.0305	0.0158	0.0242	0.0213	0	0.0158	0.0337	0.029	0.019	0.0556	0.0473	0.025	0.024	0.0338	0.0633	0.0327	0.0374	0.0158	0	0.043	0.0496	0.0285	0.0293	0.0349	0.0272	0.0176	0.064	0.0658	0.018	0.0154	0	0.05	0.0375	0.0212	0.0233	0	0.0423	0.041	0.0238	0.0477	0.0553	0.0175	0.0685	0.0396	0.0117	0	0.0274	0.0357	0.0338	0.0132	0	0.0616
CMP	0	0.0334	0.0238	0.0157	0.0072	0	0	0.0442	0	0	0	0.0044	0	0.0093	0	0.0032	0	0	0.0264	0	0	0	0	0	0	0	0	0.0082	0	0	0	0.0215	0.0164	0.0104	0	0	0.0135	0	0.0029	0.0055	0	0	0	0	0	0	0	0	0	4e-04	0.0014	0.015	0.0417	0.002	0	0	0.0135	0.0172	0	0	0	0	0	0	0	0	0	0	0.0014	0.0356	0	0	0	0	0	0.0056	0.0217	0.033	0.007	0	0	0
Chondrocytes	0	0	0	0.0479	0.0608	0	0	0	0.0253	0	0	0.0365	0.1809	0	0.0125	0	0	0.0013	0	0.0278	0.0324	0	0.0728	0.0045	0.1206	0	5e-04	0	0	0	9e-04	0.0485	0	0.0084	0.0284	0	0	0	0.0671	0	0	0.2078	0.0149	0.0206	0.0025	2e-04	0.0897	0.038	0	0.0056	0.0046	0	0.0282	0	0.0165	0.1298	0	0	0.0543	0.0414	0.1191	0	0	0.0566	0	0.022	0	0.0288	0.0167	0	0	0	0.0126	0	0.0123	0	0.0702	0	0	0	0	0
Class-switched memory B-cells	0	0	0	0	0.0621	0.0368	0	0	0	0	0.1933	0	0	0.022	0	0	0	0	0	0	0	0	0	0	0.0484	0	0	0	0	0	0	0.0572	0.0936	0	0	0.0428	0	0.0148	0.0475	0	0	0	0	0	0	0	0	0	0.0025	0	0	0	0	0	0.0068	0	0.0117	0	0	0.0159	0.1046	0.0134	0	0	0	0.0316	0.0544	0	0	0	0	0	0.0555	0	0	0.0171	0.0104	0	0.0447	0	0.001	0
DC	0.0215	0.0099	0.0108	0.1267	0.0604	0.0032	0.0142	0	0.0374	0.0471	0	0.0508	0	0.0046	0.0382	0.04	0.0124	0	0	0.0106	0.0069	0.0029	0.0185	0.0071	0.1448	0	0	0	0.0459	0	0	0	0	0.0141	0.1984	0	0	0	0.0794	0	0	0.0254	0.0024	0.0034	0.0055	0	0.0157	0.0275	0	0.0933	0	0	0.0102	0	6e-04	0.0118	0	0.0011	0.0078	0.0507	0.2161	0.0178	0	0	0	0.0037	0	0.0628	0.0757	0	6e-04	0	5e-04	0	0.0048	0.0556	0	6e-04	0.0039	0.0313	0.004	0
Endothelial cells	0.0301	0	0	0.0551	0.0162	0	0.0198	0.0062	0.1149	0.0048	0.0737	0.01	0.0193	0.0013	0.052	0.0027	0	0.0047	0.006	0.0082	0	0.1432	0.004	0.025	0.0494	0	4e-04	0	0.0223	2e-04	0	0.0695	0.0048	0.1298	0.1747	0	0	0	0.1772	4e-04	0.0034	0.0442	0.0245	0.0175	0.002	0.0026	0.0445	0.0152	2e-04	0.0068	0	0	0.0264	0.01	4e-04	0.2368	0.089	0.0057	1e-04	0	0.0451	0.019	0.0057	0.0068	0	0.0333	0	0	0.1319	0.0455	0	0.0345	0	0.0071	0.0475	0.0049	0.0769	0.0021	0	0.047	0.1351	0.0042
Eosinophils	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0122	0	0.0033	0	0.0115	0	0	0	0.0164	0	0	0	0	0.0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202	0
Epithelial cells	0.0081	0.0011	0.0406	0.0186	0.0697	9e-04	0.0644	0.0117	0.0063	0.0353	0.0607	0.0348	0.0054	0.0121	0.0643	0.0487	0	0.009	0	0	0.0036	0.0044	0.0183	0.0493	0.1064	0.0131	0	0.0017	0.0105	0	0.0056	0.0108	0.0121	0.0157	0.0563	0.0042	0	0	0.0028	0.0022	0.0023	0.0223	0.0076	0.0011	0.011	0	0	0.0366	0.006	0.0263	0.0113	0.0205	0.0129	0.0133	0.0018	0.0164	5e-04	0.0047	0	0	0.0398	0.0298	0.0165	7e-04	0.0228	0.0425	0.0298	0.0062	0.0172	0.004	0.0025	0	0.0177	0.0091	0.0616	0.0031	0.0023	0.0236	0.0015	0.1	0.0026	0.0087
Erythrocytes	0.0019	0	0	0.0052	0	0	0.0013	0	0	3e-04	0	0.0018	0	0	8e-04	0	0	0	0	0	0	0	0	0.0043	0	0	0	0	0	4e-04	0	0	0	0	0	0	0.0036	0	0	0	0.0018	0	0	0	0	0	0.0062	0	0	0	0	8e-04	0.0014	0	0	0	0	7e-04	0	0	0	0	0	0	0	0	0	0	0.0012	0	0.0126	0	0	0	0.0011	0	0	0	8e-04	0	0	0
Fibroblasts	0.004	0	0	0.0961	0.0078	0	0	0.036	0.037	0.0281	0	0.02	0.0585	0.009	0.0084	0.012	0	0.0288	0.1002	0.0669	0	0.0051	0.104	0.0223	0	0	0.007	0	0.0262	0	0.0034	0.0702	0.0201	0.0499	0.0045	0	0.0286	0	0.05	0.0032	0	0.0855	0.0408	0	0	0.0537	0.0209	0.009	0	0	0	0.0658	0.0452	0.0699	0.0645	0.043	0	0	0.1097	0.0429	0.1732	0.0083	0	0	0.006	0.1621	0	0.0016	0.0154	0	0	0.0452	0	0	0	0.0101	0.0253	0	0.0067	0.0872	0	0
GMP	0	0	0	0	0	0	0	0	0	0	0	0.0018	0	0	0	0	0	0	0	0	0	0	0	0.0096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
