	antecedent	consequent	confidence	lift
0	10,24,29	31	0.9732770745428974	1.4405755195704752
1	31,32,35,44	6	0.9543568464730291	1.4341371149834614
2	31,32,35,44	18	0.9585062240663901	1.4217670363439028
3	31,32,35,44	51	0.9626556016597511	1.4248543706628753
4	31,32,35,44	24	0.9723374827109267	1.439184802551726
5	31,32,35,44	33	0.9681881051175657	1.4330431888850756
6	31,32,35,44	62	0.9557399723374828	1.4146183478851249
7	31,32,35,44	37	0.9529737206085753	1.4105239387740245
8	31,32,35,44	64	0.9654218533886584	1.4289487797739755
9	31,32,35,44	38	0.9612724757952974	1.4228071661073252
10	31,32,35,44	36	0.9626556016597511	1.4248543706628753
11	31,32,35,44	59	0.9626556016597511	1.4248543706628753
12	31,32,35,44	54	0.9598893499308437	1.420759961551775
13	31,32,35,44	47	0.9778699861687413	1.4473736207739263
14	31,32,35,44	53	0.9529737206085753	1.4105239387740245
15	31,32,35,44	57	0.9654218533886584	1.4289487797739755
16	21,38,47	44	0.9600550964187328	1.4210052877175228
17	21,38,47	35	0.9559228650137741	1.416410438697829
18	21,38,47	63	0.9573002754820936	1.416927797652336
19	6,47,62	23	0.9223560910307899	1.3666738639144393
20	6,47,62	50	0.9263721552878179	1.371150193326115
21	6,47,62	43	0.9317269076305221	1.3790759169869595
22	6,47,62	8	0.9437751004016064	1.4029364491406835
23	6,47,62	15	0.9357429718875502	1.385020209732593
24	6,47,62	55	0.9223560910307899	1.3652059005804815
25	6,47,62	60	0.9317269076305221	1.3805587943170534
26	6,47,62	58	0.92904953145917	1.3751130551565374
27	6,47,62	17	0.9236947791164659	1.368657425400527
28	6,47,62	65	0.9317269076305221	1.3805587943170534
29	6,47,62	12	0.927710843373494	1.377570627336934
30	6,47,62	29	0.9263721552878179	1.371150193326115
31	6,47,62	39	0.927710843373494	1.373131624241326
32	6,47,62	66	0.9303882195448461	1.3770944860717484
33	6,47,62	19	0.927710843373494	1.3805459418668193
34	6,47,62	22	0.9250334672021419	1.3691687624109037
35	6,47,62	30	0.9397590361445783	1.3924601632335796
36	6,47,62	20	0.9344042838018741	1.3845259172892286
37	6,47,62	32	0.9370816599732262	1.3884930402614042
38	6,47,62	9	0.927710843373494	1.3940954658327969
39	6,47,62	3	0.92904953145917	1.4531557938146835
40	6,47,62	2	0.9303882195448461	1.4602220575544396
41	12,33,37,38	31	0.9829545454545454	1.4548994238843862
42	12,41	6	0.910039113428944	1.3675396928081622
43	12,41	68	0.910039113428944	1.3469751861493928
44	12,41	61	0.9087353324641461	1.345045422272388
45	12,41	69	0.9256844850065189	1.370132352673451
46	12,41	21	0.9061277705345502	1.3440732699640583
47	12,41	42	0.9256844850065189	1.3745616598480421
48	12,41	48	0.9061277705345502	1.3426280298888282
49	12,41	11	0.9074315514993481	1.3445598687807545
50	12,41	16	0.9022164276401564	1.3382715148419113
51	12,41	45	0.9087353324641461	1.3479411067121565
52	12,41	52	0.910039113428944	1.3484235465646073
53	12,41	40	0.9191655801825294	1.361946418808092
54	12,41	34	0.9178617992177314	1.3600145799161656
55	12,41	25	0.9126466753585397	1.35228722434846
56	12,41	10	0.9074315514993481	1.3460071883381073
57	12,41	28	0.9113428943937418	1.3532656341320866
58	18,23,39,57	31	0.9814814814814815	1.4527190993356407
59	35,36,57,62	44	0.9719495091164095	1.438610551624503
60	18,32,59	6	0.9337837837837838	1.4032214329924255
61	57,64,66	30	0.9397590361445783	1.3924601632335796
62	57,64,66	5	0.9223560910307899	1.4153749370160673
63	18,29,37,66	31	0.9801136363636364	1.4506945122546626
64	12,18,31,47,57	37	0.984352773826458	1.456968982097593
65	4,19,57	23	0.9401360544217687	1.3930187989174165
66	36,39,52,64	24	0.9745403111739745	1.4424452726076658
67	8,22,34	35	0.9529737206085753	1.4120406311813085
68	19,45,57	24	0.9691444600280504	1.4344587174206804
69	29,36,44,64	24	0.9787835926449788	1.448725876116843
70	34,47,51,58	64	0.9745762711864406	1.4424984980611333
71	31,37,48,53	29	0.9800853485064012	1.450652642579829
72	18,38,45,57	59	0.9786931818181818	1.4485920564398007
73	31,35,36,57,59	44	0.9705056179775281	1.436473406630541
74	2,37,38,47	31	0.9829302987197724	1.4548635355916717
75	12,25,63	21	0.9490358126721763	1.4077194293458115
76	8,16,55	47	0.9676966292134831	1.432315741198904
77	18,22,64	35	0.973463687150838	1.4424010332191988
78	32,53,59,64	24	0.9704641350210971	1.436412006508133
79	24,36,59,66	35	0.9663865546218487	1.431914701364417
80	6,28,36	51	0.9503448275862069	1.4066328382532685
81	36,44,52,53	24	0.9815340909090909	1.4527969680695243
82	28,65,68	21	0.9508196721311475	1.410365455540066
83	12,28,40	37	0.9691444600280504	1.4344587174206804
84	2,36,37,57	59	0.9828815977175464	1.4547914518311265
85	31,51,52,53	57	0.9773371104815864	1.446584896072638
86	41,46,64	65	0.9717912552891397	1.4399229567617575
87	47,54,59,66	31	0.9787535410764873	1.4486813959220186
88	2,36	23	0.9154040404040404	1.3563728684696428
89	2,36	4	0.9027777777777778	1.379188223700419
90	21,33,47	51	0.9542936288088643	1.4124775730382544
91	12,35,63	37	0.9596100278551533	1.4203465288769077
92	12,24,37,47,57	31	0.9913669064748202	1.4673508024944169
93	18,34,35,44	31	0.9775280898876404	1.446867570209633
94	31,33,37,54	18	0.9776847977684798	1.4502149099299948
95	34,36,47,59	64	0.9759547383309759	1.4445388071107248
96	3,35,64	23	0.9395973154362416	1.3922205383560655
97	17,38,50	57	0.965034965034965	1.4283761351430522
98	31,39,55	18	0.9573590096286108	1.4200653555093925
99	31,33,35,38,47	18	0.9664804469273743	1.4335953238599806
100	8,31,33,34	64	0.9760900140646976	1.4447390326328178
101	18,33,51,54	31	0.9788732394366197	1.4488585649233747
102	8,18,19	35	0.9677871148459384	1.4339899400620464
103	22,39,49	9	0.961218836565097	1.4444488078371907
104	47,51,57,62	32	0.9571823204419889	1.4182765995366244
105	18,33,35,47,59	31	0.9871977240398293	1.4611798751094358
106	50,56	46	0.9456521739130435	1.4011921458625527
107	6,34,35,47	31	0.9871244635193133	1.4610714400962552
108	17,24,31,51	47	0.976123595505618	1.4447887374938146
109	6,18,33,59	31	0.9829059829059829	1.4548275450531087
110	36,37,64,66	53	0.9871611982881597	1.461125812289027
111	23,35,37,57	31	0.9871244635193133	1.4610714400962552
112	2,34,64	35	0.9639389736477115	1.4282880706306953
113	24,31,37,44,54	57	0.9856938483547926	1.458953945255536
114	17,33,59	44	0.9625520110957004	1.424701043275913
115	12,47,57,64	44	0.9622905027932961	1.4243139772815918
116	31,39,47,57,59	35	0.9745403111739745	1.4439962890298248
117	39,51,54,59	31	0.9800853485064012	1.450652642579829
118	2,3,35,47	44	0.9745403111739745	1.4424452726076658
119	24,32,51,59	44	0.9623955431754875	1.4244694505862745
120	6,36,51,64	31	0.9759206798866855	1.4444883962232573
121	18,31,35,47,57	44	0.9746121297602257	1.442551573372278
