	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
ERBB3	0.11116745	1.6276582	2.5993228	0.7908371	6.906267	2.2479775	0.82382965	1.2570579	0.9709230999999999	1.6461880000000002	0.887589	0.31045547	3.2342303	0.82382965	0.22663648	6.426061	0.6323526999999999	2.3103974	3.7886617	5.6037493	0.28699607	1.9411447	0.77407175	4.193795	1.4330235	0.9184638	0.44372052	0.124459624	1.1441122	3.1634705000000003	0.6871335	1.3334688000000001	0.4751773	0.6323526999999999	0.7571259	0.6781482	1.1177393	1.1891136999999998	0.9486982	0.40063623	0.042784035	0.3674849	0.65087	1.1044103	0.7312613	0.80744386	2.2600729999999998	1.8991928	1.7442220000000002	0.40063623	0.78250456	0.6960961999999999	0.33353373	1.2570579	4.154592	2.5704846000000003	0.54605496	1.3674041000000001	1.4854795	0.59464574	0.50599486	1.0909218	0.7312613	1.4436299	0.80744386	0.7908371	2.003606	1.4751447	1.049722	2.5825560000000003
FZD2	1.1699992000000001	1.8600012	1.4957263	0.7991509	3.8972344	1.2016847	1.7782153000000003	0.3674849	1.3219714	2.1310024	1.2388668999999999	1.0144353000000002	1.7991133000000001	0.6041816	2.722501	2.9726982000000004	0.5754108	1.6915852999999998	0.80744386	2.4383416	0.9855609000000001	0.65087	1.0566703000000002	1.4594975000000001	1.3045712	2.4646602000000004	3.6438794000000003	0.9260758	0.6041816	0.62302387	1.7824702000000001	1.2570579	1.4115105	1.4854795	0.5656918000000001	1.400608	0.62302387	0.77407175	1.1506448999999999	0.52618414	0.5361526	1.0566703000000002	0.78250456	1.4906301000000002	1.636943	0.9709230999999999	0.6960961999999999	1.636943	0.44372052	0.5361526	0.5754108	1.3219714	0.41153392	0.94119436	1.9818863000000002	3.5546019999999996	0.50599486	1.3562181	1.0704504	1.0144353000000002	0.6323526999999999	0.82382965	1.6690792	0.34494959999999997	0.82382965	0.7571259	1.5607548	2.548476	0.5656918000000001	0.8640384
PCDHA6	0.3674849	0.16362981	0.9260758	1.3951445	0.18916444	0.2751237	1.5410503999999998	0.7571259	0.8560810999999999	1.9107777	0.83196074	0.99286234	1.4854795	1.7093155	1.2869579	1.2141696000000002	1.8520371	2.9279428	1.0286552	1.0909218	0.6691063	3.3348334000000004	1.438321	0.6041816	1.33921	0.58506453	1.0566703000000002	0.45428359999999995	2.5360487000000003	0.9336372	0.83196074	2.9448977000000003	0.43305513	0.72254187	2.0908759999999997	0.43305513	0.58506453	1.4699608999999998	0.94119436	3.2063751	4.3247824	3.9909291	4.0000215	0.15068647	0.42232955	1.1570913999999999	0.8797943000000001	1.8278862	1.8156192	1.0976788999999998	2.4515689999999997	0.7485361999999999	0.82382965	0.887589	1.5753416	0.7991509	1.0566703000000002	1.0215281999999999	1.2631196000000002	0.77407175	2.9297671000000003	0.6871335	0.8560810999999999	1.9145979	0.8640384	1.1111153	1.1177393	0.5161281	0.5361526	0.9782476000000001
FZD5	4.3729963	1.4699608999999998	1.2570579	0.6600121	1.182776	1.0286552	2.786652	2.4462585	1.5008324	3.5059116	0.9855609000000001	1.0773331	0.33353373	0.7571259	3.308911	0.7485361999999999	1.2016847	3.5373187000000006	1.2203858	1.1506448999999999	0.7908371	0.9108029000000001	1.6826189999999999	1.0841396	1.641562	1.6461880000000002	1.5460458000000001	1.6781452000000001	1.8073926	2.961621	1.0072758	1.7049433	1.7005076000000001	1.2449315	2.9837008	1.5210948	3.1143548	0.64164835	0.64164835	2.7824624	0.42232955	1.2869579	0.7049559	0.9561472	1.2690823999999998	2.8156068	1.7093155	0.48553726	1.0704504	1.1177393	2.2957224999999997	0.9486982	1.2631196000000002	1.5460458000000001	1.2265648999999998	1.2388668999999999	1.4542183000000002	1.0909218	1.3277426	0.82382965	1.5656528	1.5310872	2.2986703	1.2750628000000002	3.094292	2.3248699	0.7312613	1.5008324	3.9809036	1.3449053999999998
CDH18	0.124459624	2.687107	1.0215281999999999	2.4880432999999997	2.7398314	0.07052474	0.8560810999999999	2.361813	0.014497611	0.26316009999999995	0.40063623	3.0161672000000004	0.4751773	0.6600121	1.0427017	2.4409522999999997	0.6781482	3.1243557999999996	4.1811300000000005	0.8480885	2.3978515	0.94119436	0.7485361999999999	3.0444293	3.1699585999999997	3.9827774	0.33353373	0.87191325	0.5754108	2.577725	0.23891501	1.8359431	1.5059485000000001	0.8640384	0.15068647	0.08420307	0.0	0.35624728	2.7928972	2.1922037999999997	3.9288862	3.6893002999999998	3.6814603999999997	0.0	0.6871335	0.028709901	0.9486982	0.83196074	0.5754108	0.5754108	1.9928074	3.8884665999999997	0.0	1.3785836	2.0738373	0.94119436	0.042784035	0.80744386	0.0	1.5460458000000001	0.4751773	3.8298974	0.25107563	2.8237624	0.49579449999999997	0.9782476000000001	0.0	4.274282	3.0250237	2.4620397
WNT6	0.13763218	1.2327062	2.31615	1.0427017	2.8679327999999997	0.124459624	1.7697916	0.18916444	1.0427017	0.2987822	0.5161281	0.52618414	0.21424463	0.08420307	0.34494959999999997	2.2691026	0.16362981	1.526119	0.17644595	3.1602726000000003	1.0427017	0.3786144	1.4699608999999998	0.15068647	1.9818863000000002	0.7908371	0.9635396999999999	2.3277528	0.6781482	0.73994064	0.94119436	0.2987822	0.23891501	0.6323526999999999	0.20175661	0.26316009999999995	0.9260758	0.6600121	2.4646602000000004	0.45428359999999995	0.05672351	1.2810018	1.996404	0.23891501	3.3462807999999997	0.9561472	3.294263	0.80744386	1.996404	0.15068647	3.255522	0.7571259	3.214136	1.8319125	0.43305513	0.22663648	0.6136315999999999	0.52618414	0.5361526	0.26316009999999995	0.20175661	0.7908371	1.0357134	3.255522	0.23891501	4.4601192	0.6136315999999999	2.6088495	0.097748086	0.23891501
PCDHGB7	2.1538265	2.1177437	1.4957263	2.887547	3.7792945	0.50599486	1.0000511	1.6461880000000002	0.7049559	2.263081	1.3505546	2.2691026	3.3030677	0.7049559	1.182776	2.9126656000000004	1.1506448999999999	3.1408367000000004	5.316921	4.549696	1.9222491000000002	1.9030752	0.7991509	1.4168863999999999	4.291357499999999	1.400608	1.1441122	0.6691063	4.2831980000000005	0.9486982	2.2419004	3.0018027000000003	1.2141696000000002	0.90309465	1.2750628000000002	1.2388668999999999	4.777149	1.7740363000000001	0.7312613	0.9260758	3.4867706	3.1826779999999997	4.0849395	1.1375494	1.4489502	0.5754108	0.54605496	1.8600012	0.99286234	1.526119	3.7398372	1.0773331	3.0391572	1.5160798999999998	1.8914397	1.1699992000000001	0.3674849	1.0000511	1.1764042	2.9634519	0.9782476000000001	0.9561472	0.49579449999999997	2.3016197999999997	1.1243893999999999	4.3568206	1.9928074	0.54605496	2.0875093999999996	1.5410503999999998
WNT11	1.4276745000000002	4.659396	2.189079	1.9598305	2.8135476	0.45428359999999995	1.7093155	1.1310111	1.3219714	0.50599486	1.0566703000000002	1.929841	0.6323526999999999	1.0841396	0.38968015	2.548476	0.23891501	1.641562	0.78250456	3.196926	4.3680477	1.0072758	0.50599486	1.4647238	1.5059485000000001	1.8359431	0.6600121	1.3785836	3.2249380000000003	1.5210948	0.6600121	0.64164835	1.4330235	1.8399782	0.7049559	2.0772705	1.1044103	0.42232955	1.3618348	0.7312613	4.356155	1.8875689999999998	3.377157	2.7740042000000003	0.6781482	1.2016847	1.1375494	0.887589	0.6323526999999999	1.0841396	4.8693748	1.33921	3.3854747000000005	1.0841396	1.3277426	1.1441122	1.0976788999999998	0.5361526	0.62302387	1.1635615	0.31045547	1.4168863999999999	1.8719058999999998	1.2869579	1.4751447	1.2449315	0.45428359999999995	0.99286234	0.43305513	0.15068647
PCDHA10	0.82382965	1.7824702000000001	2.0669782	0.7049559	0.9782476000000001	2.3016197999999997	1.8600012	3.4422967000000004	0.2987822	1.0072758	1.6645558999999996	0.5656918000000001	2.72683	3.2280642999999998	0.78250456	2.0635524	0.8797943000000001	2.358994	1.5656528	0.72254187	0.58506453	1.1506448999999999	2.4515689999999997	2.885558	2.0461588	1.1111153	0.49579449999999997	0.23891501	4.223404	3.9800608	0.7312613	1.2388668999999999	0.59464574	0.41153392	1.5656528	1.6690792	1.049722	1.1044103	0.7312613	0.94119436	4.3861337	0.64164835	0.21424463	1.3951445	3.9764078	2.9373294999999997	3.2418303	0.71378523	1.4276745000000002	1.2079737	1.5410503999999998	1.3045712	1.2265648999999998	0.8560810999999999	3.3490767	1.8115393	0.9782476000000001	0.8156711	1.0841396	1.6229928	1.1699992000000001	1.9069613	0.5361526	1.4803389999999998	1.9855485000000002	3.2599998	1.0072758	5.228468	1.6323309	1.438321
CDH7	0.44372052	0.11116745	0.15068647	0.25107563	2.3191085	0.028709901	1.8560168999999997	0.13763218	1.3562181	0.44372052	0.6871335	1.7907819999999999	2.226541	3.288336	2.060053	0.33353373	0.7049559	0.097748086	3.1634705000000003	0.32205167	0.20175661	0.43305513	1.7570888	1.5607548	4.7677073	1.5310872	0.22663648	0.20175661	1.875834	4.5090346	0.23891501	2.3895907000000003	1.8520371	2.6937842	3.294263	0.05672351	4.8171577	5.7947025000000005	3.3840277000000003	3.8032327000000006	3.8963012999999997	0.44372052	0.99286234	0.887589	1.7268628000000001	4.2187667	0.33353373	1.6041348	4.3785169999999995	0.71378523	0.52618414	4.7054324	0.5161281	4.556398000000001	1.989139	0.08420307	0.6871335	0.94119436	3.4489272000000004	1.4594975000000001	2.7180896	0.8400183000000001	0.46478304	0.7991509	3.9059129	0.44372052	1.1310111	5.15338	2.7333708	3.014414
