	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
PTGS2	2.0807064	3.0635187999999998	4.0080857000000005	2.060053	0.6871335	0.11116745	0.7571259	0.5361526	0.99286234	0.5754108	3.1177167999999997	1.4489502	0.887589	0.35624728	0.028709901	1.7570888	0.9709230999999999	0.49579449999999997	1.3785836	3.9307550000000004	1.2928126	0.16362981	0.40063623	1.9745712	1.1891136999999998	0.44372052	0.2751237	0.25107563	0.80744386	0.46478304	0.8156711	1.1243893999999999	0.6960961999999999	1.2510145000000001	0.59464574	3.7071147000000004	2.2419004	0.32205167	0.8560810999999999	1.7527944	0.21424463	0.15068647	0.6136315999999999	4.898166000000001	2.0738373	0.46478304	0.73994064	0.59464574	0.40063623	0.08420307	0.21424463	0.38968015	0.41153392	0.26316009999999995	3.5260816	0.6323526999999999	0.42232955	1.1570913999999999	1.7949808	1.5801983	0.7312613	0.20175661	1.182776	0.13763218	1.8875689999999998	0.15068647	0.15068647	0.028709901	0.34494959999999997	0.07052474
MGARP	1.6508208999999998	4.687645400000001	0.76562524	2.4854136000000002	3.6859796	0.5754108	0.32205167	2.4141626	0.5361526	0.73994064	0.59464574	1.7613178	1.0635976	1.618267	0.38968015	1.9635481	0.5656918000000001	1.5110093	1.875834	1.4594975000000001	1.2203858	0.73994064	1.4751447	1.1506448999999999	0.9635396999999999	2.166716	0.34494959999999997	1.5558652	3.9020865	1.7866592000000001	0.8400183000000001	1.0144353000000002	0.90309465	1.2570579	1.3896316999999998	1.2987429	1.8359431	1.6645558999999996	1.1375494	1.2750628000000002	1.6870991000000002	1.3334688000000001	2.4828672000000003	1.0841396	1.7005076000000001	0.8480885	1.1177393	0.8797943000000001	1.2203858	0.7049559	3.0703888	0.8480885	1.5059485000000001	1.3449053999999998	3.8155847	1.049722	2.2600729999999998	0.9108029000000001	0.77407175	1.1375494	3.6949286	2.5728972000000003	1.9671944	1.6690792	0.90309465	2.8176662999999995	0.8560810999999999	3.4982522000000005	0.6871335	0.80744386
BAG3	3.4763904	6.5617394	5.107235	5.8285885	5.4372563	1.6915852999999998	2.7247077999999996	2.9355035	3.1457145	2.6299522	3.2898623999999996	3.3673987000000003	3.2764916	2.0391898	5.0053883	4.533616	2.2539822999999997	2.757028	3.9259896	4.5279713	6.701417	1.875834	2.5059025000000004	3.1243557999999996	2.7676876	3.111082	2.0356338	1.9818863000000002	2.990955	2.176366	4.4705267	2.9279428	2.6576767000000006	3.3074725	2.3074434	4.148929	3.5260816	2.4005265	2.1440650000000003	3.3505199999999995	4.818605000000001	2.4462585	2.4828672000000003	6.788201299999999	3.1243557999999996	2.1276843999999997	2.1827579	3.003641	3.3190758000000002	1.636943	3.1731594	2.4828672000000003	2.6392662999999996	2.899232	3.6461797	3.5897763	1.8359431	2.9523847	2.3191085	2.906943	2.4515689999999997	2.6111912999999998	3.7115480000000005	2.275051	3.6668047999999995	2.8319256	3.0461872000000003	3.4867706	3.6949286	1.8278862
PLK1	4.28908	1.7949808	4.698797	3.0652797	1.5607548	4.189069	5.523873	1.5460458000000001	4.488007	6.387817	4.799607	1.9635481	4.522901	5.588569000000001	4.7697306	1.8359431	4.791798	4.6707315000000005	3.7125642	3.111082	3.1683583	4.145721	5.7059809999999995	4.292781400000001	4.8384805	5.5746655	5.054441000000001	4.8885026	2.7398314	4.961616	4.788714	5.3441279999999995	5.242583799999999	5.2581635	5.1858525	5.2589426	4.517258	4.7739697	4.864449	5.6585225999999995	2.8679327999999997	4.2226467	0.8480885	4.7881355	4.234196	5.3312545	4.303792	5.3722267	5.3344727	5.2723846	3.6229150000000003	4.2433834	5.082771299999999	5.2075458	4.401182700000001	6.235754	5.427976	4.4215784000000005	5.533265	3.9690106	5.919316	3.9699470000000003	4.7042785	4.370141	5.5846524	5.029908	5.28544	4.886087	4.257785	4.945842
FOXM1	5.098885	1.2690823999999998	7.021041	2.5728972000000003	1.4803389999999998	5.5345373	6.1608872	2.2234745	5.846471	7.381469999999999	5.5710435	2.0704064	6.418154	6.1049942999999995	5.682247599999999	1.6826189999999999	6.3892	5.974803	4.2660317	2.74417	3.904046	5.111896	6.352054	4.3624334000000005	6.0832176	5.920103	6.029043700000001	6.860854600000001	1.641562	6.9323497000000005	5.8280973	6.2057614	6.1514215	6.4687667	6.099969000000001	6.492696	5.3715434	5.9556146	5.77369	6.5470967	2.0976171000000003	5.2195144	0.6136315999999999	5.814836	5.617365	6.9017053	5.379254	6.6050830000000005	5.7884183	6.1135683	4.237984	5.166697	6.6663613	6.0103364	5.048331	6.7902822	6.7912729999999994	5.408736	7.114241000000001	3.7907957999999997	7.3000755	4.835392	6.480631400000001	6.2041835999999995	6.8380537	6.7034970000000005	6.3655870000000006	5.6561694000000005	5.041348999999999	6.029437000000001
DTL	2.4541852000000004	0.21424463	4.4886756	1.4168863999999999	0.6781482	3.4724769999999996	4.6444163	2.1077466	3.7026825	5.6293178	3.8669366999999997	1.1111153	4.4436097000000006	5.123065	4.390228700000001	0.4751773	4.8313394	3.614739	3.3505199999999995	1.4060217	1.5898027	4.063492	4.571051000000001	2.8599954	4.0347385000000004	4.822270400000001	4.4711947	3.5619237	0.2987822	5.211437	3.5729122	4.936844000000001	5.6932306	5.308537	5.0587089999999995	4.972265	3.4263232000000006	5.3896003	3.7082229	5.3150687	1.1891136999999998	3.8649807000000003	0.52618414	4.137512999999999	3.8609760000000004	5.039991400000001	3.5534127	5.1457024	3.7907957999999997	4.161105600000001	3.17476	3.9097397000000003	4.8171577	4.5843697	4.012588	5.2559237	5.3125343	3.914595	4.9968634000000005	2.5533702000000003	4.6864915	3.1473117000000004	4.4501934	4.093411	4.9708122999999995	4.5969267	4.189825	5.734431	2.9927914	3.9316894999999996
TWIST1	3.4303150000000002	3.9560952000000005	4.009868	3.9827774	1.9145979	1.2510145000000001	6.8993254	0.38968015	2.1276843999999997	1.3785836	4.1827364000000005	1.0427017	1.5460458000000001	0.48553726	7.0974639999999996	2.0772705	1.0909218	4.758075700000001	0.6323526999999999	3.5801506	5.2697544	7.4240174	1.2265648999999998	0.76562524	1.4751447	4.885604	5.865929599999999	0.7049559	0.58506453	4.6105433	5.951187	1.5558652	0.41153392	5.826820400000001	0.7908371	3.2463925	1.8991928	0.5161281	1.2928126	1.5849965	1.8797659	1.0566703000000002	1.2570579	4.87971	2.4005265	1.8399782	4.8718863	1.4594975000000001	0.7049559	0.41153392	6.3092914	0.64164835	6.667053999999999	1.4115105	0.9709230999999999	5.276086299999999	6.783345	3.83185	6.9194565	0.05672351	0.9709230999999999	1.1111153	5.2630334	6.206748	2.3757667999999996	7.287853699999999	0.9709230999999999	7.313887599999999	5.541974	6.5655985
DNAJB1	6.309785400000001	7.887799	7.786144999999999	8.37096	6.4857736	5.919611	7.4617	6.567874000000001	6.7364809999999995	7.264008500000001	5.7876325	6.2809567	6.7729406	6.01772	10.401066	6.263979	6.0114193	7.039201299999999	5.9930105000000005	6.0600667	9.429492	5.2809577	7.1005416	7.286164299999999	6.0744489999999995	5.4332504	5.6630316	6.763032400000001	4.9855304	5.839494	8.269977	6.826655000000001	5.989172	6.613693700000001	5.8094339999999995	5.638921	6.321041999999999	6.228847	5.9104652	6.987404300000001	5.555479	5.8280973	5.940169	8.098369	6.135056	4.946229	5.872612999999999	5.837726	8.703562	6.4315963	5.3165309999999995	5.352615	6.964488	6.4862676	6.9567504	5.7412019999999995	5.5248513	5.530721	5.4834830000000006	5.511939	5.842442	5.5288625	6.9424667	6.1276636	8.717229	5.7379637	6.872355499999999	6.650519	6.767788400000001	4.956099
EXO1	2.6667721	0.25107563	3.288336	0.6781482	0.55591464	2.9011374	3.807411	1.182776	4.015215	4.1554413	3.490597	0.7991509	2.9634519	3.9514174	3.9439354	0.50599486	3.9269239999999996	3.0125740000000003	1.9069613	1.0841396	1.9561163000000001	3.0072305	4.62004	1.9222491000000002	2.6736007	4.604693	3.8328729	4.5391665	0.3786144	3.8459887999999998	3.5147612	3.7071147000000004	3.4033029999999997	3.8338957000000002	3.3895449999999996	4.30816	2.5385325	3.6484803999999995	3.0479455	4.196159	0.48553726	2.5033484	0.6691063	3.2063751	3.3205156000000002	3.8884665999999997	2.9745312000000004	5.0316529999999995	3.2094967	3.3219557	2.4672816	2.8114889	3.8609760000000004	3.0197616000000003	3.1985302000000004	5.0144	5.155421	3.1309093999999997	3.7192168	1.4276745000000002	4.0857863	3.2630455	4.4711947	4.227285	4.950002	3.9532883	3.8145629999999997	4.658243700000001	2.58014	3.4621067
TIMELESS	4.174705	1.6960089	4.915567	3.165159	2.1603448	4.4355965	5.9701777	2.922211	4.467280000000001	6.0887356	4.551514599999999	2.5509644000000002	4.568656400000001	4.753838	5.121803	2.31615	5.06094	4.6187925000000005	4.2172523	3.5862005	3.6881932999999996	4.6253166	5.3491035	2.922211	4.9387784	5.0678277000000005	5.18313	5.0539559999999994	3.5668676	6.3696375	4.375756299999999	5.146479599999999	5.523873	4.8455257000000005	4.7517195	5.3715434	4.6599727	5.6433306	4.908799	5.282419	2.695983	4.643264299999999	2.4672816	4.4100447	4.9918260000000005	5.6607769999999995	4.8535385	5.461391000000001	4.9579379999999995	4.9044495	4.0849395	4.51219	5.4873934	5.3458843	4.371568700000001	5.8785110000000005	6.2141470000000005	5.010330000000001	5.9154800000000005	3.7104397000000002	5.8742843	4.1260085	5.2842703	5.222628	5.459143599999999	5.8083534000000006	5.4025846	5.937807599999999	4.0008655	4.727366
