	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
FMO3	0.16362981	3.0755882000000003	1.9782271	2.9963772	3.3868315000000004	0.40063623	1.0427017	0.34494959999999997	1.049722	1.1375494	0.8560810999999999	3.9439354	1.4222745	0.42232955	0.73994064	4.0815516	0.6691063	1.8197037	3.17476	4.6752477	1.4957263	1.3896316999999998	0.33353373	2.9429832	0.4751773	1.2388668999999999	0.124459624	0.5161281	2.653049	2.1603448	1.2810018	2.5945642	0.7991509	0.62302387	1.636943	1.0286552	2.5969849	1.1699992000000001	1.4489502	1.4647238	0.7991509	0.7312613	0.52618414	0.21424463	3.6310952000000003	1.0286552	0.8480885	1.7866592000000001	2.6644973999999997	0.33353373	1.1699992000000001	1.3896316999999998	0.9108029000000001	0.6600121	2.7398314	2.9373294999999997	0.097748086	2.1635296000000004	2.2479775	1.2079737	1.7697916	0.72254187	1.0215281999999999	0.59464574	0.45428359999999995	0.58506453	1.7949808	0.11116745	0.5656918000000001	0.20175661
PTGS1	1.5008324	4.2364690000000005	2.8914404	0.64164835	3.211013	1.1954168	2.0356338	1.0286552	1.8073926	1.7782153000000003	1.5160798999999998	1.5509181	1.3674041000000001	0.71378523	0.3674849	4.5153456	1.0000511	1.2631196000000002	1.2203858	1.9030752	1.9598305	0.46478304	0.9782476000000001	1.2265648999999998	2.8278	1.0704504	0.6691063	1.3334688000000001	1.5946169	0.9184638	1.3449053999999998	1.9030752	2.1009912	1.3951445	1.3729870000000002	2.2539822999999997	0.9709230999999999	1.5704931	1.8914397	1.9486238	1.3162155	2.1440650000000003	3.4114553999999995	4.7865934	3.4046612	0.89538705	0.99286234	2.3103974	1.3449053999999998	1.2016847	1.3896316999999998	1.9561163000000001	0.6960961999999999	1.4168863999999999	1.7613178	1.2388668999999999	0.6136315999999999	1.526119	1.2631196000000002	2.0807064	1.5460458000000001	1.8197037	2.4276652000000003	0.7571259	1.3045712	1.526119	0.90309465	2.1408155	2.8777779999999997	1.7137631000000002
RYR1	0.6781482	0.82382965	1.2690823999999998	1.1954168	2.8114889	1.0976788999999998	0.87191325	0.48553726	0.15068647	1.3729870000000002	0.58506453	0.7571259	1.1954168	0.64164835	0.6323526999999999	2.5385325	0.07052474	2.2986703	2.7718697	2.650778	0.78250456	1.9145979	1.3674041000000001	1.5059485000000001	1.0286552	0.7485361999999999	0.042784035	0.028709901	3.6881932999999996	4.2311664	0.50599486	1.0841396	0.94119436	0.9336372	5.0290356	1.5210948	3.8688931	2.698267	0.72254187	0.50599486	0.34494959999999997	0.32205167	0.4751773	0.99286234	0.6041816	3.7420578	3.0703888	1.5753416	0.6323526999999999	4.234954	4.569230999999999	0.55591464	0.45428359999999995	3.1570752	0.94119436	3.1325932	1.7570888	1.0000511	0.22663648	2.1985368999999997	1.4276745000000002	2.2957224999999997	0.40063623	0.32205167	0.9635396999999999	0.17644595	2.7740042000000003	2.5825560000000003	3.3477237	1.0215281999999999
GSTM1	5.4574823	5.2429733	5.8306518	0.0	0.3786144	0.11116745	0.34494959999999997	4.7403593	4.6206154999999995	4.758653	0.32205167	0.097748086	0.0	5.793426	4.1110234	5.5004964	0.15068647	4.8899517	0.28699607	0.16362981	4.931234	0.2751237	0.05672351	4.671308	0.0	0.0	0.0	7.091110700000001	4.791798	5.239566	5.788908999999999	4.757016	5.3165309999999995	5.527004	6.5859823	4.824778599999999	5.665090599999999	5.2968407	3.807411	0.0	0.0	0.21424463	0.18916444	5.5665402	4.970425	4.439603	6.5558033	0.097748086	5.801183999999999	6.523257	5.769273	0.0	0.07052474	0.16362981	0.124459624	0.0	5.79755	0.11116745	4.7484459999999995	6.246608999999999	5.432274	0.0	0.097748086	0.18916444	5.640979	0.0	0.0	6.516826999999999	5.306295400000001	5.7479734
RORC	0.6781482	0.49579449999999997	0.77407175	0.6323526999999999	0.59464574	0.22663648	0.59464574	2.4515689999999997	1.33921	0.26316009999999995	0.28699607	0.35624728	0.21424463	0.05672351	2.6826303	2.8679327999999997	0.23891501	1.5310872	0.46478304	4.5928044	1.1506448999999999	1.4168863999999999	0.34494959999999997	0.2751237	3.1537902	0.6871335	1.7782153000000003	1.4957263	3.3603556000000006	1.3162155	0.21424463	0.6691063	0.77407175	0.59464574	0.65087	0.23891501	2.5680728	0.45428359999999995	2.0143566	1.3104153	0.45428359999999995	0.7991509	0.99286234	0.21424463	1.6135489	0.5161281	0.6323526999999999	0.3786144	1.1441122	0.42232955	2.8094308	0.5656918000000001	0.9561472	1.3618348	0.73994064	0.9336372	0.124459624	1.049722	0.5656918000000001	0.9561472	0.94119436	2.021513	0.49579449999999997	0.54605496	0.4751773	0.54605496	0.22663648	0.90309465	1.5656528	0.46478304
CSAD	5.256995	4.3673816	5.8285885	5.4433136	3.7781818	4.606994599999999	4.9717803	2.914574	4.009868	6.010533000000001	4.679764	3.1260380000000003	5.1448279999999995	4.9741040000000005	5.192175	5.754058000000001	3.097648	4.9694567	5.66362	6.2398987	5.746894	6.047853	4.893333999999999	4.9340386	6.0706067	5.101797599999999	5.3722267	3.5397866000000002	6.0872574	5.508124400000001	4.9150834	5.3480300000000005	5.272774	5.3473473	4.8439817000000005	4.8757496	5.3370085	5.2817373	5.4954114	5.0210870000000005	4.931717	5.511646	3.5360394	4.0661244	5.2361584	5.095098999999999	5.5717287	5.3764234	5.198108	4.6898565	5.7111792999999995	5.3121443	5.742281	4.9116992999999995	4.8698573	5.3750567	4.403279	5.9469566	5.5279818	5.2887526	3.1342769	4.900583	5.411763	5.7235403	5.2206817	5.7771263	5.356127	3.5059116	4.595105	3.3977800000000005
CYP2E1	4.3575816	0.89538705	1.4060217	2.5533702000000003	4.420911299999999	0.7908371	1.3618348	0.5161281	0.7908371	1.049722	0.76562524	2.2868881	1.2265648999999998	0.028709901	2.0669782	1.3785836	0.28699607	3.1077220000000003	4.982722	2.4462585	1.4276745000000002	3.0053918	0.8400183000000001	0.9184638	4.9340386	4.359674500000001	0.9855609000000001	0.21424463	2.526123	1.0427017	0.72254187	0.9709230999999999	0.6960961999999999	4.199279	0.6871335	1.6599708999999998	1.1570913999999999	1.2265648999999998	2.1177437	3.308911	0.6600121	1.5310872	0.58506453	0.9782476000000001	0.82382965	1.400608	3.3687537000000005	1.1635615	4.72573	1.0976788999999998	2.5059025000000004	1.0000511	0.9108029000000001	0.6691063	2.987371	4.3909907	4.0703564	1.3674041000000001	0.9635396999999999	2.8797655	0.7312613	1.5310872	1.5801983	0.80744386	0.6781482	0.6871335	2.7136803	4.219523400000001	4.0721436	3.83185
CES1	0.9486982	6.286288	2.0772705	0.22663648	2.8619790000000003	3.0959697	0.20175661	0.58506453	1.3951445	0.25107563	3.9069392999999994	0.33353373	0.33353373	0.124459624	0.097748086	0.3786144	0.22663648	2.5582678	0.11116745	1.1177393	2.2779882000000002	0.35624728	0.50599486	1.5210948	1.4115105	1.1764042	0.45428359999999995	1.1954168	0.22663648	0.64164835	2.833903	0.62302387	0.8156711	1.5558652	1.0704504	0.35624728	0.42232955	0.20175661	1.1111153	0.8797943000000001	0.9635396999999999	0.8797943000000001	0.7991509	4.299425	1.2327062	0.38968015	0.49579449999999997	0.90309465	0.46478304	0.94119436	1.3951445	0.64164835	0.0	0.42232955	1.0704504	2.7887046000000004	0.22663648	1.7093155	0.15068647	0.9108029000000001	1.5310872	0.8560810999999999	3.0232692	0.15068647	1.1111153	2.2570662	0.9486982	0.23891501	0.20175661	0.9782476000000001
BCHE	1.4489502	2.2296095	2.7333708	0.13763218	3.9532883	0.8480885	0.26316009999999995	0.7571259	1.3104153	0.18916444	0.6871335	1.1310111	1.33921	0.8640384	0.6136315999999999	3.4660172	0.9561472	0.25107563	2.4541852000000004	4.0080857000000005	1.182776	1.2750628000000002	0.43305513	0.5754108	0.9486982	0.6323526999999999	1.2987429	0.08420307	0.72254187	0.22663648	0.55591464	0.55591464	0.78250456	1.0286552	0.5656918000000001	0.9486982	0.8400183000000001	0.124459624	0.34494959999999997	0.16362981	0.43305513	0.50599486	0.7571259	0.48553726	0.35624728	0.40063623	0.35624728	1.9184216	0.16362981	0.58506453	0.097748086	0.58506453	0.6041816	0.28699607	3.3161964	3.0089824	1.9598305	1.5801983	0.8480885	1.8237927	1.1044103	0.62302387	0.9184638	0.31045547	1.1954168	0.6600121	1.2928126	4.279498	0.3674849	2.3334424
SULT1A3	4.203251	2.9579601	5.6721487	5.8419504	2.7887046000000004	2.6299522	5.8529563	3.1226732999999998	5.3620787000000005	5.508418	5.9982276	4.5267277	4.8083816	5.784785	5.029908	4.434261	3.4621067	2.9392428	4.8688917	4.2241607000000005	5.953548400000001	5.90132	5.7543526	3.3590019	5.323746	4.322692	5.352615	4.9877577	4.9945379999999995	5.384719400000001	5.7101	5.674992	5.8207297	5.724423000000001	4.875267	5.6876407	5.5087113	5.205988400000001	6.137521	5.555479	5.534830599999999	5.619128	2.980032	4.6206154999999995	4.8938174000000005	6.203394	5.087916000000001	6.2547016	6.268519	6.441085	5.095487	5.283198400000001	4.5783324	5.902107	5.4743905	5.229928	5.0604553	6.683294	4.8914013	5.4433136	3.3490767	5.627651999999999	6.4432599999999995	5.8338943	5.7742796	5.58289	6.668440299999999	4.399849	4.6864915	4.192944000000001
