	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
ACTN2	1.5008324	3.8470125	6.867894000000001	6.260919599999999	5.4966826	0.6136315999999999	5.527297	6.3164997000000005	6.1966863	6.5278068	5.0053883	6.457000700000001	5.8892264	7.1629934	0.18916444	4.486096	7.131219000000001	1.7485055	6.6360655	2.8719041	4.8480360000000005	5.6542096	4.999575599999999	5.85276	6.441480599999999	4.3455033	2.4114816	5.1827407	6.4850817	6.3421764000000005	5.8584595	6.546602	5.803246499999999	4.873818	6.902102	3.9383256	6.725585000000001	7.011118	2.8400102	5.8902097	6.661311	2.1827579	1.6915852999999998	3.3631544	5.6763650000000005	5.9993105	5.547845400000001	6.1095276	4.812528599999999	5.564974299999999	6.502091	6.403923000000001	5.9873012999999995	5.5619392	7.144424400000001	3.0823777000000003	3.5595436	4.762313400000001	5.3077574	5.057448	7.081085000000001	6.088538	1.9671944	4.3197470000000004	6.6884429999999995	6.803958000000001	6.376059	7.244239	2.9946277	4.7618313
TGFB2	0.3786144	2.003606	2.7462974	0.65087	2.1731734	0.54605496	0.58506453	1.4699608999999998	0.5754108	0.87191325	2.1985368999999997	1.2510145000000001	2.0356338	0.9782476000000001	0.42232955	1.9855485000000002	0.72254187	0.6960961999999999	1.3104153	3.1489089	0.94119436	1.3562181	0.64164835	1.8953143	1.929841	2.6252575	1.5993719	0.16362981	0.6960961999999999	0.6041816	0.42232955	1.2690823999999998	0.7312613	0.5161281	1.6276582	0.87191325	1.0000511	0.9108029000000001	0.6136315999999999	0.6960961999999999	0.9336372	1.2631196000000002	1.5059485000000001	2.58014	0.6600121	0.73994064	0.6691063	1.2449315	0.8560810999999999	0.26316009999999995	2.9030432999999998	1.2265648999999998	0.90309465	0.64164835	2.7398314	3.6836736000000005	0.73994064	1.3104153	0.8156711	0.71378523	0.35624728	0.6781482	0.80744386	1.2570579	0.8480885	0.59464574	0.7485361999999999	1.5110093	1.6915852999999998	1.5160798999999998
MMRN1	0.46478304	2.2868881	4.01165	1.5059485000000001	2.9049497000000004	1.7268628000000001	2.8679327999999997	0.44372052	2.8738040000000002	0.33353373	0.54605496	0.42232955	0.9260758	0.52618414	0.028709901	0.9561472	3.6392794000000004	0.90309465	0.6691063	2.8953352000000003	0.124459624	1.2810018	0.08420307	0.62302387	5.1226764000000005	0.6781482	1.182776	0.32205167	0.43305513	0.89538705	1.6461880000000002	3.377157	4.025913200000001	1.0072758	2.8156068	0.7571259	1.9855485000000002	2.4956913	1.0976788999999998	2.226541	0.35624728	0.5361526	1.1570913999999999	0.4751773	1.2265648999999998	1.3505546	0.87191325	2.8777779999999997	0.49579449999999997	2.914574	0.6600121	3.5897763	1.0566703000000002	1.6826189999999999	1.1954168	0.42232955	0.014497611	3.9671383000000002	0.71378523	3.8125193	3.4607427000000004	1.2690823999999998	3.9088062999999993	2.0531387	1.0215281999999999	0.6691063	1.6508208999999998	0.40063623	0.5754108	0.20175661
LYVE1	1.1570913999999999	4.8757496	4.321172	1.3449053999999998	4.7214003	1.6826189999999999	3.419522	0.34494959999999997	3.6633961000000004	1.2869579	0.9855609000000001	2.0976171000000003	0.62302387	0.25107563	0.5361526	4.615915	3.7697464999999997	1.2631196000000002	0.6323526999999999	2.636916	1.2388668999999999	0.8797943000000001	0.3786144	0.7908371	4.370902500000001	1.1506448999999999	1.9449196	0.62302387	2.111051	1.5946169	1.8399782	4.0373683	4.83491	1.2327062	2.4672816	2.0840685000000003	1.5993719	2.9708657000000005	1.5210948	3.5717216	1.8953143	0.71378523	0.8797943000000001	2.531084	2.9837008	2.250979	1.0357134	4.26006	1.1764042	3.5825336	0.82382965	4.1201644	1.6508208999999998	4.339894	3.3045058	0.9561472	0.94119436	4.466611400000001	1.1764042	5.580736	4.4515294999999995	0.52618414	3.7729904999999997	2.1342453999999997	2.8258237999999998	1.0215281999999999	1.2570579	0.44372052	0.8797943000000001	0.5361526
CDH18	0.124459624	2.687107	1.0215281999999999	2.4880432999999997	2.7398314	0.07052474	0.8560810999999999	2.361813	0.014497611	0.26316009999999995	0.40063623	3.0161672000000004	0.4751773	0.6600121	1.0427017	2.4409522999999997	0.6781482	3.1243557999999996	4.1811300000000005	0.8480885	2.3978515	0.94119436	0.7485361999999999	3.0444293	3.1699585999999997	3.9827774	0.33353373	0.87191325	0.5754108	2.577725	0.23891501	1.8359431	1.5059485000000001	0.8640384	0.15068647	0.08420307	0.0	0.35624728	2.7928972	2.1922037999999997	3.9288862	3.6893002999999998	3.6814603999999997	0.0	0.6871335	0.028709901	0.9486982	0.83196074	0.5754108	0.5754108	1.9928074	3.8884665999999997	0.0	1.3785836	2.0738373	0.94119436	0.042784035	0.80744386	0.0	1.5460458000000001	0.4751773	3.8298974	0.25107563	2.8237624	0.49579449999999997	0.9782476000000001	0.0	4.274282	3.0250237	2.4620397
ITGA2	0.8480885	2.8298626000000002	1.9411447	0.8480885	3.6621989999999998	0.43305513	1.2265648999999998	0.7991509	0.73994064	0.8640384	0.7571259	0.49579449999999997	1.5704931	0.71378523	1.7824702000000001	2.5849729	0.73994064	1.0215281999999999	1.3896316999999998	1.9598305	1.2810018	1.3045712	1.2449315	1.182776	2.1243687	2.4620397	1.1177393	0.40063623	0.9486982	0.43305513	0.6960961999999999	0.7049559	0.40063623	0.5754108	0.8480885	0.72254187	0.89538705	1.2510145000000001	0.46478304	0.77407175	1.0144353000000002	1.2631196000000002	0.887589	1.6690792	1.0704504	0.9486982	1.1506448999999999	0.71378523	1.0144353000000002	0.3786144	1.4957263	0.87191325	1.4542183000000002	0.78250456	2.722501	1.3162155	0.62302387	1.1243893999999999	0.6136315999999999	0.59464574	0.7571259	0.76562524	0.87191325	1.438321	0.7312613	1.4222745	0.62302387	0.9108029000000001	1.0286552	1.2203858
NRXN3	0.65087	1.6508208999999998	1.8278862	2.3191085	5.187409	0.7485361999999999	0.78250456	2.1144347000000003	0.6041816	2.0250578000000004	1.5753416	1.9069613	1.9818863000000002	3.7549245000000004	1.5110093	4.893333999999999	0.50599486	0.8400183000000001	3.0738254	3.7037904000000004	1.0286552	0.87191325	2.9241211	2.2720363	2.392343	0.9782476000000001	1.5509181	0.21424463	1.5607548	1.2690823999999998	0.9561472	1.0976788999999998	0.55591464	0.8400183000000001	0.48553726	0.59464574	1.4330235	5.739828	1.8440174999999999	0.58506453	4.805295500000001	0.9336372	2.179561	0.4751773	2.6667721	1.438321	0.72254187	1.1954168	1.2510145000000001	2.0635524	2.4409522999999997	1.1177393	2.0143566	0.65087	3.418162	0.33353373	0.124459624	1.9373734	1.4542183000000002	1.8197037	0.42232955	1.2449315	1.0000511	0.6871335	0.59464574	0.9635396999999999	0.89538705	4.574117	2.6135337000000005	1.5110093
CLEC4M	0.042784035	0.11116745	3.6724257000000007	0.08420307	0.124459624	2.2047992	4.6746707	0.0	4.7490234000000004	2.3248699	0.16362981	0.0	0.0	0.0	0.124459624	0.05672351	3.9891486000000005	0.0	0.042784035	0.07052474	1.0976788999999998	0.097748086	0.46478304	0.0	3.7644646	0.0	1.6229928	0.0	0.0	1.7527944	0.0	4.8762326	6.335362	0.0	3.2824125	0.0	1.3562181	3.314667	3.3659537000000004	4.0832453	0.028709901	0.014497611	0.028709901	0.042784035	0.99286234	3.5729122	1.2203858	5.868681400000001	0.0	3.6553843	0.0	4.6604529999999995	0.0	3.7495546	0.58506453	0.15068647	0.0	6.188007	0.59464574	7.536484700000001	5.087916000000001	1.2079737	5.361103	1.3104153	0.0	0.20175661	3.5582623	0.0	1.8319125	0.0
VTN	1.8991928	2.9183917	2.5582678	2.0391898	3.6028953	0.9561472	2.5873902	4.5084605	1.2928126	1.9222491000000002	1.5753416	2.0143566	1.9184216	1.9671944	1.4906301000000002	2.6713237999999997	1.3562181	1.2570579	2.5631685	3.9588084	4.2690660000000005	1.0566703000000002	1.0704504	2.4222932	2.3785129	2.0108203999999996	0.6600121	0.99286234	2.166716	2.0391898	1.6041348	2.0391898	2.4982425999999998	1.5993719	2.1985368999999997	1.996404	1.5753416	2.3191085	1.9709185000000002	2.5993228	3.7004666	3.058325	3.7441862	2.1077466	2.3391377999999996	1.608838	1.33921	1.8440174999999999	1.2928126	2.176366	1.0566703000000002	1.4803389999999998	2.2047992	1.6599708999999998	2.6111912999999998	5.7194199999999995	1.438321	1.618267	0.9855609000000001	1.618267	1.3334688000000001	2.2539822999999997	1.4957263	2.7506392	2.032156	1.5993719	2.5993228	0.44372052	1.4803389999999998	0.89538705
PCDHGA9	1.1891136999999998	0.65087	1.8073926	0.9108029000000001	2.6915857999999995	0.6960961999999999	0.9336372	0.45428359999999995	0.8560810999999999	1.0566703000000002	0.77407175	0.2751237	1.8991928	0.6323526999999999	0.9184638	1.3729870000000002	0.6041816	0.9336372	1.1441122	1.7949808	1.3219714	1.8600012	0.9108029000000001	0.5754108	1.3104153	3.6587910000000003	0.6781482	0.9260758	1.2690823999999998	1.5704931	0.62302387	1.33921	0.9635396999999999	0.72254187	3.1209915	1.5110093	0.87191325	2.6736007	0.5656918000000001	0.82382965	1.3219714	3.2016497000000004	2.5235612	0.5656918000000001	0.9855609000000001	0.7908371	2.3785129	0.6041816	2.1922037999999997	0.9782476000000001	2.6415339	0.71378523	1.2510145000000001	0.7485361999999999	1.2928126	0.9561472	1.7824702000000001	1.0841396	1.1506448999999999	1.8359431	3.5801506	0.5754108	1.3896316999999998	1.7907819999999999	1.0976788999999998	2.5993228	1.1506448999999999	1.400608	2.2898313999999997	2.9855356
