	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
CCNB2	4.1538367	1.2203858	4.212616000000001	1.4647238	1.2631196000000002	4.990954400000001	5.4899354	2.1009912	4.638656	6.242267	5.0026755	1.9745712	4.2615767	5.452205	5.3764234	0.59464574	5.680581	5.433934	3.1602726000000003	2.0143566	3.3420432	3.8875341	6.2047753	3.1537902	4.819666000000001	5.8811655	4.8499665	5.9340696	1.0215281999999999	5.095098999999999	4.5235705	5.3875504	5.470872	5.512233	5.8019695	5.333107	4.580728	4.462029	4.819666000000001	5.9818883000000005	1.5898027	3.8914511	0.78250456	4.66564	4.5384970000000004	5.1403574999999995	4.8836718	5.448883	5.2195144	5.260793	3.5134835	3.8125193	5.341983	5.465985	4.123463	6.5442276	6.1193833	4.2133727	5.572903599999999	3.4982522000000005	6.730537400000001	3.8440347000000004	5.2968407	5.2838807	5.4558206	5.620304	5.5140910000000005	6.070804	4.738241	5.5613523
TPX2	4.5576425	0.9486982	4.735546	1.5410503999999998	1.9184216	4.631074400000001	5.3603225	2.1922037999999997	4.721881400000001	5.689896	5.297523	2.0250578000000004	4.549696	5.047846	5.2931376	0.6781482	5.651955	5.026806400000001	3.4931483	2.5160465	3.2126189999999997	4.5235705	6.003346400000001	3.2839379999999996	4.798064	5.6094303	4.963455000000001	5.5169277	1.0427017	5.187409	4.5373483	5.361396	5.5291559999999995	5.4422383000000005	5.346957	5.454550299999999	4.5981727	5.012171299999999	5.1155862999999995	6.168480000000001	1.9928074	4.1811300000000005	1.049722	5.039603	4.7463274	5.912923999999999	4.647297	5.3473473	5.6887197	5.085780000000001	3.786621	4.091717	6.22125	5.4032683	4.065278500000001	5.862489	6.4873557	4.677553700000001	5.353688	3.3117886	6.318276999999999	3.6484803999999995	4.857497	5.6530337	5.771629	5.1683497	5.502354599999999	6.1218476	4.658243700000001	5.4551362999999995
PLK1	4.28908	1.7949808	4.698797	3.0652797	1.5607548	4.189069	5.523873	1.5460458000000001	4.488007	6.387817	4.799607	1.9635481	4.522901	5.588569000000001	4.7697306	1.8359431	4.791798	4.6707315000000005	3.7125642	3.111082	3.1683583	4.145721	5.7059809999999995	4.292781400000001	4.8384805	5.5746655	5.054441000000001	4.8885026	2.7398314	4.961616	4.788714	5.3441279999999995	5.242583799999999	5.2581635	5.1858525	5.2589426	4.517258	4.7739697	4.864449	5.6585225999999995	2.8679327999999997	4.2226467	0.8480885	4.7881355	4.234196	5.3312545	4.303792	5.3722267	5.3344727	5.2723846	3.6229150000000003	4.2433834	5.082771299999999	5.2075458	4.401182700000001	6.235754	5.427976	4.4215784000000005	5.533265	3.9690106	5.919316	3.9699470000000003	4.7042785	4.370141	5.5846524	5.029908	5.28544	4.886087	4.257785	4.945842
CENPF	4.3291535	0.32205167	4.775607599999999	2.5410169999999996	0.9486982	4.9387784	6.4378233	2.8114889	5.849517	5.9481373	5.959747	2.350545	4.643264299999999	6.4849825	5.520449	0.80744386	6.2909274	5.870844	3.9126341	2.548476	3.4501991000000003	4.9443903	6.8764205	3.3205156000000002	5.435302	7.1985470000000005	6.195897	6.019	0.6600121	5.967619	4.9895983	6.0119114	6.558078299999999	6.1233262999999996	5.8887353	5.503039	4.8996162000000005	5.505875	5.6707764	6.3833704000000004	2.3701974999999997	5.3233559999999995	1.0909218	4.482848000000001	5.123939	6.0175233	5.685091000000001	6.556595	5.451521	5.8175864	4.6524816	5.046584999999999	6.2890515	5.834679599999999	5.2835884	7.9285283	7.852151400000001	5.6693052999999995	5.739828	3.7516837	6.998219000000001	4.9141164	6.476083	6.264176	6.302675700000001	5.943710299999999	6.229044999999999	7.037613	5.7543526	6.1460977
TUBB4A	5.7447343	4.872369	6.656361	6.5787587	6.813274000000001	6.237037	6.1643386	4.482848000000001	5.432274	6.710826400000001	6.0056105	7.302956599999999	6.7657074999999995	6.292013	4.8419547	4.7597127	6.2035913	5.622068	7.3660635999999995	0.87191325	4.902999400000001	5.3150687	5.627358	6.8638287	0.22663648	5.8442110000000005	4.275799	4.684858	6.876916400000001	6.7081523	5.548726599999999	6.870570699999999	0.7908371	4.4847584000000005	6.328449	3.8328729	3.7192168	7.015384700000001	5.952761	5.675776	6.6644797	6.4055040000000005	6.324301	4.232681299999999	4.859524700000001	0.15068647	1.5704931	6.053073400000001	0.08420307	4.9795264999999995	5.4640303	6.819914999999999	0.16362981	5.4455605	6.6587369999999995	6.1195807	5.2303176	5.046584999999999	0.49579449999999997	5.636373000000001	5.8220067	5.041736599999999	0.21424463	4.3147125	0.48553726	2.5360487000000003	5.715103	0.07052474	6.209017299999999	6.382480999999999
GTSE1	2.8135476	0.6323526999999999	4.64096	1.5460458000000001	0.7571259	4.2847157	4.7677073	1.3334688000000001	3.7980342000000005	5.693525	4.1309114000000005	1.3162155	4.7985463	5.10306	4.137512999999999	0.3674849	4.8464913	5.505288	3.4100962	2.1505704	2.3729412999999995	4.4073763	5.083256700000001	3.3219557	4.687645400000001	4.7120690000000005	4.403279	4.3067355	0.8400183000000001	5.1591144	4.3491163	5.0223474999999995	5.0391183	4.95697	4.875267	5.493749	4.399849	5.0139154999999995	4.28908	5.365981	1.6599708999999998	3.6679102999999995	0.35624728	4.2957234	3.9020865	5.6693052999999995	4.604693	4.8768125	4.892851	4.468617	3.104363	3.8816602	5.3458843	5.15581	4.0942583	5.677541000000001	5.6458783	4.189825	5.5494113	3.0338876	5.4698944	3.3798684999999997	4.480937	5.5282754999999995	5.5163407	4.521083999999999	4.8374185999999995	4.440938	3.9955214999999997	4.7985463
PKMYT1	5.138706	2.003606	6.253221	2.990955	0.77407175	5.9169555	6.565894999999999	3.0891716000000002	5.733057	6.5304775	5.365981	3.6836736000000005	5.9795264999999995	6.812382	5.121025599999999	1.6599708999999998	6.197673	6.064794999999999	4.547207	2.7845142000000003	4.464702	5.806094	6.757682300000001	5.923643599999999	5.110245	5.3337900000000005	4.189825	6.516332599999999	2.2172682	6.872453999999999	6.654677400000001	6.201224	6.4315963	7.098754400000001	5.966241	6.332004	5.1457024	6.2761197	5.9345617	6.8375582999999995	3.7634456	4.857497	1.0773331	5.859934	5.230707	6.2029996	5.576819400000001	6.966373	5.985924	6.604686999999999	4.1802793	5.5942492	6.108148	6.962008	5.862489	6.4142995	6.3635125	6.220165	6.6663613	4.324117	6.2488790000000005	5.092089700000001	6.7105293	6.4574957	6.923820500000001	5.9848413	6.904482000000001	4.6588197000000005	4.9918260000000005	5.970866
CDK1	3.2295833	1.2869579	5.1803093	2.1635296000000004	1.9145979	4.3247824	6.4025397	3.471203	4.632322	4.5077915	4.9188540000000005	1.5410503999999998	5.3269634	6.0170307	5.9097767	1.2016847	5.875758	5.143662	3.9781873	2.2079334	3.1209915	5.032526	5.4640303	3.003641	5.9143004	5.6299057	4.071297	5.570456	0.7049559	5.927676	4.795461	5.709021	5.9936996	6.163944	5.481918299999999	5.2972307	4.758653	5.5894504000000005	4.7398777	6.2041835999999995	2.1177437	4.7098565	0.89538705	3.9754715	4.5428996	5.9134154	5.719714	5.705196	5.305223000000001	5.1497839999999995	4.3391333	4.5404105	6.2534184	5.989861	5.1263676	6.8127785	5.8582635000000005	4.7991247	6.223618	3.7980342000000005	6.9286804	4.411474	5.6630316	5.577701	6.370823000000001	5.421236	5.527004	7.11861	5.260403599999999	6.0391865
FOXM1	5.098885	1.2690823999999998	7.021041	2.5728972000000003	1.4803389999999998	5.5345373	6.1608872	2.2234745	5.846471	7.381469999999999	5.5710435	2.0704064	6.418154	6.1049942999999995	5.682247599999999	1.6826189999999999	6.3892	5.974803	4.2660317	2.74417	3.904046	5.111896	6.352054	4.3624334000000005	6.0832176	5.920103	6.029043700000001	6.860854600000001	1.641562	6.9323497000000005	5.8280973	6.2057614	6.1514215	6.4687667	6.099969000000001	6.492696	5.3715434	5.9556146	5.77369	6.5470967	2.0976171000000003	5.2195144	0.6136315999999999	5.814836	5.617365	6.9017053	5.379254	6.6050830000000005	5.7884183	6.1135683	4.237984	5.166697	6.6663613	6.0103364	5.048331	6.7902822	6.7912729999999994	5.408736	7.114241000000001	3.7907957999999997	7.3000755	4.835392	6.480631400000001	6.2041835999999995	6.8380537	6.7034970000000005	6.3655870000000006	5.6561694000000005	5.041348999999999	6.029437000000001
AURKA	3.051375	1.0566703000000002	2.8894502999999996	1.0000511	1.4594975000000001	4.2241607000000005	4.5267277	1.5753416	3.8866017	4.999091	4.1260085	1.2016847	3.5410663999999996	4.6299224	3.7125642	0.8797943000000001	4.3161373	3.323396	2.2898313999999997	1.875834	1.996404	3.4436587999999997	4.868409	2.8894502999999996	3.6587910000000003	4.521658	3.7093312999999997	3.6780487999999996	0.73994064	3.8560410000000003	3.6241095000000003	4.296482599999999	4.469285	4.5704765	4.066971	4.193795	3.614739	4.046104	3.8217175	5.348713	1.5753416	3.0215151000000002	0.99286234	3.6530826000000003	3.1890876	5.1638775	3.8982606	4.503968	4.6017209999999995	4.321932299999999	2.8460355	3.308911	5.3926263	4.4442773	3.1243557999999996	3.7928371	5.2701435	3.6747303	4.8384805	2.7740042000000003	5.1375402999999995	3.2524781000000003	3.9259896	4.1326089999999995	4.5509405	4.389562000000001	4.5558233	4.3568206	3.393707	3.9448705000000004
