	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
MARCO	1.3219714	7.5430493	1.2928126	0.028709901	1.4542183000000002	2.0669782	1.9184216	0.0	2.978198	1.2928126	1.182776	1.929841	0.0	0.0	0.11116745	1.2750628000000002	1.7697916	0.94119436	0.26316009999999995	1.8480612	3.2032545	0.014497611	0.44372052	0.20175661	2.2779882000000002	0.76562524	0.38968015	1.8600012	0.028709901	0.124459624	4.5341907	3.3645992	3.5643952000000003	2.250979	0.45428359999999995	4.972265	0.887589	0.73994064	0.45428359999999995	0.6323526999999999	1.4060217	0.6041816	0.32205167	5.3344727	5.3652983	0.59464574	0.46478304	5.4512279999999995	0.6691063	0.7571259	1.2690823999999998	1.4115105	0.33353373	3.8914511	0.78250456	0.25107563	1.0000511	3.1026838	0.35624728	6.6635884999999995	3.0755882000000003	0.44372052	1.9107777	0.07052474	1.5753416	1.0841396	0.2751237	0.6041816	0.18916444	0.26316009999999995
PCDHA6	0.3674849	0.16362981	0.9260758	1.3951445	0.18916444	0.2751237	1.5410503999999998	0.7571259	0.8560810999999999	1.9107777	0.83196074	0.99286234	1.4854795	1.7093155	1.2869579	1.2141696000000002	1.8520371	2.9279428	1.0286552	1.0909218	0.6691063	3.3348334000000004	1.438321	0.6041816	1.33921	0.58506453	1.0566703000000002	0.45428359999999995	2.5360487000000003	0.9336372	0.83196074	2.9448977000000003	0.43305513	0.72254187	2.0908759999999997	0.43305513	0.58506453	1.4699608999999998	0.94119436	3.2063751	4.3247824	3.9909291	4.0000215	0.15068647	0.42232955	1.1570913999999999	0.8797943000000001	1.8278862	1.8156192	1.0976788999999998	2.4515689999999997	0.7485361999999999	0.82382965	0.887589	1.5753416	0.7991509	1.0566703000000002	1.0215281999999999	1.2631196000000002	0.77407175	2.9297671000000003	0.6871335	0.8560810999999999	1.9145979	0.8640384	1.1111153	1.1177393	0.5161281	0.5361526	0.9782476000000001
PTHLH	0.71378523	4.427585	1.4803389999999998	2.8639631000000003	2.5459888	0.7049559	1.2141696000000002	0.8480885	1.0072758	0.4751773	0.90309465	4.945842	1.1570913999999999	0.73994064	0.15068647	3.5071885999999997	1.1570913999999999	0.9782476000000001	1.3104153	1.0773331	0.82382965	0.6691063	0.38968015	2.4168446	2.9448977000000003	0.8797943000000001	0.48553726	0.5656918000000001	2.5134885	1.2327062	0.31045547	1.618267	0.48553726	0.44372052	0.62302387	1.400608	0.8156711	0.64164835	1.0773331	0.80744386	4.2433834	2.7740042000000003	2.3701974999999997	3.8599517	0.94119436	0.18916444	0.6691063	0.8640384	0.17644595	0.49579449999999997	2.7676876	0.94119436	0.8560810999999999	3.0772630000000003	1.8359431	2.55586	0.13763218	1.7442220000000002	1.2016847	1.6508208999999998	0.6691063	0.83196074	1.4647238	0.6871335	0.54605496	1.182776	0.99286234	0.6781482	0.7908371	0.55591464
VIP	2.9927914	2.1243687	0.5754108	1.2079737	6.37191	0.17644595	1.6229928	1.0286552	0.6781482	0.32205167	2.5753107	1.8480612	2.292776	0.94119436	0.3786144	5.3222833	0.07052474	1.0144353000000002	0.9336372	1.2928126	2.003606	5.2697544	1.0286552	1.1243893999999999	2.4356506	0.9561472	5.0695744000000005	2.392343	1.2750628000000002	0.2751237	0.7485361999999999	0.7908371	0.8400183000000001	0.9855609000000001	0.33353373	0.23891501	0.94119436	0.6323526999999999	0.8480885	0.78250456	1.0635976	3.8923836000000005	8.0107	0.3786144	1.1570913999999999	0.65087	1.0566703000000002	0.6781482	0.45428359999999995	0.62302387	4.2023997	0.9260758	1.4699608999999998	0.89538705	1.1441122	5.597873	0.34494959999999997	1.875834	0.3674849	1.8953143	0.9336372	0.9561472	2.0000036	1.3104153	0.8156711	2.3191085	1.5160798999999998	2.060053	0.8797943000000001	0.31045547
ADRA1B	0.64164835	1.7355311999999998	1.33921	1.4168863999999999	2.179561	0.58506453	0.9486982	4.071297	0.9486982	1.3104153	0.9336372	1.7485055	1.0000511	0.71378523	1.0773331	1.2750628000000002	0.50599486	0.80744386	0.9336372	0.887589	2.2720363	0.99286234	1.636943	1.0215281999999999	0.72254187	1.33921	1.3618348	0.17644595	2.9560432	1.4330235	1.1699992000000001	0.64164835	0.46478304	0.8400183000000001	0.52618414	1.0072758	1.4542183000000002	0.59464574	1.2928126	1.1111153	3.2063751	1.9030752	2.5849729	1.7907819999999999	1.608838	0.6323526999999999	0.7312613	1.1111153	1.1177393	0.9184638	0.9635396999999999	0.7049559	0.9184638	0.9561472	1.0286552	0.58506453	0.17644595	0.5161281	0.6691063	1.4436299	0.25107563	0.83196074	1.049722	1.1111153	1.33921	1.7949808	0.7908371	0.41153392	2.2660909	0.64164835
HRH1	2.4594207000000003	2.3978515	2.8419895	1.6915852999999998	3.9078730000000004	0.49579449999999997	0.42232955	3.974535	0.87191325	1.2016847	1.4436299	2.2172682	1.0427017	0.71378523	0.44372052	2.500795	0.5161281	1.8991928	1.618267	2.4168446	2.1043677000000005	3.9212252999999997	0.59464574	3.0858182999999997	1.8480612	0.8560810999999999	1.0215281999999999	1.1506448999999999	3.7484436000000003	0.5361526	0.76562524	0.9486982	0.6691063	0.54605496	0.52618414	1.0357134	1.641562	0.6781482	0.72254187	0.7049559	2.5945642	4.5317025	3.5097427000000003	2.6461546	1.7137631000000002	0.99286234	1.0427017	0.9184638	0.40063623	0.7049559	4.1317606	1.0000511	1.4647238	1.2141696000000002	1.1111153	2.4646602000000004	2.1603448	0.8400183000000001	0.6323526999999999	1.1243893999999999	0.50599486	1.4647238	0.87191325	2.2172682	0.6600121	1.5946169	0.9108029000000001	0.5754108	0.9184638	1.1699992000000001
CXCL11	0.08420307	0.7571259	1.636943	1.608838	0.6600121	0.89538705	2.8032591	0.05672351	0.89538705	1.0215281999999999	0.18916444	0.90309465	2.7845142000000003	0.18916444	0.05672351	1.33921	0.8797943000000001	0.22663648	3.1586738	1.2449315	0.9709230999999999	0.31045547	0.45428359999999995	0.46478304	1.0072758	0.028709901	1.400608	0.25107563	0.08420307	0.18916444	0.7049559	1.0427017	1.1111153	4.960261	1.0773331	5.161933400000001	1.7485055	1.4222745	0.3674849	0.50599486	0.32205167	0.097748086	0.042784035	0.17644595	1.1111153	2.4087207000000004	1.3162155	1.6645558999999996	0.2987822	1.0286552	2.7247077999999996	2.7527682999999996	0.097748086	0.34494959999999997	1.5849965	0.50599486	0.6041816	1.1891136999999998	1.3951445	1.0841396	1.2141696000000002	0.28699607	1.0841396	0.33353373	1.7949808	0.11116745	0.16362981	0.124459624	0.32205167	0.05672351
UCN3	0.0	0.65087	0.77407175	3.4356692000000004	5.6763650000000005	1.9561163000000001	0.124459624	0.34494959999999997	0.097748086	0.8156711	0.05672351	3.6123510000000003	3.5557915999999996	0.0	0.0	2.922211	1.8278862	0.0	3.5981236000000005	0.11116745	2.1276843999999997	0.23891501	0.05672351	3.1618717	0.20175661	0.0	0.59464574	0.9108029000000001	3.1667585	0.0	0.20175661	0.5161281	0.15068647	1.3674041000000001	1.400608	0.7312613	1.2388668999999999	5.478301	1.3334688000000001	0.05672351	2.687107	0.08420307	1.3334688000000001	0.05672351	0.11116745	0.20175661	0.23891501	1.0427017	0.4751773	0.6960961999999999	1.4436299	0.48553726	0.9108029000000001	0.05672351	0.05672351	0.16362981	0.0	0.28699607	0.8560810999999999	4.737182	0.6041816	0.42232955	0.44372052	0.028709901	0.25107563	1.7991133000000001	4.772428	0.124459624	0.72254187	2.0391898
ADRB2	0.097748086	1.2631196000000002	1.4854795	3.0738254	1.4168863999999999	0.76562524	0.7571259	0.07052474	0.46478304	1.3896316999999998	0.45428359999999995	1.7824702000000001	0.9855609000000001	2.1342453999999997	2.0108203999999996	1.3277426	1.4168863999999999	0.2751237	3.3659537000000004	1.1954168	1.0841396	0.05672351	1.4854795	1.3104153	0.59464574	0.15068647	0.2751237	0.3674849	0.8400183000000001	0.17644595	0.8400183000000001	1.3277426	0.9635396999999999	1.9184216	1.0072758	0.9486982	1.9709185000000002	4.1945515	1.7570888	1.3334688000000001	2.8972402	0.21424463	0.21424463	0.8797943000000001	0.50599486	0.31045547	0.7312613	1.0566703000000002	0.44372052	1.3104153	2.9392428	1.5509181	1.2987429	1.1177393	0.64164835	0.23891501	0.028709901	1.3219714	0.83196074	4.0356774	0.52618414	0.4751773	1.1044103	1.8032506000000001	1.1570913999999999	0.46478304	3.4316761	1.883629	0.54605496	0.65087
GNA15	1.9928074	4.959293	3.7876415	1.7311942999999999	3.305944	1.6736089	2.7158847	0.7049559	2.2986703	2.2448986	2.0000036	1.7782153000000003	2.1408155	1.1441122	0.52618414	3.5071885999999997	1.2327062	1.438321	1.718147	2.4880432999999997	3.6206178999999996	0.7991509	1.3562181	1.5160798999999998	1.9449196	0.7485361999999999	0.52618414	1.7991133000000001	1.2016847	2.1043677000000005	1.883629	1.9449196	1.6229928	2.2419004	1.2510145000000001	3.7718781999999997	1.8237927	1.718147	2.9260318	1.9486238	1.6276582	1.3277426	0.887589	4.877778	3.419522	1.0976788999999998	1.0427017	2.226541	1.2570579	1.1764042	1.4115105	1.8719058999999998	0.6691063	1.7311942999999999	2.1603448	0.89538705	0.80744386	1.7866592000000001	1.7137631000000002	1.7442220000000002	1.6599708999999998	1.0841396	2.1310024	0.9108029000000001	1.5210948	1.5993719	1.6276582	2.0566328	0.9561472	1.3505546
