	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
IGHV4-4	0.0	0.52618414	0.0	0.0	2.8679327999999997	1.8359431	3.8104758000000003	0.6960961999999999	1.2016847	1.3618348	0.0	0.0	0.0	0.0	0.0	3.3533165	0.43305513	1.438321	0.83196074	0.0	0.20175661	0.2751237	0.0	0.0	2.1570847	0.0	0.0	1.0072758	0.0	0.5656918000000001	1.8719058999999998	2.250979	2.9579601	1.5410503999999998	0.0	0.7991509	0.80744386	2.687107	1.3785836	1.0773331	0.15068647	0.0	0.16362981	0.0	3.9606802000000005	3.5223372000000004	0.49579449999999997	2.8914404	1.6229928	0.0	1.9260064	5.197719	0.0	0.8640384	0.22663648	0.45428359999999995	0.0	0.0	1.1044103	4.003584399999999	4.3923239999999995	0.9336372	1.5410503999999998	0.0	1.9069613	0.0	0.0	0.17644595	0.0	0.0
CD1E	0.0	0.54605496	0.58506453	0.2751237	1.0000511	1.3219714	2.2234745	0.0	4.1666765	1.4168863999999999	0.124459624	0.5656918000000001	0.13763218	0.50599486	0.0	1.1441122	1.1243893999999999	0.42232955	0.7908371	0.94119436	0.042784035	0.25107563	0.48553726	0.43305513	2.6229951000000002	0.38968015	0.22663648	0.25107563	1.0286552	4.676977	0.07052474	3.4396633999999997	1.182776	0.9108029000000001	3.6633961000000004	0.18916444	3.6870863	1.0286552	5.335253	4.3909907	0.54605496	0.3674849	0.20175661	0.42232955	1.2510145000000001	0.6960961999999999	2.577725	2.7845142000000003	0.4751773	1.4906301000000002	1.3162155	0.28699607	0.5161281	4.2660317	0.94119436	0.18916444	0.08420307	3.5422550000000004	2.987371	1.7137631000000002	2.0738373	0.8480885	1.0357134	0.65087	1.4957263	0.41153392	1.2141696000000002	0.18916444	0.042784035	0.26316009999999995
IGHV1-3	0.0	4.22577	0.0	1.5704931	2.361813	4.2047644	2.8197267000000004	0.0	0.22663648	3.3074725	0.0	0.0	1.4168863999999999	1.1506448999999999	0.0	2.0908759999999997	0.7571259	7.109376400000001	0.0	0.43305513	0.0	0.0	0.0	0.43305513	0.9782476000000001	0.0	1.1891136999999998	0.0	0.0	0.0	1.2869579	2.313273	3.3533165	1.4168863999999999	0.0	0.13763218	1.0773331	4.252478	1.3045712	0.49579449999999997	0.20175661	0.0	4.121861	0.11116745	6.740939	3.0072305	0.0	2.0738373	0.6136315999999999	0.7485361999999999	3.1209915	6.0900164000000006	0.0	1.2079737	0.0	0.0	0.0	1.4060217	0.0	4.25172	4.87971	0.0	1.8278862	0.7485361999999999	2.2898313999999997	0.5361526	0.0	0.0	0.76562524	0.35624728
HP	0.13763218	0.9260758	2.8419895	0.124459624	3.3320407999999997	2.7676876	0.18916444	0.0	4.196915	0.08420307	0.124459624	0.34494959999999997	0.014497611	1.7398738	0.014497611	2.4168446	1.7005076000000001	3.0321317000000003	0.07052474	0.42232955	0.33353373	0.58506453	0.16362981	0.23891501	4.500813	0.2987822	0.07052474	0.05672351	0.25107563	0.38968015	0.21424463	1.8719058999999998	1.5210948	3.8787705999999997	1.2449315	0.887589	0.89538705	5.431297	1.1441122	0.5161281	0.13763218	0.124459624	0.65087	0.5161281	0.5656918000000001	0.41153392	0.80744386	2.9855356	1.7866592000000001	2.2419004	0.28699607	1.7093155	0.20175661	3.220384	0.38968015	6.8788	0.8156711	1.3505546	0.25107563	0.9561472	4.0303254	0.6600121	1.8719058999999998	0.49579449999999997	5.235379	0.097748086	1.4699608999999998	0.0	0.55591464	0.014497611
IL1RAP	1.3562181	2.8836555	3.0635187999999998	0.82382965	4.234954	0.9486982	0.82382965	0.9486982	0.9108029000000001	0.78250456	1.5210948	0.52618414	2.2660909	1.0286552	0.46478304	3.9514174	0.65087	0.6041816	1.875834	3.2645686	1.2327062	1.1441122	0.9184638	2.500795	1.7137631000000002	1.3841318999999999	0.25107563	0.54605496	0.6781482	0.6781482	0.5361526	1.1243893999999999	1.0286552	0.87191325	0.6600121	1.6323309	1.1044103	0.90309465	0.6960961999999999	0.80744386	1.2016847	0.9184638	0.9855609000000001	2.4060422999999997	1.2570579	0.50599486	0.45428359999999995	1.3104153	0.43305513	0.11116745	0.50599486	0.71378523	0.65087	0.82382965	2.9429832	1.5849965	0.71378523	1.2570579	0.89538705	0.71378523	0.7571259	0.72254187	0.80744386	0.8480885	0.73994064	0.76562524	0.78250456	1.1764042	0.6871335	1.4115105
IGHV3-73	2.6644973999999997	1.8953143	1.3104153	0.7991509	1.0704504	3.4208817000000002	3.2898623999999996	0.0	1.4276745000000002	1.3951445	0.0	0.17644595	0.0	0.0	0.0	4.4542017	1.3951445	2.060053	5.4366699999999994	0.11116745	0.0	0.6600121	0.20175661	0.2987822	2.4060422999999997	0.59464574	0.6781482	0.0	0.0	0.18916444	1.5059485000000001	4.6004744	3.4114553999999995	1.0215281999999999	3.0858182999999997	2.3045709999999997	0.33353373	2.9297671000000003	1.1699992000000001	0.8560810999999999	0.9260758	0.097748086	0.124459624	0.7049559	2.1985368999999997	5.418892400000001	0.7049559	1.8359431	2.4195275	1.1699992000000001	1.0286552	4.3638606	0.0	0.7049559	0.7049559	0.0	0.54605496	4.291357499999999	3.3631544	2.4462585	4.1827364000000005	0.17644595	1.8156192	0.62302387	1.8600012	0.38968015	0.28699607	0.2987822	0.0	0.0
IGKV1D-13	0.0	0.0	1.8440174999999999	0.0	0.0	2.1408155	4.9382954	0.0	0.26316009999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.8480885	0.6136315999999999	0.0	6.775417999999999	0.15068647	0.0	1.182776	0.5754108	2.3840897	0.0	0.0	1.4906301000000002	0.5161281	0.0	0.73994064	2.8419895	0.9561472	1.2510145000000001	0.6323526999999999	1.8600012	3.8768133999999996	0.0	2.1505704	2.2539822999999997	0.28699607	0.20175661	0.0	0.0	1.3334688000000001	0.0	7.0308649999999995	4.7114916	2.4803216	1.0635976	0.5754108	0.23891501	4.151383	0.0	2.2868881	3.6971437999999996	0.0	3.4501991000000003	1.1891136999999998	1.5210948	3.1715589	4.9546475	0.42232955	0.22663648	0.6041816	2.6599494999999997	0.11116745	0.73994064	0.6781482	0.32205167	0.0
IGHV2-26	0.65087	2.201667	0.55591464	0.9635396999999999	2.8278	1.4115105	1.989139	0.0	2.6040845	0.26316009999999995	0.0	0.21424463	1.0215281999999999	0.0	0.0	3.7071147000000004	1.7697916	0.5656918000000001	5.899157	0.13763218	0.0	0.0	0.46478304	1.6781452000000001	1.9260064	0.0	0.0	0.0	0.0	1.5753416	0.887589	2.0496476	4.1026397	1.4542183000000002	1.7485055	3.8278519999999996	0.28699607	1.6599708999999998	2.565662	1.2203858	0.0	0.0	2.0807064	0.0	4.300849400000001	4.6105433	1.4751447	1.2750628000000002	1.1764042	0.40063623	1.3618348	3.5813422	0.0	1.6276582	0.9184638	0.124459624	0.0	1.1699992000000001	2.9392428	3.0250237	4.2008867	0.5754108	1.4594975000000001	0.59464574	0.76562524	0.11116745	0.9260758	0.20175661	0.0	0.20175661
MS4A1	0.8797943000000001	0.3786144	4.3778505	2.5059025000000004	1.5110093	4.1561966	6.618841000000001	0.5656918000000001	3.4087373999999997	1.3104153	0.46478304	0.7312613	0.8640384	0.0	0.38968015	1.0566703000000002	4.1561966	1.1764042	3.8227396000000002	2.2600729999999998	0.3786144	0.6960961999999999	0.26316009999999995	0.44372052	5.666462999999999	0.15068647	2.0143566	0.32205167	0.16362981	3.1586738	0.41153392	6.64646	7.326308999999999	3.211013	5.787338	1.5656528	3.3117886	5.3132167	5.5232863	4.4422736	0.042784035	0.014497611	0.5656918000000001	0.22663648	5.1263676	1.7225369	5.253197	5.391943	1.1375494	3.9288862	1.9145979	7.4087076000000005	0.83196074	4.317562000000001	0.71378523	0.16362981	0.11116745	4.9107327000000005	1.7093155	7.861212299999999	5.1505613	1.8440174999999999	5.0526953	1.6736089	1.2141696000000002	0.31045547	0.87191325	0.17644595	0.78250456	0.34494959999999997
IGLV3-10	1.4803389999999998	0.5656918000000001	1.9709185000000002	2.7092732999999996	6.414596599999999	5.422896400000001	4.02413	0.0	3.9439354	0.25107563	0.0	0.38968015	1.8520371	0.0	0.0	5.627946	4.646144400000001	3.0197616000000003	2.9011374	0.38968015	0.11116745	1.7005076000000001	0.35624728	3.7474256	5.321211	0.0	0.6960961999999999	0.0	0.0	2.0908759999999997	1.6645558999999996	5.4303203	6.0454893	2.3840897	3.5484730000000004	4.2211323	0.7991509	2.8540468	3.3161964	4.026852	0.16362981	0.0	1.7005076000000001	0.42232955	5.5153627	5.965356	0.6871335	2.6252575	2.6158772	3.104363	3.336275	5.9966526	0.0	0.7485361999999999	2.0942453999999997	0.22663648	0.35624728	1.9855485000000002	4.1260085	2.2419004	5.083256700000001	0.5656918000000001	2.1954083	2.0807064	3.524803	0.0	0.23891501	0.18916444	0.0	0.0
