	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
PTGS2	2.0807064	3.0635187999999998	4.0080857000000005	2.060053	0.6871335	0.11116745	0.7571259	0.5361526	0.99286234	0.5754108	3.1177167999999997	1.4489502	0.887589	0.35624728	0.028709901	1.7570888	0.9709230999999999	0.49579449999999997	1.3785836	3.9307550000000004	1.2928126	0.16362981	0.40063623	1.9745712	1.1891136999999998	0.44372052	0.2751237	0.25107563	0.80744386	0.46478304	0.8156711	1.1243893999999999	0.6960961999999999	1.2510145000000001	0.59464574	3.7071147000000004	2.2419004	0.32205167	0.8560810999999999	1.7527944	0.21424463	0.15068647	0.6136315999999999	4.898166000000001	2.0738373	0.46478304	0.73994064	0.59464574	0.40063623	0.08420307	0.21424463	0.38968015	0.41153392	0.26316009999999995	3.5260816	0.6323526999999999	0.42232955	1.1570913999999999	1.7949808	1.5801983	0.7312613	0.20175661	1.182776	0.13763218	1.8875689999999998	0.15068647	0.15068647	0.028709901	0.34494959999999997	0.07052474
CD1E	0.0	0.54605496	0.58506453	0.2751237	1.0000511	1.3219714	2.2234745	0.0	4.1666765	1.4168863999999999	0.124459624	0.5656918000000001	0.13763218	0.50599486	0.0	1.1441122	1.1243893999999999	0.42232955	0.7908371	0.94119436	0.042784035	0.25107563	0.48553726	0.43305513	2.6229951000000002	0.38968015	0.22663648	0.25107563	1.0286552	4.676977	0.07052474	3.4396633999999997	1.182776	0.9108029000000001	3.6633961000000004	0.18916444	3.6870863	1.0286552	5.335253	4.3909907	0.54605496	0.3674849	0.20175661	0.42232955	1.2510145000000001	0.6960961999999999	2.577725	2.7845142000000003	0.4751773	1.4906301000000002	1.3162155	0.28699607	0.5161281	4.2660317	0.94119436	0.18916444	0.08420307	3.5422550000000004	2.987371	1.7137631000000002	2.0738373	0.8480885	1.0357134	0.65087	1.4957263	0.41153392	1.2141696000000002	0.18916444	0.042784035	0.26316009999999995
MMP1	0.6871335	1.5753416	3.7004666	0.042784035	0.014497611	0.35624728	1.9598305	0.4751773	2.8032591	1.3951445	1.0072758	0.35624728	0.05672351	0.0	0.028709901	0.05672351	0.7908371	1.3729870000000002	0.11116745	0.6871335	4.342746	1.0427017	2.5680728	0.0	1.875834	0.7485361999999999	1.0357134	2.4249787	0.35624728	2.6040845	0.32205167	1.0215281999999999	0.07052474	0.9855609000000001	0.2987822	0.87191325	2.2479775	0.23891501	0.89538705	2.9653702	1.0909218	0.32205167	0.43305513	5.90781	4.8156147	0.5656918000000001	0.26316009999999995	1.636943	0.17644595	0.5161281	0.45428359999999995	0.2751237	2.9579601	0.7991509	0.5656918000000001	0.028709901	1.0635976	0.38968015	0.5361526	0.54605496	1.7655522000000001	0.45428359999999995	2.1858785	0.6960961999999999	0.7049559	2.9467254	0.58506453	1.8560168999999997	3.8639562000000005	0.9855609000000001
HP	0.13763218	0.9260758	2.8419895	0.124459624	3.3320407999999997	2.7676876	0.18916444	0.0	4.196915	0.08420307	0.124459624	0.34494959999999997	0.014497611	1.7398738	0.014497611	2.4168446	1.7005076000000001	3.0321317000000003	0.07052474	0.42232955	0.33353373	0.58506453	0.16362981	0.23891501	4.500813	0.2987822	0.07052474	0.05672351	0.25107563	0.38968015	0.21424463	1.8719058999999998	1.5210948	3.8787705999999997	1.2449315	0.887589	0.89538705	5.431297	1.1441122	0.5161281	0.13763218	0.124459624	0.65087	0.5161281	0.5656918000000001	0.41153392	0.80744386	2.9855356	1.7866592000000001	2.2419004	0.28699607	1.7093155	0.20175661	3.220384	0.38968015	6.8788	0.8156711	1.3505546	0.25107563	0.9561472	4.0303254	0.6600121	1.8719058999999998	0.49579449999999997	5.235379	0.097748086	1.4699608999999998	0.0	0.55591464	0.014497611
IL24	0.5161281	1.2388668999999999	1.4647238	0.99286234	0.8797943000000001	2.4032838	2.7158847	0.08420307	1.3505546	0.31045547	0.13763218	0.8400183000000001	0.58506453	0.13763218	0.11116745	0.7908371	1.9222491000000002	0.55591464	1.1310111	0.50599486	0.83196074	0.28699607	0.16362981	0.7908371	2.9818661	0.20175661	0.49579449999999997	0.2751237	1.0976788999999998	0.9709230999999999	0.28699607	3.3729997000000003	3.5789592000000003	1.2750628000000002	2.6017451	0.34494959999999997	1.0976788999999998	1.7697916	2.6229951000000002	1.5008324	0.42232955	0.11116745	0.23891501	0.9561472	2.0072117	0.76562524	2.6040845	3.2387896	0.28699607	1.4803389999999998	0.25107563	3.8529690000000003	0.13763218	1.6461880000000002	0.8560810999999999	0.28699607	0.097748086	2.3895907000000003	0.7991509	3.7430756	2.7092732999999996	0.31045547	3.4289541	0.45428359999999995	0.77407175	0.2751237	1.1044103	0.11116745	0.15068647	0.028709901
KIF2C	2.687107	1.0072758	4.320507	1.4906301000000002	0.9260758	4.248688	5.3501763	1.636943	4.021502	5.5897445999999995	4.5077915	1.5993719	4.469285	5.164753	5.0526953	0.54605496	5.2611833	4.71861	3.2063751	3.4607427000000004	3.2705736	4.287657299999999	5.2559237	2.989119	4.6809173	4.014371	4.871403	5.4025846	1.4436299	5.0548286	4.507122	5.2638125	5.8055053	5.216497400000001	4.99725	5.2924557	3.9212252999999997	4.8943005	4.8688917	5.568596	1.1954168	4.6421123	0.71378523	4.104335	3.5059116	5.6693052999999995	4.641536	5.075105000000001	4.7559566	5.0913129999999995	3.6836736000000005	3.900127	5.148909	5.060067	4.469285	4.807899	5.415865	4.3125279999999995	4.920305	3.2387896	5.577113	3.9030194	4.99725	5.033883	5.639215	5.256605599999999	5.0874305	5.0013190000000005	3.8550169999999997	4.885120400000001
MS4A1	0.8797943000000001	0.3786144	4.3778505	2.5059025000000004	1.5110093	4.1561966	6.618841000000001	0.5656918000000001	3.4087373999999997	1.3104153	0.46478304	0.7312613	0.8640384	0.0	0.38968015	1.0566703000000002	4.1561966	1.1764042	3.8227396000000002	2.2600729999999998	0.3786144	0.6960961999999999	0.26316009999999995	0.44372052	5.666462999999999	0.15068647	2.0143566	0.32205167	0.16362981	3.1586738	0.41153392	6.64646	7.326308999999999	3.211013	5.787338	1.5656528	3.3117886	5.3132167	5.5232863	4.4422736	0.042784035	0.014497611	0.5656918000000001	0.22663648	5.1263676	1.7225369	5.253197	5.391943	1.1375494	3.9288862	1.9145979	7.4087076000000005	0.83196074	4.317562000000001	0.71378523	0.16362981	0.11116745	4.9107327000000005	1.7093155	7.861212299999999	5.1505613	1.8440174999999999	5.0526953	1.6736089	1.2141696000000002	0.31045547	0.87191325	0.17644595	0.78250456	0.34494959999999997
MUC3A	1.6915852999999998	0.23891501	1.0215281999999999	0.40063623	0.042784035	1.1506448999999999	1.438321	0.014497611	1.1044103	2.137568	0.22663648	2.3477314	3.1424327	0.7571259	1.2327062	0.6600121	0.48553726	0.5161281	1.9411447	0.44372052	0.44372052	0.3674849	1.0215281999999999	0.18916444	1.2690823999999998	1.8073926	1.0635976	0.014497611	1.6599708999999998	0.6041816	0.31045547	1.7655522000000001	0.6960961999999999	1.6690792	2.6644973999999997	2.9855356	1.0566703000000002	3.9532883	2.4383416	1.1177393	0.71378523	0.55591464	0.042784035	0.50599486	1.0841396	1.4594975000000001	0.9561472	1.1310111	0.8480885	0.23891501	1.1111153	0.87191325	0.6781482	3.7634456	0.18916444	0.6323526999999999	3.1424327	1.2928126	0.62302387	1.6599708999999998	0.49579449999999997	0.33353373	0.8797943000000001	0.46478304	1.1375494	1.2810018	1.6276582	0.028709901	0.22663648	0.22663648
PTPN20	1.0427017	1.526119	2.9672017000000004	4.2509623	2.5704846000000003	2.3448386	3.3950648	0.4751773	2.5898084999999997	0.45428359999999995	0.21424463	3.139152	0.0	0.46478304	0.80744386	3.3406010000000004	3.8738312999999995	2.4462585	4.2226467	2.7676876	0.0	2.7761395	0.014497611	2.4005265	3.7224517	2.9260318	0.52618414	1.9598305	4.318322	0.7991509	2.3785129	3.255522	0.9635396999999999	3.9781873	3.4854045	0.52618414	4.0942583	4.038307	2.275051	1.0072758	4.13591	3.266092	4.022346499999999	0.52618414	0.59464574	3.1521926	3.6229150000000003	0.21424463	4.4515294999999995	3.3603556000000006	4.019719	2.6599494999999997	3.9344930000000002	1.4594975000000001	2.9982147	3.8894925000000002	3.0125740000000003	0.124459624	3.1177167999999997	0.6691063	4.2364690000000005	3.716999	3.1077220000000003	2.6392662999999996	2.987371	0.65087	3.1408367000000004	4.320507	3.5471926	2.72683
SLC11A1	1.718147	6.9974256	4.1755557	1.0357134	3.5981236000000005	0.5754108	1.1506448999999999	0.6600121	1.0215281999999999	1.1764042	2.4905915000000003	1.1243893999999999	0.55591464	0.77407175	1.5361298	4.259302	0.32205167	1.4957263	1.2388668999999999	2.4982425999999998	3.5534127	1.2987429	1.1375494	0.76562524	2.2234745	0.71378523	0.3786144	2.0669782	0.8156711	0.6600121	2.720295	0.3786144	1.3729870000000002	1.1177393	0.5361526	1.7866592000000001	2.032156	1.0215281999999999	1.3449053999999998	1.7824702000000001	1.2141696000000002	0.9108029000000001	0.44372052	6.6033015	4.878261599999999	0.5754108	0.33353373	1.3674041000000001	2.2868881	1.1570913999999999	1.182776	0.9184638	0.6781482	1.0841396	1.7225369	0.9184638	0.41153392	0.58506453	0.5656918000000001	1.929841	1.4699608999999998	1.0286552	2.3701974999999997	0.48553726	1.3104153	2.1440650000000003	0.6323526999999999	0.45428359999999995	1.3277426	0.15068647
