Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
TARGET-30-PAITCI-01	0	0.10569304409418524	0.04270278323491308	0.1301691599479317	0	0	0	0.07519448166744692	0	0	0	0.07526839735410779	0.03401319914498271	0.0217141993404384	0	0.3490518948158048	0	0.03738131757601309	0.12881152282417638	0	0	0	0.054	0.18756370067859926	1.0037110295375316
TARGET-30-PAITEG-01	0.0006	0.01770639232225749	0.022972829182504453	0.030998271649859827	0	0.07068871726347553	0.2039708630771181	0.011283338036556477	0	0	0.00473293831581286	0.011881146165352347	0	0.1403346173926585	0	0.40109626543230165	0.015430269983960963	0	0	0.06146062302162903	0	0.006835700598247275	0.022	0.3035051454113462	0.966526615353601
TARGET-30-PAIVHE-01	0.18688611586028078	0	0.062082044661270736	0.12842089319042918	0.04391881343730369	0	0	0.23532301699835187	0.008815890065799822	0	0	0.04959285683929473	0.040049209261250614	0	0.010945810934986639	0.17925394157928584	0	0	0	0.05398650042164839	0.0007	0	0.024	0.2938124000445116	0.9717661241688231
TARGET-30-PALBFW-01	0	0.033780485041652035	0.1365843451901488	0.15053646645243107	0	0.030776910843384596	0	0	0.015303355506591945	0	0	0.025123034901613293	0.04640970607286584	0	0.035291785529170075	0.30481684578943297	0	0	0	0.10305464253751598	0.11832242213519338	0	0.08	0.14090671238543095	1.0268212844600921
TARGET-30-PALCBW-01	0.03478951735536591	0	0.021712340604132702	0.028167860126036434	0	0.1519518718941652	0.01603736694779242	0	0	0	0.03870479560236907	0.01050719596148653	0.02951728918916478	0	0.005168260163857681	0.4528325774831559	0	0	0.18643743718403621	0	0	0.024173487488437104	0.056	0.1873548631007078	1.0079472841015822
TARGET-30-PALETP-01	0.09146537709193021	0.0637670644471267	0.07735387496977444	0.12751449345822258	0.031693288833790405	0	0	0.08260383514957076	0.06568326460999388	0	0	0.06363166319961501	0.01677986648684079	0.08791409399138346	0.015157854240861683	0.22053949996714992	0	0	0.05589582355374015	0	0	0	0.006	0.36492230670073134	0.9320383233350864
TARGET-30-PALIIN-01	0.14041949401303672	0.1687034256194667	0.01178479530020789	0.05700797143858536	0	0.030567781631788898	0	0.1624601169788096	0.06281339961154392	0	0	0.049332213960759826	0	0.12723220944312835	0.011666652912533833	0.17781993895205794	0	0	0.0002	0	0	0	0.004	0.42656173123052443	0.9053519120959851
TARGET-30-PALNVP-01	0	0.039657317495785875	0.04469513420790995	0	0	0.4028034263144731	0	0.033232274467415376	0.022057446152292392	0	0.03374012909853059	0.10593009691706196	0.07381335844157302	0	0	0.07305379033160778	0	0	0	0.12072192222361415	0.050295104349735796	0	0.952	-0.0415	1.1328676429524078
TARGET-30-PALTEG-01	0.07640892780454486	0	0.05032048703993513	0.1534045287931005	0	0.015113886857464506	0	0.1108991160616938	0.10862098804851901	0	0	0.0668828102327288	0.04168992515655982	0.16956455048510216	0.02411859597423247	0.14155203944996803	0.012501115638105346	0	0.028923028458045577	0	0	0	0.04	0.22098573254521856	0.9979019699432428
TARGET-30-PALUYS-01	0.035496931889466926	0	0.10017407325909929	0.08426184852042891	0	0	0	0.06171070525066661	0.03070970255357277	0	0	0.05356139067763028	0	0.20322806038736874	0.09170664114509634	0.33915064631667013	0	0	0	0	0	0	0.018	0.32369871686164364	0.9587062017896929
