	TARGET.30.PAITCI.01	TARGET.30.PAITEG.01	TARGET.30.PAIVHE.01	TARGET.30.PALBFW.01	TARGET.30.PALCBW.01	TARGET.30.PALETP.01	TARGET.30.PALIIN.01	TARGET.30.PALNVP.01	TARGET.30.PALTEG.01	TARGET.30.PALUYS.01	TARGET.30.PALWVJ.01	TARGET.30.PALXTB.01	TARGET.30.PAMYCE.01	TARGET.30.PANBJH.01	TARGET.30.PANBSP.01	TARGET.30.PANKFE.01	TARGET.30.PANNMS.01	TARGET.30.PANRHJ.01	TARGET.30.PANRRW.01	TARGET.30.PANRVJ.01	TARGET.30.PANUIF.01	TARGET.30.PANWRR.01	TARGET.30.PANYGR.01	TARGET.30.PANZPV.01	TARGET.30.PANZVU.01	TARGET.30.PAPBGH.01	TARGET.30.PAPBZI.01	TARGET.30.PAPEAV.01	TARGET.30.PAPHPE.01	TARGET.30.PAPKXS.01	TARGET.30.PAPLSD.01	TARGET.30.PAPUAR.01	TARGET.30.PAPUEB.01	TARGET.30.PAPUWY.01	TARGET.30.PAPVFD.01	TARGET.30.PAPVXS.01	TARGET.30.PARACS.01	TARGET.30.PARBGP.01	TARGET.30.PARDIW.01	TARGET.30.PARFWB.01	TARGET.30.PARGKK.01	TARGET.30.PARHAM.01	TARGET.30.PARHAM.02	TARGET.30.PARKGJ.01	TARGET.30.PARSBI.01	TARGET.30.PARYNK.01	TARGET.30.PARZIP.01	TARGET.30.PASFGG.01	TARGET.30.PASMNT.01	TARGET.30.PASNEF.01	TARGET.30.PASPER.01	TARGET.30.PASRFS.01	TARGET.30.PASSRS.01	TARGET.30.PASTCN.01	TARGET.30.PASTKC.01	TARGET.30.PASUCB.01	TARGET.30.PASUYG.01	TARGET.30.PASWIJ.01	TARGET.30.PASXHE.01	TARGET.30.PASXRJ.01	TARGET.30.PASYPX.01	TARGET.30.PATCFL.01	TARGET.30.PATDXC.01	TARGET.30.PATFCY.01	TARGET.30.PATGLU.01	TARGET.30.PATHVK.01	TARGET.30.PATINJ.01	TARGET.30.PATNKP.02	TARGET.30.PATYIL.01	TARGET.30.PATYIL.02
Adipocytes	0	0.0044	0	9e-04	0.0373	0.0015	0	0	0.0213	0	0.001	0	0	0	0	0	0	0	0	0.0035	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0449	0	0	0	0	0	0	0	0	0	0.0053	0	0	0	0.0018	0	0	0	0	0	0	0.0029	0.0148	0	0	0	0	0	0	0	0	0.0558	0	0	0	0	0
Astrocytes	0	0	0	0	0	0	0	0	0	0	0	0	0.0544	0	0	0	0	0	0	0.014	0	0	0	0.0067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0127	0	0.0563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B-cells	0	0	0	0	0	0.1242	0.2976	0	7e-04	0.0134	0	0	0	0	0	0	0.031	0	0.0204	0	0	0.0105	0	0	0.0655	0	0	0	0.0579	0.0238	0	0.2648	0.4589	0.0013	0.1381	0	0.0057	0.1133	0.1872	0.0419	0.0073	0	0	0	0.1091	0.0258	0.1362	0.1268	0.0155	0.0399	0.0033	0.5722	0	5e-04	0	0	0	0.0574	0.0103	0.5202	0.1088	0	0.172	0	0	0	0.0043	0	0	0
Basophils	0.0011	0.0471	0.0983	0.0206	0	0	0.187	0.0855	0.1087	0.0868	0.0642	0.0725	0.0249	0.11	0.0383	0	0.0288	0.0278	0	0	0.1184	0.0722	0.0512	0	0	0.0032	0.0968	0.1366	0	0.0212	0.0986	0.0638	0	0.1195	0.0219	0.075	0.0515	0.0262	0.0869	0.0962	0	0.0573	0.0402	0.1451	0.0244	0.0477	0.0588	0.0258	0.0648	0.0349	0.0358	0.0807	0.1444	0.0163	0.0182	0.2287	0.1341	0	0.0251	0	0.0515	0.0367	0	0.1616	0.1015	0.0239	0.0253	0	0	0.0029
CD4+ T-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4+ Tcm	0.0191	0	0.0335	0.0544	0	0	0	0	0	0	0	0.0157	0.028	0	0	0	0	0	0.0231	0.0251	0.067	0.0437	0	0.0167	0	0	0	0	0.0107	0.0242	0.0035	0	0	0	0	0	0.0454	0.0103	0.0543	0	0.0579	0	0	0	0.0411	0.0024	0.0169	0	0.0357	0	0	0.0128	0.0264	0	0.0329	0	0	0.0163	0	0.0148	0	0.0166	0	0	0	0	0	0	0	0
CD4+ Tem	0	0.0672	0	0	0.0038	0	0	0.0267	0	0	0	0.0227	0	0	0	0.0434	0	0	0	0	0	0.0179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0047	0	0	0	0.0203	0	0	0	0.0192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4+ memory T-cells	0.0039	0	0	0	7e-04	0	0	0	0	0	0.0251	0	0	0	0.018	0.01	0	0	0	0	0	0	0	0	0	0.0262	8e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016	0	0	0	0	0.0011	0	0	0	0	0.0055	0	0	0	0	0.0057	0	0.0362	0.0156	0.0196
CD4+ naive T-cells	0	0	0.0044	0	0	0	0	0	0	0	0	0	0.0048	0	0	0	0	0	0.0153	0	0	0	0	0	0.0193	0	0	0	0	0	0	0.0545	0.0297	0	0.0298	0	0	0.0026	0	0	0	0	0	0	0	0	0.02	0.048	0	0	0	0	0	0	0	0	0	0.0357	0	0.0212	0	0	0.0315	0	0	0	0	0	0	0
CD8+ T-cells	0.0151	0	0.0515	0.0139	0	0.0053	0	0.0036	0.0071	0	0	0	0.0134	0	0.0152	0	0.0261	0	0.0532	0	0	0.0583	0	0	0.0421	0	0	0	0.0153	0.0113	0	0.0594	0.0872	0.0285	0.0618	0	0.027	0.0291	0.0636	0	0.0169	0.0148	0.0011	0	0	0.0409	0.0568	0.1456	0.0102	0	0.0272	0.0018	0.0105	0.024	0	0	0	0.0707	0.028	0.0425	0.0415	0.0179	0.0756	0	0	0.0177	0.0475	0	0.0349	0
