	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
CPT1B	5.4597297	3.6040883000000004	6.6098337	5.7152996	2.0496476	5.1423984	5.856199299999999	4.0008655	4.793919	6.70627	5.2713127	4.304551999999999	6.327856	6.00945	6.765113400000001	5.316921	4.76607	5.6976438	6.655173	7.0048666	6.224210299999999	7.188217599999999	6.3192644	5.909973	6.0570135	6.4784565	5.7962737	4.6791873	6.055536	6.839045	6.1645355	6.64745	6.344250700000001	7.214537599999999	6.6947813	6.781859	6.336151999999999	7.107788	6.7375712	6.709539	6.1428447	5.978640599999999	3.8599517	4.135061299999999	5.957189	6.6530933	6.918862	6.5460085999999995	6.5532303	5.8892264	5.758867700000001	6.5720296000000005	5.572903599999999	6.501299400000001	6.543832	6.484488	5.753862000000001	6.992365400000001	5.664208	6.2519383	3.6040883000000004	6.0114193	6.201027	7.1936803	6.4973434999999995	6.2503589999999996	7.033643700000001	4.230409	5.871630000000001	5.0500765
LCN1	1.0286552	0.0	0.5161281	2.55586	0.042784035	4.0452585	0.46478304	0.13763218	0.124459624	0.18916444	0.22663648	4.2133727	2.0072117	0.0	0.07052474	1.5993719	2.9634519	0.042784035	5.5335589999999995	3.4356692000000004	1.2449315	0.0	0.40063623	0.0	6.078489	0.78250456	0.0	0.07052474	4.405279599999999	0.0	0.0	1.8359431	0.43305513	0.25107563	4.6915865	3.473842	5.9253160000000005	3.6415794000000004	3.4528343999999995	3.375711	0.49579449999999997	0.0	0.99286234	0.73994064	1.5849965	1.0704504	0.0	1.1375494	4.3154726	2.0704064	0.0	2.3248699	0.0	4.640384	2.3729412999999995	0.0	0.097748086	0.8560810999999999	1.8953143	3.4957001000000005	0.17644595	0.0	1.3045712	0.23891501	0.40063623	0.2987822	4.3147125	0.13763218	4.2816795999999995	1.5607548
SLC11A1	1.718147	6.9974256	4.1755557	1.0357134	3.5981236000000005	0.5754108	1.1506448999999999	0.6600121	1.0215281999999999	1.1764042	2.4905915000000003	1.1243893999999999	0.55591464	0.77407175	1.5361298	4.259302	0.32205167	1.4957263	1.2388668999999999	2.4982425999999998	3.5534127	1.2987429	1.1375494	0.76562524	2.2234745	0.71378523	0.3786144	2.0669782	0.8156711	0.6600121	2.720295	0.3786144	1.3729870000000002	1.1177393	0.5361526	1.7866592000000001	2.032156	1.0215281999999999	1.3449053999999998	1.7824702000000001	1.2141696000000002	0.9108029000000001	0.44372052	6.6033015	4.878261599999999	0.5754108	0.33353373	1.3674041000000001	2.2868881	1.1570913999999999	1.182776	0.9184638	0.6781482	1.0841396	1.7225369	0.9184638	0.41153392	0.58506453	0.5656918000000001	1.929841	1.4699608999999998	1.0286552	2.3701974999999997	0.48553726	1.3104153	2.1440650000000003	0.6323526999999999	0.45428359999999995	1.3277426	0.15068647
SLC17A5	1.7613178	3.220384	2.3016197999999997	2.3391377999999996	4.2117643	1.7398738	2.6276045	3.9011532999999994	1.8914397	2.5825560000000003	2.0635524	2.7845142000000003	2.4005265	1.9855485000000002	2.3045709999999997	3.614739	2.662223	1.3449053999999998	2.9467254	2.922211	2.1570847	1.883629	2.533566	1.9855485000000002	3.8529690000000003	1.6553924999999998	3.0089824	2.0976171000000003	3.1160357000000003	2.1603448	2.1077466	2.5607592999999995	2.201667	1.9222491000000002	2.5160465	2.2898313999999997	2.3277528	2.8012029999999997	2.6135337000000005	2.3868396	3.7224517	4.0338936	4.9841747000000005	2.5680728	2.5459888	1.9745712	2.4594207000000003	2.704869	2.166716	2.0875093999999996	2.8379455	2.533566	2.0391898	2.1276843999999997	2.698267	2.2326796000000004	1.6645558999999996	2.3016197999999997	2.1699827000000003	2.7026677	2.2868881	2.176366	2.6299522	2.7803257	2.1144347000000003	2.4114816	2.4409522999999997	4.3568206	3.1358721000000003	2.6576767000000006
ABCB1	6.2568727	5.9694886	5.4147906	3.2570443	4.932201	1.8719058999999998	2.358994	6.0982933	1.3785836	3.4141739999999996	2.179561	2.9708657000000005	3.83185	1.9671944	5.6046309999999995	5.558905	1.1891136999999998	5.7082367	3.419522	3.3320407999999997	2.5993228	4.5904083	1.5210948	2.0108203999999996	5.597873	4.586766000000001	4.0755300000000005	5.6011050000000004	5.7207932	2.3391377999999996	1.7093155	2.4725273	2.55586	2.5631685	2.3305569	2.2600729999999998	1.6135489	1.7442220000000002	2.4905915000000003	1.2327062	4.5969267	5.849517	5.728446	2.2110689999999997	1.3729870000000002	2.0875093999999996	4.950486	3.150595	1.1954168	1.6461880000000002	4.2226467	1.9635481	2.9107578	1.2327062	4.6853385	4.743632	1.7991133000000001	2.493141	2.493141	2.4168446	2.0391898	2.5825560000000003	3.5557915999999996	6.072774400000001	2.9011374	3.0840537999999995	1.8875689999999998	5.047846	4.280257	4.983206299999999
TTYH1	0.48553726	0.89538705	1.875834	0.55591464	6.533247	1.2141696000000002	0.64164835	1.4751447	1.0144353000000002	1.2449315	0.124459624	0.33353373	2.6392662999999996	0.28699607	0.76562524	5.5017676	0.5656918000000001	2.361813	3.0925262000000004	3.1309093999999997	0.41153392	0.9709230999999999	0.41153392	2.0391898	0.6323526999999999	1.4436299	0.32205167	0.20175661	0.7312613	0.80744386	0.8400183000000001	0.9635396999999999	0.9260758	0.5161281	0.32205167	0.34494959999999997	0.6871335	0.5656918000000001	0.43305513	0.40063623	0.46478304	0.35624728	0.58506453	0.54605496	0.4751773	0.8797943000000001	0.6960961999999999	1.0773331	0.43305513	0.44372052	0.9486982	0.8400183000000001	0.887589	0.7312613	4.1227093	1.9635481	0.34494959999999997	1.2016847	1.2141696000000002	0.40063623	1.049722	0.82382965	0.33353373	0.9561472	0.35624728	0.26316009999999995	1.6645558999999996	0.014497611	0.65087	2.2570662
SLCO1A2	3.0755882000000003	0.6136315999999999	1.3841318999999999	1.1111153	0.08420307	0.9486982	1.2810018	0.89538705	1.2327062	1.9709185000000002	2.6848261000000004	0.0	0.58506453	4.2772217	2.0875093999999996	0.77407175	0.25107563	0.32205167	0.05672351	4.870341000000001	0.124459624	5.3673472	2.662223	1.7268628000000001	5.1035449999999996	0.042784035	0.2987822	2.2172682	0.64164835	5.243752	0.5754108	0.6600121	3.4528343999999995	3.8797028	1.3505546	2.6554046000000002	3.5373187000000006	0.73994064	0.08420307	4.0942583	0.13763218	2.9107578	0.43305513	2.179561	2.922211	4.014371	3.2047698	0.097748086	5.0535684000000005	1.3896316999999998	3.1160357000000003	2.1276843999999997	4.017936	1.875834	0.9336372	0.6871335	0.0	1.0072758	5.8703523	0.43305513	2.7949514	4.2629985999999995	0.042784035	0.0	1.049722	0.20175661	0.22663648	0.21424463	0.042784035	0.58506453
SLC25A18	0.55591464	0.54605496	1.7137631000000002	1.4803389999999998	1.5753416	0.78250456	0.80744386	0.9108029000000001	0.52618414	1.1764042	0.54605496	0.9709230999999999	1.0566703000000002	0.94119436	1.0976788999999998	0.9108029000000001	1.4594975000000001	0.54605496	1.2570579	0.40063623	0.6960961999999999	0.49579449999999997	0.6600121	0.8156711	0.9561472	0.41153392	0.52618414	0.58506453	2.531084	4.1666765	2.7718697	1.0072758	0.44372052	1.8032506000000001	1.9486238	0.7312613	1.9030752	1.0286552	0.65087	0.5754108	1.1111153	0.71378523	0.6691063	1.0427017	0.7312613	0.50599486	0.4751773	2.137568	0.65087	2.2419004	2.518523	0.6136315999999999	0.83196074	0.6600121	0.46478304	1.1699992000000001	0.42232955	0.8797943000000001	1.9782271	1.182776	0.7571259	1.7485055	1.0357134	0.6960961999999999	1.2810018	1.0976788999999998	1.0635976	1.1375494	0.44372052	0.43305513
TNFAIP8L3	0.50599486	4.963455000000001	3.3205156000000002	0.7991509	4.0205636	0.887589	2.189079	0.62302387	1.8197037	0.3786144	1.438321	1.0072758	0.80744386	0.6781482	0.014497611	2.6915857999999995	1.7049433	1.2079737	0.71378523	2.0072117	0.34494959999999997	0.5361526	0.3674849	1.0144353000000002	2.4329605	0.64164835	0.58506453	0.3674849	0.34494959999999997	0.8156711	0.43305513	1.4489502	1.4276745000000002	0.9108029000000001	0.64164835	0.83196074	0.9561472	0.90309465	1.2810018	1.0072758	1.1699992000000001	1.0144353000000002	1.3951445	1.5558652	1.1891136999999998	0.5656918000000001	0.9260758	1.2750628000000002	0.3786144	0.80744386	0.80744386	1.2203858	0.42232955	1.1310111	1.6960089	0.5656918000000001	0.59464574	2.121055	0.78250456	2.3978515	1.5656528	2.4356506	1.8600012	0.5656918000000001	0.9709230999999999	0.26316009999999995	0.9635396999999999	0.9184638	0.4751773	0.31045547
SLC12A8	4.2532363	3.9818404000000003	3.1143548	0.7312613	0.72254187	1.3841318999999999	1.3449053999999998	0.6600121	1.3896316999999998	1.1441122	1.6599708999999998	0.7049559	1.996404	1.3896316999999998	2.7355804	0.62302387	0.6871335	0.9855609000000001	0.6781482	1.4751447	1.5607548	0.54605496	1.6135489	1.2928126	1.2869579	2.2570662	0.21424463	0.8560810999999999	0.5361526	0.6323526999999999	0.9260758	1.7005076000000001	1.4803389999999998	1.7049433	1.4168863999999999	2.55586	0.9561472	0.9782476000000001	0.6600121	0.7485361999999999	1.1699992000000001	1.4906301000000002	1.3896316999999998	3.8728062999999993	1.6736089	1.0909218	0.7485361999999999	3.0053918	0.80744386	0.45428359999999995	1.2987429	0.80744386	0.78250456	1.1635615	1.7268628000000001	1.5460458000000001	2.518523	1.6229928	1.7485055	1.1891136999999998	0.6041816	1.049722	0.7571259	0.5361526	0.6600121	1.400608	1.1111153	1.2810018	1.0909218	0.9855609000000001
