	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
SLC11A1	1.718147	6.9974256	4.1755557	1.0357134	3.5981236000000005	0.5754108	1.1506448999999999	0.6600121	1.0215281999999999	1.1764042	2.4905915000000003	1.1243893999999999	0.55591464	0.77407175	1.5361298	4.259302	0.32205167	1.4957263	1.2388668999999999	2.4982425999999998	3.5534127	1.2987429	1.1375494	0.76562524	2.2234745	0.71378523	0.3786144	2.0669782	0.8156711	0.6600121	2.720295	0.3786144	1.3729870000000002	1.1177393	0.5361526	1.7866592000000001	2.032156	1.0215281999999999	1.3449053999999998	1.7824702000000001	1.2141696000000002	0.9108029000000001	0.44372052	6.6033015	4.878261599999999	0.5754108	0.33353373	1.3674041000000001	2.2868881	1.1570913999999999	1.182776	0.9184638	0.6781482	1.0841396	1.7225369	0.9184638	0.41153392	0.58506453	0.5656918000000001	1.929841	1.4699608999999998	1.0286552	2.3701974999999997	0.48553726	1.3104153	2.1440650000000003	0.6323526999999999	0.45428359999999995	1.3277426	0.15068647
RYR1	0.6781482	0.82382965	1.2690823999999998	1.1954168	2.8114889	1.0976788999999998	0.87191325	0.48553726	0.15068647	1.3729870000000002	0.58506453	0.7571259	1.1954168	0.64164835	0.6323526999999999	2.5385325	0.07052474	2.2986703	2.7718697	2.650778	0.78250456	1.9145979	1.3674041000000001	1.5059485000000001	1.0286552	0.7485361999999999	0.042784035	0.028709901	3.6881932999999996	4.2311664	0.50599486	1.0841396	0.94119436	0.9336372	5.0290356	1.5210948	3.8688931	2.698267	0.72254187	0.50599486	0.34494959999999997	0.32205167	0.4751773	0.99286234	0.6041816	3.7420578	3.0703888	1.5753416	0.6323526999999999	4.234954	4.569230999999999	0.55591464	0.45428359999999995	3.1570752	0.94119436	3.1325932	1.7570888	1.0000511	0.22663648	2.1985368999999997	1.4276745000000002	2.2957224999999997	0.40063623	0.32205167	0.9635396999999999	0.17644595	2.7740042000000003	2.5825560000000003	3.3477237	1.0215281999999999
RHBG	3.1985302000000004	0.23891501	3.3631544	1.4115105	0.50599486	3.3826714	0.6136315999999999	0.08420307	3.2599998	4.663910400000001	4.2000356	2.6461546	0.26316009999999995	4.904932	0.7908371	0.5754108	3.3117886	0.48553726	0.58506453	0.18916444	0.9260758	0.46478304	4.3547277	0.42232955	0.7571259	0.62302387	4.441606	3.6426833	0.6041816	4.185099	3.4880459999999998	0.9635396999999999	3.9136610000000003	3.3305992999999994	0.20175661	5.1818657	3.3533165	0.58506453	0.48553726	1.4803389999999998	0.31045547	3.7147815000000004	0.13763218	1.7485055	0.8400183000000001	5.808157	0.9635396999999999	3.3190758000000002	3.5825336	3.072151	3.6206178999999996	3.9250555	3.285374	3.9088062999999993	3.5557915999999996	3.614739	5.419185	3.83185	4.036523000000001	1.7782153000000003	2.2296095	3.2675259999999997	4.5521845999999995	1.5607548	1.6276582	3.3377168	0.35624728	2.1243687	0.17644595	0.38968015
GRIN3A	1.0976788999999998	0.124459624	0.8156711	2.6667721	0.59464574	0.15068647	2.5728972000000003	0.124459624	3.7082229	1.4542183000000002	1.0000511	4.1650715	0.28699607	2.6111912999999998	0.11116745	0.5361526	5.063073999999999	0.26316009999999995	1.5110093	3.1243557999999996	1.7866592000000001	1.0144353000000002	1.0000511	0.7049559	0.8480885	0.13763218	0.99286234	0.32205167	2.0000036	5.046584999999999	1.6781452000000001	4.4501934	0.40063623	0.4751773	2.0286055	0.78250456	0.21424463	0.6691063	4.209493599999999	0.34494959999999997	0.35624728	2.032156	2.1505704	0.11116745	3.6123510000000003	1.4330235	0.44372052	0.3674849	1.8399782	3.7591845999999998	1.8560168999999997	3.2809769999999996	0.5656918000000001	1.3618348	2.9855356	0.65087	0.17644595	3.207891	0.3674849	2.5680728	1.8679093	2.0426729	0.21424463	0.5656918000000001	0.20175661	1.6461880000000002	1.6599708999999998	0.33353373	0.097748086	0.22663648
JPH3	4.517258	2.0391898	3.7939506	5.242583799999999	4.4134755	3.0635187999999998	4.5831237	5.609724	0.16362981	5.217665	4.473105400000001	5.1679606	3.5945456	4.953293	4.5998983	3.1634705000000003	4.290598999999999	4.473105400000001	5.2787166	4.7703085	4.017936	5.1329737	4.9260106	5.922463400000001	4.8830914000000005	4.468617	4.8762326	5.025061599999999	5.1651416	5.3150687	4.0303254	4.990469999999999	4.1317606	3.7959921000000003	5.3746667	4.1110234	2.8619790000000003	5.3631519999999995	4.3348556	4.605844	5.2449203	5.166697	5.4372563	2.7991471000000003	4.2539945	4.33343	4.8718863	4.26006	3.6881932999999996	4.422246	5.170683	4.6633344	4.924076599999999	1.8237927	3.3074725	4.198523000000001	3.6017019999999995	4.12846	5.042221	4.6258919999999994	4.9546475	0.25107563	4.3778505	4.6276193	2.786652	4.5957766	2.6415339	4.3680477	4.79334	5.02196
XCL1	0.64164835	0.90309465	1.9486238	1.9336054	0.6600121	0.31045547	0.3786144	3.291299	0.8480885	0.82382965	0.54605496	1.1375494	1.2570579	2.4594207000000003	2.8894502999999996	1.3045712	0.8797943000000001	2.1342453999999997	2.4672816	1.2631196000000002	0.34494959999999997	1.9107777	0.25107563	0.3786144	3.8419877999999996	0.0	0.028709901	0.77407175	0.46478304	4.05052	0.8400183000000001	0.7485361999999999	0.90309465	4.873335	0.6041816	1.6041348	3.2524781000000003	0.77407175	1.3277426	1.2203858	0.40063623	1.7093155	1.1635615	1.5210948	1.0704504	1.2987429	4.0053663	0.8797943000000001	4.398515	0.7908371	3.4396633999999997	0.7485361999999999	2.7740042000000003	0.9635396999999999	1.4854795	0.9108029000000001	0.07052474	1.182776	4.525484	1.7311942999999999	0.8640384	4.7782089999999995	0.48553726	0.3674849	1.2265648999999998	1.2141696000000002	0.5754108	3.6099634	3.7158902	0.23891501
TTYH1	0.48553726	0.89538705	1.875834	0.55591464	6.533247	1.2141696000000002	0.64164835	1.4751447	1.0144353000000002	1.2449315	0.124459624	0.33353373	2.6392662999999996	0.28699607	0.76562524	5.5017676	0.5656918000000001	2.361813	3.0925262000000004	3.1309093999999997	0.41153392	0.9709230999999999	0.41153392	2.0391898	0.6323526999999999	1.4436299	0.32205167	0.20175661	0.7312613	0.80744386	0.8400183000000001	0.9635396999999999	0.9260758	0.5161281	0.32205167	0.34494959999999997	0.6871335	0.5656918000000001	0.43305513	0.40063623	0.46478304	0.35624728	0.58506453	0.54605496	0.4751773	0.8797943000000001	0.6960961999999999	1.0773331	0.43305513	0.44372052	0.9486982	0.8400183000000001	0.887589	0.7312613	4.1227093	1.9635481	0.34494959999999997	1.2016847	1.2141696000000002	0.40063623	1.049722	0.82382965	0.33353373	0.9561472	0.35624728	0.26316009999999995	1.6645558999999996	0.014497611	0.65087	2.2570662
HEPH	0.6600121	3.6334855999999998	2.7092732999999996	1.7527944	5.323746	1.1506448999999999	1.7093155	0.887589	1.8073926	1.7782153000000003	2.0072117	1.2327062	2.4168446	0.8560810999999999	1.0635976	4.289839700000001	1.5410503999999998	1.7398738	2.31615	3.5410663999999996	1.7949808	1.5410503999999998	1.400608	3.1953225	2.1342453999999997	2.1570847	0.87191325	1.0427017	1.6041348	1.0566703000000002	2.5753107	1.8520371	1.5410503999999998	1.2928126	1.4115105	2.1858785	1.5410503999999998	1.2750628000000002	1.4906301000000002	0.9782476000000001	1.7311942999999999	1.8560168999999997	1.1375494	3.4607427000000004	2.1043677000000005	1.2449315	0.80744386	2.003606	0.90309465	0.6871335	1.0841396	1.3562181	1.438321	1.5607548	3.7093312999999997	1.2690823999999998	0.44372052	2.1276843999999997	1.2016847	1.6915852999999998	1.4115105	1.0427017	1.6870991000000002	1.3277426	1.1177393	1.4489502	1.3841318999999999	0.50599486	1.0357134	0.9782476000000001
SLC47A1	0.7049559	5.9145956	0.9336372	0.6041816	2.6438859	0.52618414	1.3219714	1.7782153000000003	1.1177393	1.0357134	0.50599486	1.400608	1.1310111	0.43305513	0.26316009999999995	0.80744386	0.50599486	3.1699585999999997	0.65087	2.6937842	1.4854795	0.71378523	0.7485361999999999	0.71378523	1.2327062	1.0976788999999998	0.2751237	0.5754108	0.54605496	1.2510145000000001	1.5310872	1.0976788999999998	0.41153392	0.54605496	1.3104153	0.6323526999999999	0.6136315999999999	1.5898027	1.1441122	0.65087	1.7137631000000002	1.9598305	1.0427017	0.62302387	2.0840685000000003	0.8640384	3.6392794000000004	1.3449053999999998	1.7740363000000001	0.7991509	0.8560810999999999	1.2631196000000002	3.7623339	0.58506453	4.438267	1.2510145000000001	0.17644595	1.5753416	0.6041816	1.1310111	0.5656918000000001	0.8560810999999999	0.7485361999999999	4.1954025999999995	0.20175661	1.2016847	0.3786144	0.77407175	1.4060217	2.281006
PDZK1	0.2987822	1.4115105	1.0566703000000002	1.4168863999999999	1.7740363000000001	1.0357134	1.5898027	4.945358000000001	0.50599486	1.0635976	0.28699607	2.4249787	0.6871335	0.9336372	2.961621	2.2141287	1.1635615	0.9260758	1.2810018	1.5656528	0.42232955	0.23891501	0.59464574	1.5946169	1.2631196000000002	0.38968015	0.58506453	0.7571259	2.7718697	0.87191325	0.38968015	0.90309465	0.5754108	0.9709230999999999	0.9336372	0.54605496	0.48553726	0.58506453	1.3162155	0.52618414	5.038246	1.6323309	3.0338876	0.42232955	0.31045547	0.9108029000000001	0.7571259	0.7571259	1.3162155	0.6871335	1.636943	0.5754108	1.9855485000000002	2.0391898	1.0427017	2.5873902	0.6781482	1.0566703000000002	0.78250456	1.6041348	0.80744386	0.42232955	0.6871335	1.4115105	0.45428359999999995	0.9260758	1.1243893999999999	1.0215281999999999	0.58506453	0.40063623
