	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
TGFB2	0.3786144	2.003606	2.7462974	0.65087	2.1731734	0.54605496	0.58506453	1.4699608999999998	0.5754108	0.87191325	2.1985368999999997	1.2510145000000001	2.0356338	0.9782476000000001	0.42232955	1.9855485000000002	0.72254187	0.6960961999999999	1.3104153	3.1489089	0.94119436	1.3562181	0.64164835	1.8953143	1.929841	2.6252575	1.5993719	0.16362981	0.6960961999999999	0.6041816	0.42232955	1.2690823999999998	0.7312613	0.5161281	1.6276582	0.87191325	1.0000511	0.9108029000000001	0.6136315999999999	0.6960961999999999	0.9336372	1.2631196000000002	1.5059485000000001	2.58014	0.6600121	0.73994064	0.6691063	1.2449315	0.8560810999999999	0.26316009999999995	2.9030432999999998	1.2265648999999998	0.90309465	0.64164835	2.7398314	3.6836736000000005	0.73994064	1.3104153	0.8156711	0.71378523	0.35624728	0.6781482	0.80744386	1.2570579	0.8480885	0.59464574	0.7485361999999999	1.5110093	1.6915852999999998	1.5160798999999998
WLS	2.1505704	4.586766000000001	3.9909291	2.6893039	6.4891357	2.6346498	2.8816669999999998	2.1009912	2.7527682999999996	2.650778	2.5286033	1.8679093	3.8419877999999996	1.3618348	1.2570579	5.6792083	2.3978515	2.8156068	3.2172593999999997	4.85798	3.2433507	1.8520371	2.1342453999999997	4.2117643	3.7495546	2.6276045	2.3391377999999996	0.9561472	2.0143566	2.1858785	3.1874849999999997	2.9297671000000003	2.7355804	2.292776	2.0738373	2.526123	2.3757667999999996	2.2720363	2.021513	1.6229928	2.6252575	2.5286033	2.4828672000000003	3.1060423999999998	2.9126656000000004	1.4803389999999998	1.9336054	3.2433507	1.1441122	1.438321	2.0391898	2.1699827000000003	2.0426729	2.313273	4.776089	2.6017451	1.7697916	3.0461872000000003	1.8032506000000001	3.0018027000000003	2.5849729	1.8953143	2.7655543999999996	2.0391898	2.238825	2.1243687	2.3561764	4.2172523	1.4115105	2.35336
WNT6	0.13763218	1.2327062	2.31615	1.0427017	2.8679327999999997	0.124459624	1.7697916	0.18916444	1.0427017	0.2987822	0.5161281	0.52618414	0.21424463	0.08420307	0.34494959999999997	2.2691026	0.16362981	1.526119	0.17644595	3.1602726000000003	1.0427017	0.3786144	1.4699608999999998	0.15068647	1.9818863000000002	0.7908371	0.9635396999999999	2.3277528	0.6781482	0.73994064	0.94119436	0.2987822	0.23891501	0.6323526999999999	0.20175661	0.26316009999999995	0.9260758	0.6600121	2.4646602000000004	0.45428359999999995	0.05672351	1.2810018	1.996404	0.23891501	3.3462807999999997	0.9561472	3.294263	0.80744386	1.996404	0.15068647	3.255522	0.7571259	3.214136	1.8319125	0.43305513	0.22663648	0.6136315999999999	0.52618414	0.5361526	0.26316009999999995	0.20175661	0.7908371	1.0357134	3.255522	0.23891501	4.4601192	0.6136315999999999	2.6088495	0.097748086	0.23891501
PNOC	2.4222932	0.9184638	1.1764042	1.2987429	3.7538133	1.0773331	1.8156192	0.21424463	0.76562524	0.3786144	1.2327062	1.5361298	0.78250456	0.0	0.45428359999999995	2.0704064	1.2079737	0.44372052	1.4222745	0.17644595	0.22663648	0.20175661	0.0	1.3505546	1.5160798999999998	0.07052474	0.59464574	0.4751773	6.511882	0.7049559	1.0976788999999998	2.6252575	2.4541852000000004	1.0976788999999998	1.5460458000000001	1.4751447	0.35624728	1.3562181	1.9818863000000002	0.9108029000000001	0.5656918000000001	1.0841396	0.7312613	1.0566703000000002	1.3674041000000001	0.71378523	1.438321	2.5849729	0.59464574	2.565662	3.9542239	3.0215151000000002	2.6158772	0.48553726	0.8400183000000001	1.7268628000000001	0.16362981	1.0976788999999998	0.59464574	3.2327107999999996	1.8032506000000001	0.78250456	2.3074434	3.3813150000000003	0.26316009999999995	0.2987822	0.18916444	0.33353373	0.2751237	0.124459624
NPTX1	0.11116745	1.9782271	0.49579449999999997	0.9486982	0.71378523	0.22663648	0.32205167	0.124459624	0.38968015	1.1699992000000001	0.33353373	0.4751773	0.097748086	0.05672351	0.11116745	0.41153392	0.23891501	0.13763218	3.3590019	0.82382965	0.59464574	0.17644595	0.20175661	3.7322519999999995	2.5728972000000003	4.1333637	0.08420307	0.042784035	2.648508	3.5460038000000003	0.25107563	0.7908371	0.45428359999999995	0.17644595	2.0772705	2.9448977000000003	4.2117643	0.25107563	0.8640384	1.2690823999999998	0.49579449999999997	0.31045547	0.62302387	1.5704931	0.6600121	2.9653702	0.40063623	0.13763218	0.49579449999999997	1.8359431	0.13763218	0.2987822	0.15068647	0.40063623	0.7485361999999999	1.0909218	3.4155335	0.34494959999999997	0.41153392	1.3104153	0.59464574	0.23891501	3.3377168	0.34494959999999997	3.5185032	0.5161281	0.16362981	0.11116745	4.7686706	0.124459624
PLP1	0.028709901	2.72683	3.2539997000000005	0.097748086	9.5080805	1.8440174999999999	0.5656918000000001	0.5161281	1.0773331	1.3162155	0.5656918000000001	0.2751237	3.6668047999999995	0.35624728	1.0000511	8.660167999999999	0.9561472	2.9837008	4.878261599999999	5.499811599999999	0.8480885	2.4409522999999997	0.7571259	5.1683497	1.6690792	0.58506453	2.6392662999999996	0.22663648	1.3162155	0.07052474	0.44372052	2.2110689999999997	0.38968015	1.2631196000000002	0.42232955	0.59464574	0.9108029000000001	0.62302387	0.5161281	0.15068647	0.11116745	1.9030752	1.0841396	0.49579449999999997	0.4751773	0.83196074	0.41153392	1.6645558999999996	0.21424463	0.22663648	0.887589	0.42232955	0.15068647	0.7908371	5.3995576	0.9709230999999999	0.28699607	1.5801983	1.929841	0.5361526	0.28699607	1.0841396	0.6691063	0.887589	1.0144353000000002	0.45428359999999995	2.0108203999999996	0.40063623	0.9561472	3.5969307
CRH	0.042784035	6.3781343	0.6600121	2.2448986	3.4383016000000004	0.48553726	3.6111572	0.0	2.8278	5.4436064	0.6691063	3.8738312999999995	0.08420307	0.54605496	0.0	4.283957	0.42232955	3.196926	0.9855609000000001	0.07052474	4.0755300000000005	1.7225369	5.7708435	0.6871335	0.18916444	0.0	0.2987822	4.719764700000001	1.5008324	8.48433	2.8719041	0.35624728	0.0	2.6690476000000003	1.0566703000000002	0.0	0.028709901	0.07052474	0.7571259	4.0080857000000005	6.1116962	1.7049433	5.9950776	0.014497611	0.18916444	2.7290382	2.650778	0.3674849	1.2327062	1.3785836	3.2433507	0.35624728	2.2234745	0.71378523	0.22663648	0.0	0.22663648	2.0108203999999996	0.4751773	4.663910400000001	0.08420307	1.7005076000000001	0.31045547	1.6461880000000002	3.6495848	5.1039333	0.80744386	4.890435	0.2987822	0.0
AXL	2.3016197999999997	5.5438333	4.487337999999999	3.3868315000000004	5.6893077000000005	2.7548977999999997	2.8914404	1.8560168999999997	2.2479775	3.1276321	2.7355804	2.9653702	3.9864311000000003	2.3895907000000003	2.1538265	5.504017	1.7949808	3.0000522000000003	3.2599998	4.1954025999999995	3.0374002	1.7824702000000001	2.5360487000000003	3.8708496	3.8846437999999996	3.3618002000000002	2.3561764	1.883629	3.1953225	1.3896316999999998	2.7949514	2.4828672000000003	2.3334424	2.931679	1.8719058999999998	2.8114889	2.1858785	2.9392428	2.358994	2.0566328	2.9164824	2.7485106	2.0531387	3.7844877	2.5509644000000002	2.0840685000000003	1.7311942999999999	2.722501	2.0286055	1.7485055	1.4060217	2.7845142000000003	2.179561	2.358994	4.0951059999999995	1.8115393	1.33921	3.0993264	2.0496476	2.6803508	2.2172682	2.3248699	3.336275	2.5898084999999997	2.2570662	2.1570847	2.3729412999999995	1.3785836	1.5801983	2.5435026
FZD2	1.1699992000000001	1.8600012	1.4957263	0.7991509	3.8972344	1.2016847	1.7782153000000003	0.3674849	1.3219714	2.1310024	1.2388668999999999	1.0144353000000002	1.7991133000000001	0.6041816	2.722501	2.9726982000000004	0.5754108	1.6915852999999998	0.80744386	2.4383416	0.9855609000000001	0.65087	1.0566703000000002	1.4594975000000001	1.3045712	2.4646602000000004	3.6438794000000003	0.9260758	0.6041816	0.62302387	1.7824702000000001	1.2570579	1.4115105	1.4854795	0.5656918000000001	1.400608	0.62302387	0.77407175	1.1506448999999999	0.52618414	0.5361526	1.0566703000000002	0.78250456	1.4906301000000002	1.636943	0.9709230999999999	0.6960961999999999	1.636943	0.44372052	0.5361526	0.5754108	1.3219714	0.41153392	0.94119436	1.9818863000000002	3.5546019999999996	0.50599486	1.3562181	1.0704504	1.0144353000000002	0.6323526999999999	0.82382965	1.6690792	0.34494959999999997	0.82382965	0.7571259	1.5607548	2.548476	0.5656918000000001	0.8640384
FZD5	4.3729963	1.4699608999999998	1.2570579	0.6600121	1.182776	1.0286552	2.786652	2.4462585	1.5008324	3.5059116	0.9855609000000001	1.0773331	0.33353373	0.7571259	3.308911	0.7485361999999999	1.2016847	3.5373187000000006	1.2203858	1.1506448999999999	0.7908371	0.9108029000000001	1.6826189999999999	1.0841396	1.641562	1.6461880000000002	1.5460458000000001	1.6781452000000001	1.8073926	2.961621	1.0072758	1.7049433	1.7005076000000001	1.2449315	2.9837008	1.5210948	3.1143548	0.64164835	0.64164835	2.7824624	0.42232955	1.2869579	0.7049559	0.9561472	1.2690823999999998	2.8156068	1.7093155	0.48553726	1.0704504	1.1177393	2.2957224999999997	0.9486982	1.2631196000000002	1.5460458000000001	1.2265648999999998	1.2388668999999999	1.4542183000000002	1.0909218	1.3277426	0.82382965	1.5656528	1.5310872	2.2986703	1.2750628000000002	3.094292	2.3248699	0.7312613	1.5008324	3.9809036	1.3449053999999998
TAC1	0.0	4.283957	0.52618414	0.18916444	0.5361526	0.9108029000000001	0.0	0.18916444	1.8797659	1.0357134	2.2479775	1.6599708999999998	1.0566703000000002	0.0	0.21424463	1.8399782	4.654786	0.4751773	0.0	0.78250456	0.18916444	3.6690164	0.89538705	0.62302387	0.097748086	0.40063623	1.0215281999999999	0.0	0.05672351	0.0	0.0	4.83491	0.22663648	0.0	2.7991471000000003	3.1537902	2.7485106	4.196159	2.0391898	3.0426714	1.1310111	0.124459624	0.9260758	0.8560810999999999	0.0	0.49579449999999997	0.2987822	1.2631196000000002	0.0	1.2265648999999998	0.11116745	3.9326239999999997	0.08420307	1.3162155	4.5404105	2.899232	5.0942254	3.5557915999999996	0.17644595	1.8197037	4.5141025	2.9818661	1.4276745000000002	0.028709901	2.8114889	1.9928074	3.1060423999999998	0.0	0.16362981	0.097748086
NPAS4	1.2510145000000001	0.15068647	4.923593	5.1333623	0.6781482	0.6600121	1.4803389999999998	3.7538133	0.9486982	1.2570579	3.0267782000000003	2.0108203999999996	2.4462585	0.5161281	2.3363294999999997	1.33921	0.7485361999999999	0.21424463	4.216495	2.6064248	4.946229	0.05672351	0.26316009999999995	3.5570726	0.8400183000000001	6.094253	0.20175661	0.41153392	4.429588	2.3103974	4.540985	0.8560810999999999	1.0773331	2.0908759999999997	1.5849965	3.5945456	3.6690164	0.35624728	2.6758783	1.7655522000000001	0.11116745	0.6781482	3.3391587999999994	5.069089	3.8550169999999997	2.1310024	0.11116745	0.40063623	5.5897445999999995	0.55591464	4.0729904	0.78250456	1.3334688000000001	1.5310872	3.8846437999999996	0.99286234	0.25107563	0.3786144	5.3426656999999995	0.62302387	0.41153392	0.77407175	1.0976788999999998	0.21424463	7.019552	0.8640384	0.43305513	4.0080857000000005	2.565662	0.9855609000000001
PTHLH	0.71378523	4.427585	1.4803389999999998	2.8639631000000003	2.5459888	0.7049559	1.2141696000000002	0.8480885	1.0072758	0.4751773	0.90309465	4.945842	1.1570913999999999	0.73994064	0.15068647	3.5071885999999997	1.1570913999999999	0.9782476000000001	1.3104153	1.0773331	0.82382965	0.6691063	0.38968015	2.4168446	2.9448977000000003	0.8797943000000001	0.48553726	0.5656918000000001	2.5134885	1.2327062	0.31045547	1.618267	0.48553726	0.44372052	0.62302387	1.400608	0.8156711	0.64164835	1.0773331	0.80744386	4.2433834	2.7740042000000003	2.3701974999999997	3.8599517	0.94119436	0.18916444	0.6691063	0.8640384	0.17644595	0.49579449999999997	2.7676876	0.94119436	0.8560810999999999	3.0772630000000003	1.8359431	2.55586	0.13763218	1.7442220000000002	1.2016847	1.6508208999999998	0.6691063	0.83196074	1.4647238	0.6871335	0.54605496	1.182776	0.99286234	0.6781482	0.7908371	0.55591464
