	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
LAMA1	1.5898027	1.3045712	1.2265648999999998	1.0427017	0.87191325	1.0704504	3.094292	0.2751237	0.9855609000000001	2.8914404	1.2690823999999998	0.78250456	1.1243893999999999	0.9260758	0.18916444	0.8797943000000001	1.0000511	2.2898313999999997	1.7527944	1.3841318999999999	3.3715540999999996	1.2810018	0.9184638	1.5704931	1.0144353000000002	0.6871335	1.3334688000000001	1.5410503999999998	1.0286552	3.7430756	1.2327062	2.3701974999999997	1.4699608999999998	3.0197616000000003	2.0286055	1.5210948	1.718147	0.99286234	3.1424327	1.2750628000000002	2.0840685000000003	2.5898084999999997	1.0357134	1.5849965	1.7824702000000001	1.2810018	2.4515689999999997	2.531084	1.883629	0.8480885	0.8560810999999999	1.400608	2.358994	1.4222745	1.618267	4.176311	3.5680578	1.6690792	1.9336054	1.0072758	1.4542183000000002	0.6960961999999999	1.1111153	3.4073784	1.7005076000000001	1.6553924999999998	0.9336372	1.7049433	1.641562	1.1699992000000001
TGFB2	0.3786144	2.003606	2.7462974	0.65087	2.1731734	0.54605496	0.58506453	1.4699608999999998	0.5754108	0.87191325	2.1985368999999997	1.2510145000000001	2.0356338	0.9782476000000001	0.42232955	1.9855485000000002	0.72254187	0.6960961999999999	1.3104153	3.1489089	0.94119436	1.3562181	0.64164835	1.8953143	1.929841	2.6252575	1.5993719	0.16362981	0.6960961999999999	0.6041816	0.42232955	1.2690823999999998	0.7312613	0.5161281	1.6276582	0.87191325	1.0000511	0.9108029000000001	0.6136315999999999	0.6960961999999999	0.9336372	1.2631196000000002	1.5059485000000001	2.58014	0.6600121	0.73994064	0.6691063	1.2449315	0.8560810999999999	0.26316009999999995	2.9030432999999998	1.2265648999999998	0.90309465	0.64164835	2.7398314	3.6836736000000005	0.73994064	1.3104153	0.8156711	0.71378523	0.35624728	0.6781482	0.80744386	1.2570579	0.8480885	0.59464574	0.7485361999999999	1.5110093	1.6915852999999998	1.5160798999999998
NCAN	2.8933442000000005	0.0	0.028709901	3.4033029999999997	0.21424463	4.21413	4.6898565	0.028709901	4.424915299999999	6.1547737	4.489249	4.091717	4.787653400000001	0.042784035	4.1538367	0.13763218	5.4947267	0.59464574	5.613250700000001	2.3277528	0.08420307	2.8699182999999997	5.151339	4.5674114	0.014497611	3.7322519999999995	4.3611016	0.2987822	3.8914511	4.7290019999999995	0.9184638	4.065278500000001	4.2629985999999995	0.38968015	0.097748086	3.7803144	0.73994064	6.1381120000000005	4.5109468	1.1310111	4.7782089999999995	0.028709901	0.21424463	1.9598305	4.5453877	3.5311053	1.7137631000000002	4.750564	0.097748086	0.042784035	1.3219714	0.13763218	0.097748086	3.9827774	0.23891501	6.0512023	3.3074725	4.1415696	0.08420307	5.3305717	4.3247824	0.124459624	3.8247845000000003	0.028709901	3.2675259999999997	0.11116745	5.535418	3.003641	0.028709901	1.2327062
COL28A1	0.42232955	1.2810018	0.87191325	1.9928074	6.552142	0.26316009999999995	0.82382965	0.28699607	0.21424463	0.58506453	0.13763218	0.4751773	0.22663648	0.40063623	0.49579449999999997	5.157462000000001	0.25107563	0.8640384	3.9059129	4.6904330000000005	0.9184638	1.0215281999999999	0.21424463	2.8135476	0.94119436	0.7049559	0.34494959999999997	0.15068647	2.3219886	0.9260758	0.34494959999999997	1.1891136999999998	0.31045547	0.41153392	0.41153392	0.26316009999999995	0.62302387	1.4276745000000002	1.5558652	0.33353373	2.3391377999999996	1.4276745000000002	2.2839465	0.042784035	1.3674041000000001	0.6781482	0.7485361999999999	0.32205167	0.6691063	0.5754108	2.0772705	1.7866592000000001	0.41153392	0.35624728	3.8884665999999997	0.11116745	0.26316009999999995	0.87191325	0.54605496	1.4060217	0.028709901	0.6041816	0.2751237	0.77407175	0.38968015	0.40063623	0.31045547	0.99286234	0.38968015	0.22663648
ITGA2	0.8480885	2.8298626000000002	1.9411447	0.8480885	3.6621989999999998	0.43305513	1.2265648999999998	0.7991509	0.73994064	0.8640384	0.7571259	0.49579449999999997	1.5704931	0.71378523	1.7824702000000001	2.5849729	0.73994064	1.0215281999999999	1.3896316999999998	1.9598305	1.2810018	1.3045712	1.2449315	1.182776	2.1243687	2.4620397	1.1177393	0.40063623	0.9486982	0.43305513	0.6960961999999999	0.7049559	0.40063623	0.5754108	0.8480885	0.72254187	0.89538705	1.2510145000000001	0.46478304	0.77407175	1.0144353000000002	1.2631196000000002	0.887589	1.6690792	1.0704504	0.9486982	1.1506448999999999	0.71378523	1.0144353000000002	0.3786144	1.4957263	0.87191325	1.4542183000000002	0.78250456	2.722501	1.3162155	0.62302387	1.1243893999999999	0.6136315999999999	0.59464574	0.7571259	0.76562524	0.87191325	1.438321	0.7312613	1.4222745	0.62302387	0.9108029000000001	1.0286552	1.2203858
LAMA2	3.2172593999999997	3.2764916	1.8115393	1.5946169	5.2372293	2.0356338	0.6041816	0.35624728	1.1177393	0.9184638	0.6691063	1.049722	2.987371	1.3618348	0.42232955	5.290604	1.0072758	3.2047698	1.9260064	3.4475646	0.13763218	1.618267	0.6960961999999999	4.0338936	3.2047698	0.042784035	0.15068647	0.7312613	1.5801983	2.6780720000000002	2.448954	1.5509181	2.8972402	1.2570579	0.99286234	0.6781482	0.41153392	0.8480885	0.8400183000000001	0.26316009999999995	0.33353373	1.3045712	1.2750628000000002	1.4906301000000002	1.641562	1.0144353000000002	0.6136315999999999	1.8480612	1.2265648999999998	0.9260758	0.64164835	0.7908371	0.9486982	0.90309465	3.8032327000000006	1.6645558999999996	0.2751237	1.3618348	0.87191325	1.049722	1.5898027	1.6645558999999996	1.1635615	0.5754108	0.9336372	0.38968015	0.87191325	0.6600121	0.7485361999999999	1.5656528
VTN	1.8991928	2.9183917	2.5582678	2.0391898	3.6028953	0.9561472	2.5873902	4.5084605	1.2928126	1.9222491000000002	1.5753416	2.0143566	1.9184216	1.9671944	1.4906301000000002	2.6713237999999997	1.3562181	1.2570579	2.5631685	3.9588084	4.2690660000000005	1.0566703000000002	1.0704504	2.4222932	2.3785129	2.0108203999999996	0.6600121	0.99286234	2.166716	2.0391898	1.6041348	2.0391898	2.4982425999999998	1.5993719	2.1985368999999997	1.996404	1.5753416	2.3191085	1.9709185000000002	2.5993228	3.7004666	3.058325	3.7441862	2.1077466	2.3391377999999996	1.608838	1.33921	1.8440174999999999	1.2928126	2.176366	1.0566703000000002	1.4803389999999998	2.2047992	1.6599708999999998	2.6111912999999998	5.7194199999999995	1.438321	1.618267	0.9855609000000001	1.618267	1.3334688000000001	2.2539822999999997	1.4957263	2.7506392	2.032156	1.5993719	2.5993228	0.44372052	1.4803389999999998	0.89538705
PLA2G2A	0.41153392	4.798064	0.58506453	0.2987822	5.746599	5.025061599999999	0.33353373	0.05672351	5.276086299999999	0.0	0.6781482	0.13763218	0.32205167	1.7697916	0.0	0.0	0.8797943000000001	4.185099	0.042784035	5.7535677000000005	0.097748086	0.08420307	0.0	0.097748086	6.1218476	0.9108029000000001	0.0	0.05672351	0.11116745	0.0	0.11116745	4.7290019999999995	5.9452844	4.678611	0.0	4.580153500000001	0.2751237	0.08420307	2.3785129	0.11116745	0.31045547	3.0548935	1.7049433	4.2395945	0.15068647	0.042784035	0.43305513	3.952353	0.08420307	1.2510145000000001	0.0	0.48553726	0.05672351	6.6321054	0.25107563	1.7355311999999998	0.20175661	1.0000511	1.989139	1.5059485000000001	0.8156711	2.1177437	5.938988	0.0	3.3420432	0.64164835	0.0	0.0	0.0	0.0
SPINK5	0.11116745	0.34494959999999997	0.43305513	0.5754108	0.042784035	0.07052474	0.15068647	0.5754108	0.124459624	0.08420307	0.097748086	0.15068647	0.097748086	0.042784035	1.3618348	0.9336372	0.16362981	0.08420307	0.32205167	4.3736625	0.097748086	5.4249477	0.014497611	0.028709901	2.648508	0.11116745	0.3674849	0.014497611	0.13763218	4.5179276	0.26316009999999995	0.26316009999999995	0.15068647	4.3944197	0.097748086	0.17644595	3.1440291	0.78250456	1.0635976	0.097748086	0.65087	0.05672351	0.124459624	2.6826303	0.45428359999999995	4.2547526	3.7634456	0.2751237	5.3896003	2.650778	3.974535	0.78250456	4.488007	0.77407175	0.0	4.370141	0.25107563	0.6323526999999999	3.8688931	0.35624728	0.028709901	3.0789382	0.8400183000000001	0.11116745	0.16362981	0.028709901	0.49579449999999997	0.07052474	1.9260064	0.40063623
COL23A1	0.13763218	0.62302387	1.3729870000000002	1.1954168	1.1310111	0.41153392	1.1375494	0.26316009999999995	0.9260758	0.3674849	0.26316009999999995	0.41153392	0.90309465	0.124459624	0.05672351	1.2449315	0.6960961999999999	0.80744386	0.9336372	1.2079737	2.899232	1.5898027	0.43305513	1.1375494	0.9108029000000001	0.6136315999999999	0.58506453	0.38968015	0.83196074	1.2750628000000002	1.3449053999999998	0.7049559	0.887589	1.33921	0.5754108	0.42232955	0.7571259	1.1177393	2.493141	1.608838	2.577725	0.2987822	0.18916444	0.94119436	1.8639895	0.3786144	0.48553726	1.0072758	0.44372052	0.32205167	0.6781482	0.9709230999999999	2.7655543999999996	0.6960961999999999	0.7312613	2.0704064	0.3674849	1.3896316999999998	0.58506453	2.361813	0.9855609000000001	0.7485361999999999	3.9078730000000004	0.9782476000000001	0.33353373	0.76562524	0.9561472	0.5161281	5.087916000000001	0.71378523
