	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
IL6	4.197671400000001	6.6033015	4.752778500000001	3.7886617	2.0942453999999997	0.45428359999999995	1.2327062	0.7908371	1.1243893999999999	0.0	5.038246	1.1243893999999999	2.5631685	1.3045712	0.33353373	3.0391572	2.3219886	2.313273	3.3132277	5.655974	1.7824702000000001	0.48553726	0.73994064	2.1009912	0.6691063	0.73994064	0.13763218	0.5656918000000001	0.54605496	0.07052474	1.5410503999999998	1.2631196000000002	2.0635524	2.4515689999999997	0.72254187	6.790381	1.33921	0.80744386	1.3841318999999999	1.0072758	0.6871335	0.26316009999999995	0.5361526	9.732096	3.4303150000000002	0.5754108	1.3896316999999998	1.9709185000000002	0.58506453	0.5361526	0.11116745	1.2449315	0.58506453	1.1044103	3.193808	0.48553726	0.5754108	0.8156711	3.9173962999999996	1.4060217	1.3334688000000001	0.94119436	2.978198	0.13763218	4.5674114	0.9336372	0.17644595	0.9855609000000001	0.6323526999999999	0.7049559
IGHV4-4	0.0	0.52618414	0.0	0.0	2.8679327999999997	1.8359431	3.8104758000000003	0.6960961999999999	1.2016847	1.3618348	0.0	0.0	0.0	0.0	0.0	3.3533165	0.43305513	1.438321	0.83196074	0.0	0.20175661	0.2751237	0.0	0.0	2.1570847	0.0	0.0	1.0072758	0.0	0.5656918000000001	1.8719058999999998	2.250979	2.9579601	1.5410503999999998	0.0	0.7991509	0.80744386	2.687107	1.3785836	1.0773331	0.15068647	0.0	0.16362981	0.0	3.9606802000000005	3.5223372000000004	0.49579449999999997	2.8914404	1.6229928	0.0	1.9260064	5.197719	0.0	0.8640384	0.22663648	0.45428359999999995	0.0	0.0	1.1044103	4.003584399999999	4.3923239999999995	0.9336372	1.5410503999999998	0.0	1.9069613	0.0	0.0	0.17644595	0.0	0.0
IGKV2D-28	0.0	0.87191325	1.7442220000000002	2.0807064	2.3277528	0.0	0.0	0.05672351	2.1954083	0.0	0.0	1.6599708999999998	0.5754108	0.0	0.0	4.2265277	0.0	0.0	4.064337999999999	0.0	0.71378523	0.0	0.42232955	0.0	2.2720363	1.0215281999999999	0.0	1.1177393	0.0	0.72254187	0.0	2.4982425999999998	3.0338876	4.473105400000001	1.1375494	4.6299224	0.8480885	2.5582678	1.0976788999999998	1.400608	0.0	0.18916444	0.0	0.097748086	2.2203312000000004	0.9108029000000001	0.0	2.1440650000000003	2.0108203999999996	1.5110093	1.049722	3.0461872000000003	0.0	0.0	2.5993228	0.0	0.5161281	3.418162	0.0	2.7527682999999996	3.040914	0.0	1.7949808	0.0	2.1922037999999997	0.0	0.31045547	0.0	0.0	0.0
SLC11A1	1.718147	6.9974256	4.1755557	1.0357134	3.5981236000000005	0.5754108	1.1506448999999999	0.6600121	1.0215281999999999	1.1764042	2.4905915000000003	1.1243893999999999	0.55591464	0.77407175	1.5361298	4.259302	0.32205167	1.4957263	1.2388668999999999	2.4982425999999998	3.5534127	1.2987429	1.1375494	0.76562524	2.2234745	0.71378523	0.3786144	2.0669782	0.8156711	0.6600121	2.720295	0.3786144	1.3729870000000002	1.1177393	0.5361526	1.7866592000000001	2.032156	1.0215281999999999	1.3449053999999998	1.7824702000000001	1.2141696000000002	0.9108029000000001	0.44372052	6.6033015	4.878261599999999	0.5754108	0.33353373	1.3674041000000001	2.2868881	1.1570913999999999	1.182776	0.9184638	0.6781482	1.0841396	1.7225369	0.9184638	0.41153392	0.58506453	0.5656918000000001	1.929841	1.4699608999999998	1.0286552	2.3701974999999997	0.48553726	1.3104153	2.1440650000000003	0.6323526999999999	0.45428359999999995	1.3277426	0.15068647
CXCL8	2.6438859	6.4865639999999996	5.4966826	3.7203257000000005	0.8156711	0.15068647	2.003606	2.5704846000000003	2.0635524	0.58506453	7.1874228	2.6599494999999997	2.1243687	0.124459624	0.3674849	3.370199	0.9108029000000001	2.2047992	2.0635524	5.23645	4.8614559999999996	0.21424463	1.8991928	1.3277426	1.4115105	0.2987822	0.18916444	2.263081	1.636943	0.22663648	2.6690476000000003	0.38968015	0.08420307	1.0286552	0.13763218	4.2156434	2.8298626000000002	0.097748086	0.887589	2.5873902	0.90309465	0.76562524	0.80744386	10.402465	4.337041999999999	0.21424463	1.2327062	0.50599486	1.1243893999999999	0.9336372	1.0909218	0.08420307	0.6041816	0.50599486	2.0461588	4.933071	0.18916444	0.6691063	2.0108203999999996	0.32205167	2.189079	0.124459624	1.0635976	0.124459624	1.6323309	2.531084	0.07052474	0.77407175	2.636916	1.9635481
EXO1	2.6667721	0.25107563	3.288336	0.6781482	0.55591464	2.9011374	3.807411	1.182776	4.015215	4.1554413	3.490597	0.7991509	2.9634519	3.9514174	3.9439354	0.50599486	3.9269239999999996	3.0125740000000003	1.9069613	1.0841396	1.9561163000000001	3.0072305	4.62004	1.9222491000000002	2.6736007	4.604693	3.8328729	4.5391665	0.3786144	3.8459887999999998	3.5147612	3.7071147000000004	3.4033029999999997	3.8338957000000002	3.3895449999999996	4.30816	2.5385325	3.6484803999999995	3.0479455	4.196159	0.48553726	2.5033484	0.6691063	3.2063751	3.3205156000000002	3.8884665999999997	2.9745312000000004	5.0316529999999995	3.2094967	3.3219557	2.4672816	2.8114889	3.8609760000000004	3.0197616000000003	3.1985302000000004	5.0144	5.155421	3.1309093999999997	3.7192168	1.4276745000000002	4.0857863	3.2630455	4.4711947	4.227285	4.950002	3.9532883	3.8145629999999997	4.658243700000001	2.58014	3.4621067
IGHV1-3	0.0	4.22577	0.0	1.5704931	2.361813	4.2047644	2.8197267000000004	0.0	0.22663648	3.3074725	0.0	0.0	1.4168863999999999	1.1506448999999999	0.0	2.0908759999999997	0.7571259	7.109376400000001	0.0	0.43305513	0.0	0.0	0.0	0.43305513	0.9782476000000001	0.0	1.1891136999999998	0.0	0.0	0.0	1.2869579	2.313273	3.3533165	1.4168863999999999	0.0	0.13763218	1.0773331	4.252478	1.3045712	0.49579449999999997	0.20175661	0.0	4.121861	0.11116745	6.740939	3.0072305	0.0	2.0738373	0.6136315999999999	0.7485361999999999	3.1209915	6.0900164000000006	0.0	1.2079737	0.0	0.0	0.0	1.4060217	0.0	4.25172	4.87971	0.0	1.8278862	0.7485361999999999	2.2898313999999997	0.5361526	0.0	0.0	0.76562524	0.35624728
COL20A1	2.4060422999999997	0.6323526999999999	4.326303	0.028709901	2.4060422999999997	1.2265648999999998	0.2751237	1.8914397	0.21424463	0.6960961999999999	0.5161281	0.5754108	1.9184216	0.5161281	0.014497611	4.735546	0.28699607	0.25107563	4.3950863	5.938988	0.042784035	2.6915857999999995	0.41153392	2.292776	0.32205167	1.4436299	0.014497611	0.0	0.8400183000000001	1.3162155	0.46478304	1.5110093	0.46478304	0.5754108	0.31045547	0.59464574	0.18916444	0.34494959999999997	1.9709185000000002	0.54605496	0.08420307	0.042784035	0.9486982	0.34494959999999997	0.50599486	0.4751773	0.2751237	1.0704504	0.43305513	1.2016847	1.0704504	0.26316009999999995	2.35336	0.23891501	4.1595006	0.4751773	0.05672351	1.0000511	1.2141696000000002	1.0286552	0.25107563	0.9486982	0.17644595	0.13763218	0.34494959999999997	0.34494959999999997	2.4114816	0.13763218	0.16362981	0.80744386
PLA2G2A	0.41153392	4.798064	0.58506453	0.2987822	5.746599	5.025061599999999	0.33353373	0.05672351	5.276086299999999	0.0	0.6781482	0.13763218	0.32205167	1.7697916	0.0	0.0	0.8797943000000001	4.185099	0.042784035	5.7535677000000005	0.097748086	0.08420307	0.0	0.097748086	6.1218476	0.9108029000000001	0.0	0.05672351	0.11116745	0.0	0.11116745	4.7290019999999995	5.9452844	4.678611	0.0	4.580153500000001	0.2751237	0.08420307	2.3785129	0.11116745	0.31045547	3.0548935	1.7049433	4.2395945	0.15068647	0.042784035	0.43305513	3.952353	0.08420307	1.2510145000000001	0.0	0.48553726	0.05672351	6.6321054	0.25107563	1.7355311999999998	0.20175661	1.0000511	1.989139	1.5059485000000001	0.8156711	2.1177437	5.938988	0.0	3.3420432	0.64164835	0.0	0.0	0.0	0.0
IGHV3-73	2.6644973999999997	1.8953143	1.3104153	0.7991509	1.0704504	3.4208817000000002	3.2898623999999996	0.0	1.4276745000000002	1.3951445	0.0	0.17644595	0.0	0.0	0.0	4.4542017	1.3951445	2.060053	5.4366699999999994	0.11116745	0.0	0.6600121	0.20175661	0.2987822	2.4060422999999997	0.59464574	0.6781482	0.0	0.0	0.18916444	1.5059485000000001	4.6004744	3.4114553999999995	1.0215281999999999	3.0858182999999997	2.3045709999999997	0.33353373	2.9297671000000003	1.1699992000000001	0.8560810999999999	0.9260758	0.097748086	0.124459624	0.7049559	2.1985368999999997	5.418892400000001	0.7049559	1.8359431	2.4195275	1.1699992000000001	1.0286552	4.3638606	0.0	0.7049559	0.7049559	0.0	0.54605496	4.291357499999999	3.3631544	2.4462585	4.1827364000000005	0.17644595	1.8156192	0.62302387	1.8600012	0.38968015	0.28699607	0.2987822	0.0	0.0
