	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
BUB1B	2.7949514	0.58506453	4.053997	1.1570913999999999	0.8400183000000001	3.9955214999999997	4.981366	1.4542183000000002	3.207891	4.710433999999999	3.7718781999999997	1.0144353000000002	4.424915299999999	4.587341	4.4515294999999995	0.34494959999999997	4.579578400000001	4.805295500000001	3.3645992	1.6135489	2.31615	4.219523400000001	5.0678277000000005	3.5397866000000002	4.1779175	5.2701435	4.110175	4.2187667	1.0215281999999999	4.9982195	4.198523000000001	4.779269	4.913633	5.047846	4.9174037	4.8048134000000005	3.4880459999999998	4.807899	4.3909907	5.185075	1.3841318999999999	3.5909686	0.5161281	3.6541872000000004	4.252478	4.6616054	4.4436097000000006	4.7644324000000005	4.6004744	3.9401956	3.2126189999999997	3.636888	5.354761	4.808863	3.7959921000000003	5.9314137	4.956099	3.7570546	5.081122	3.0652797	5.2407335999999995	3.165159	3.974535	4.5643462999999995	5.397117	4.8559523	4.6588197000000005	5.0853925	3.8934097000000003	4.761254
MND1	2.9763644	0.5656918000000001	2.9726982000000004	1.2510145000000001	0.124459624	2.3363294999999997	4.1077256	2.72683	3.1634705000000003	3.211013	3.8430114	1.4803389999999998	2.6392662999999996	3.5071885999999997	3.9963653	0.76562524	3.6713199999999997	2.687107	2.6599494999999997	1.0976788999999998	2.8197267000000004	3.6814603999999997	4.063492	1.5753416	3.291299	4.370141	3.4073784	3.8104758000000003	0.9184638	3.7104397000000002	3.5729122	3.574103	3.952353	3.692622	3.2780166	3.419522	2.8439693	3.6564891000000004	3.0338876	4.1666765	1.5607548	3.1160357000000003	1.7442220000000002	2.9049497000000004	3.058325	3.7886617	3.3117886	3.9854941	3.375711	3.5273602	2.6438859	2.577725	4.036523000000001	3.5373187000000006	2.8972402	4.833945	4.1317606	3.0089824	4.3168974	2.4356506	4.950486	3.0197616000000003	3.7538133	3.5084655	3.8836180000000002	3.1890876	3.5582623	5.408052400000001	3.3348334000000004	4.2265277
NUF2	3.5619237	0.44372052	5.140746599999999	1.7442220000000002	0.6691063	4.3117684999999994	5.675776	2.2419004	4.74575	4.2433834	5.2445307	1.6553924999999998	4.7098565	5.7210875	5.093837000000001	1.2327062	5.3359356	4.30816	3.4019443999999996	2.9279428	2.9392428	4.9150834	5.758376999999999	2.8217013	4.878261599999999	5.6430370000000005	3.9781873	5.317603599999999	1.0357134	5.3276463	4.606994599999999	5.217665	5.682051	5.8449965	5.501474	5.608549	4.5198402	5.2942095	4.812528599999999	6.1472807000000005	1.5656528	4.5856156	0.82382965	4.1227093	4.574692	5.4834830000000006	4.8768125	5.9634857000000006	5.4202595	5.301227	3.7750296999999997	4.5354342	6.331805999999999	5.7076483	4.6264677	6.170551000000001	6.809409	5.4760523	5.6438203	3.5223372000000004	6.355610400000001	4.2000356	5.971555	5.5441265	5.8313394	5.38716	5.560765	6.7750216	4.190581	5.0294237
SYCE1	1.2928126	0.18916444	0.15068647	2.6323006	0.71378523	0.32205167	0.55591464	1.2750628000000002	0.2751237	1.5361298	0.25107563	3.1537902	0.7049559	0.59464574	0.7312613	1.6915852999999998	0.25107563	0.26316009999999995	3.6276019999999995	1.7093155	0.71378523	6.271283	0.2987822	0.6691063	4.4776893	1.8560168999999997	0.5656918000000001	0.05672351	1.3951445	1.6229928	0.49579449999999997	0.5361526	0.6691063	5.566834	0.71378523	0.3674849	0.6960961999999999	0.72254187	0.72254187	1.3896316999999998	1.2449315	4.0496745	4.142419	0.3786144	0.20175661	3.8866017	5.705686599999999	0.2987822	6.7391559999999995	3.7267964	4.3326697	1.2510145000000001	0.5754108	0.31045547	0.7571259	2.8298626000000002	0.17644595	0.44372052	1.9782271	1.6323309	0.17644595	0.9486982	0.23891501	0.16362981	0.8156711	0.6600121	5.5515647	6.1719317	3.3262769999999997	2.1635296000000004
ESPL1	3.0267782000000003	0.44372052	4.0591669999999995	0.82382965	0.3674849	3.900127	4.504637000000001	0.49579449999999997	3.22342	6.1055856	3.2295833	0.71378523	3.8298974	4.371568700000001	3.4475646	0.33353373	4.009868	4.05052	2.978198	1.2750628000000002	1.6690792	3.5945456	4.2000356	1.9336054	4.3348556	3.6904072999999995	4.4189086	3.5311053	0.22663648	4.9269776	3.6403835	4.37509	4.517258	4.473774	3.9764078	4.6299224	3.8084326	4.216495	4.1333637	4.3991823	0.82382965	3.4222422	0.124459624	3.5957382000000004	3.5534127	4.8455257000000005	3.673532	4.556398000000001	4.015215	3.952353	2.4646602000000004	3.1731594	4.838963	4.406708999999999	3.377157	4.485427400000001	4.9982195	3.8001690000000004	5.0591935999999995	2.2957224999999997	4.556398000000001	2.6803508	3.8145629999999997	4.2645154000000005	4.716974700000001	4.4905870000000006	3.9690106	4.157896	2.9411563999999997	3.2615225
DMC1	1.4436299	1.2631196000000002	2.250979	1.1506448999999999	0.62302387	4.795461	3.9579663	0.7991509	0.7571259	0.34494959999999997	0.20175661	0.77407175	2.9653702	4.6082415999999995	0.5161281	1.1570913999999999	0.87191325	4.623493	1.0427017	0.46478304	1.6781452000000001	4.1366644	2.6415339	1.1506448999999999	1.1699992000000001	2.1310024	0.2751237	2.5210828999999997	1.1111153	3.4982522000000005	2.5873902	1.718147	1.5753416	3.2780166	2.5059025000000004	2.4956913	2.8953352000000003	1.3785836	1.3162155	3.9097397000000003	0.8400183000000001	1.3449053999999998	0.44372052	3.1209915	0.33353373	1.0427017	1.6599708999999998	4.473774	2.003606	3.3631544	3.4803050000000004	2.3074434	3.3190758000000002	3.5210589999999997	0.5656918000000001	4.006304	3.8032327000000006	1.0072758	4.0874805	0.6600121	3.8875341	2.8156068	2.469904	0.6960961999999999	1.0286552	3.5460038000000003	1.9373734	4.0823984	0.35624728	1.1699992000000001
PTTG1	4.3052163	3.1586738	6.239011	3.2372699000000003	3.6299919999999997	6.674975999999999	6.35966	3.5534127	6.571832000000001	6.1442246	6.639926400000001	4.231923999999999	6.201224	7.4278949999999995	6.580638400000001	3.9173962999999996	6.6826005	7.231225500000001	4.7312155	3.6028953	5.6789136	5.39165	7.306037400000001	4.0755300000000005	6.731826	6.363908	5.5545983	8.497095	1.6229928	6.269801999999999	6.3630185	6.497937	7.341514999999999	7.229536500000001	6.2521353	6.584992999999999	6.166310299999999	5.793131400000001	6.602114	7.3576155	3.056565	6.1576333	2.0908759999999997	6.561937299999999	5.37574	7.5765705	6.021264599999999	6.642896	6.664381	6.798309	5.170683	5.5147758	6.9741106	6.6083493	5.8557076	7.445492999999999	7.7198534	5.971555	6.683393	5.111022	7.5045595	5.4656915999999995	6.829331	7.1437289999999996	7.4331646	6.7976149999999995	7.4892449999999995	7.38823	5.8048177	6.451860400000001
TDRD12	0.23891501	0.22663648	3.4918725	1.8914397	0.2751237	0.83196074	1.3618348	0.34494959999999997	1.4436299	1.2079737	0.5161281	1.1635615	1.4957263	5.341983	2.4956913	0.38968015	0.6041816	3.9126341	1.8797659	3.090849	1.4542183000000002	0.124459624	5.1473546	0.42232955	0.8640384	0.31045547	0.23891501	0.23891501	1.5361298	2.2691026	4.522327400000001	0.73994064	0.50599486	5.458166	1.1177393	0.65087	2.469904	1.3104153	1.0286552	1.0704504	2.4409522999999997	0.72254187	0.5656918000000001	0.31045547	0.48553726	1.2631196000000002	5.8183722	0.887589	3.4554699999999996	1.2987429	0.77407175	2.3191085	1.9030752	3.1424327	1.438321	0.25107563	0.59464574	1.6915852999999998	3.0444293	1.0635976	0.22663648	1.618267	0.9486982	0.9709230999999999	1.3562181	0.7312613	1.0144353000000002	0.43305513	0.7485361999999999	0.32205167
TOP2A	5.8467655	1.8875689999999998	6.2936916	1.8639895	2.1144347000000003	7.779077	7.8757496	3.4303150000000002	6.866407000000001	6.6468563	6.2526293	3.266092	6.470249	6.897739	6.270296	0.77407175	6.9749039999999995	6.701318	4.464034	2.8719041	4.512859	5.146868	7.184642	4.8430165999999994	6.629235	6.559365	4.87971	7.7405553	0.6691063	7.1752080000000005	5.909973	6.326078400000001	6.915192599999999	7.435152499999999	7.225960700000001	6.948617	5.1561985	6.885839999999999	6.6407185	7.8394070000000005	2.3277528	6.0378074999999995	1.1177393	4.7087026	5.5971875	8.031519	6.1901765	6.3173885	6.8002910000000005	7.993666	4.526058	5.9001402999999994	7.9680675999999995	6.907457400000001	5.9623055	6.7497563	7.591492999999999	6.739849	7.359007400000001	5.01973	8.36458	6.6264634000000004	7.8587229999999995	7.046545	7.732593	6.942169	7.584628599999999	8.103152	5.5825963	6.3504734
RNF212	0.887589	1.4168863999999999	0.50599486	1.0072758	0.62302387	0.35624728	1.0072758	0.097748086	1.0841396	0.5656918000000001	1.1891136999999998	2.5631685	0.31045547	0.0	0.0	1.1044103	0.6041816	1.0773331	2.3561764	2.111051	0.21424463	3.2433507	2.0496476	3.6949286	0.8560810999999999	0.2987822	0.07052474	0.07052474	5.383353	1.0286552	0.9855609000000001	0.7908371	0.6600121	0.6041816	1.0566703000000002	1.2750628000000002	3.5173165999999996	0.44372052	1.2203858	1.0215281999999999	0.38968015	0.17644595	0.17644595	0.59464574	0.28699607	0.6136315999999999	1.989139	0.83196074	0.15068647	2.2839465	1.4222745	0.9782476000000001	0.31045547	0.6600121	1.2510145000000001	1.989139	4.016153299999999	1.2079737	0.38968015	0.8640384	0.59464574	0.16362981	1.0976788999999998	2.448954	0.7049559	0.124459624	0.5656918000000001	0.097748086	0.028709901	0.11116745
