	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
PTGS2	2.0807064	3.0635187999999998	4.0080857000000005	2.060053	0.6871335	0.11116745	0.7571259	0.5361526	0.99286234	0.5754108	3.1177167999999997	1.4489502	0.887589	0.35624728	0.028709901	1.7570888	0.9709230999999999	0.49579449999999997	1.3785836	3.9307550000000004	1.2928126	0.16362981	0.40063623	1.9745712	1.1891136999999998	0.44372052	0.2751237	0.25107563	0.80744386	0.46478304	0.8156711	1.1243893999999999	0.6960961999999999	1.2510145000000001	0.59464574	3.7071147000000004	2.2419004	0.32205167	0.8560810999999999	1.7527944	0.21424463	0.15068647	0.6136315999999999	4.898166000000001	2.0738373	0.46478304	0.73994064	0.59464574	0.40063623	0.08420307	0.21424463	0.38968015	0.41153392	0.26316009999999995	3.5260816	0.6323526999999999	0.42232955	1.1570913999999999	1.7949808	1.5801983	0.7312613	0.20175661	1.182776	0.13763218	1.8875689999999998	0.15068647	0.15068647	0.028709901	0.34494959999999997	0.07052474
PTGS1	1.5008324	4.2364690000000005	2.8914404	0.64164835	3.211013	1.1954168	2.0356338	1.0286552	1.8073926	1.7782153000000003	1.5160798999999998	1.5509181	1.3674041000000001	0.71378523	0.3674849	4.5153456	1.0000511	1.2631196000000002	1.2203858	1.9030752	1.9598305	0.46478304	0.9782476000000001	1.2265648999999998	2.8278	1.0704504	0.6691063	1.3334688000000001	1.5946169	0.9184638	1.3449053999999998	1.9030752	2.1009912	1.3951445	1.3729870000000002	2.2539822999999997	0.9709230999999999	1.5704931	1.8914397	1.9486238	1.3162155	2.1440650000000003	3.4114553999999995	4.7865934	3.4046612	0.89538705	0.99286234	2.3103974	1.3449053999999998	1.2016847	1.3896316999999998	1.9561163000000001	0.6960961999999999	1.4168863999999999	1.7613178	1.2388668999999999	0.6136315999999999	1.526119	1.2631196000000002	2.0807064	1.5460458000000001	1.8197037	2.4276652000000003	0.7571259	1.3045712	1.526119	0.90309465	2.1408155	2.8777779999999997	1.7137631000000002
PPAP2C	1.4060217	1.8237927	4.904932	2.0179709999999997	2.4594207000000003	0.8400183000000001	5.2953795999999995	0.6691063	0.59464574	1.5059485000000001	2.4880432999999997	5.248328	5.3995576	0.5656918000000001	0.8640384	2.7312467000000002	1.2016847	5.046584999999999	3.2295833	4.337707	1.6276582	2.0072117	1.8875689999999998	3.0891716000000002	1.526119	2.9297671000000003	2.5235612	0.6041816	5.1189857000000005	5.4538660000000005	2.8094308	1.438321	1.1310111	1.0909218	0.43305513	1.526119	3.4501991000000003	3.4263232000000006	1.636943	1.0704504	0.9486982	0.48553726	0.43305513	2.5059025000000004	1.2631196000000002	3.4329467000000005	0.6600121	5.6226554	0.5656918000000001	0.28699607	1.5361298	1.618267	2.0807064	4.5285459999999995	4.562526	6.909142999999999	5.224964	1.5898027	1.1570913999999999	1.8953143	0.52618414	1.2690823999999998	1.8156192	1.8639895	1.0841396	1.4957263	2.9260318	1.0566703000000002	0.11116745	0.5361526
LYVE1	1.1570913999999999	4.8757496	4.321172	1.3449053999999998	4.7214003	1.6826189999999999	3.419522	0.34494959999999997	3.6633961000000004	1.2869579	0.9855609000000001	2.0976171000000003	0.62302387	0.25107563	0.5361526	4.615915	3.7697464999999997	1.2631196000000002	0.6323526999999999	2.636916	1.2388668999999999	0.8797943000000001	0.3786144	0.7908371	4.370902500000001	1.1506448999999999	1.9449196	0.62302387	2.111051	1.5946169	1.8399782	4.0373683	4.83491	1.2327062	2.4672816	2.0840685000000003	1.5993719	2.9708657000000005	1.5210948	3.5717216	1.8953143	0.71378523	0.8797943000000001	2.531084	2.9837008	2.250979	1.0357134	4.26006	1.1764042	3.5825336	0.82382965	4.1201644	1.6508208999999998	4.339894	3.3045058	0.9561472	0.94119436	4.466611400000001	1.1764042	5.580736	4.4515294999999995	0.52618414	3.7729904999999997	2.1342453999999997	2.8258237999999998	1.0215281999999999	1.2570579	0.44372052	0.8797943000000001	0.5361526
SERINC2	1.7570888	4.2180095	2.4776952000000003	3.5285474999999997	2.6323006	1.2079737	2.9392428	4.606419	2.0531387	2.0461588	0.6960961999999999	1.5509181	1.3674041000000001	1.5753416	2.0976171000000003	4.3799453	1.6736089	4.821692	1.400608	4.554579	3.6758363	1.3334688000000001	3.5582623	1.1375494	2.179561	1.0000511	1.7824702000000001	1.6781452000000001	1.8914397	5.055314	1.7991133000000001	1.9449196	1.2690823999999998	1.6229928	2.1473167	1.8237927	2.4594207000000003	1.6229928	1.526119	1.4957263	4.1243114	3.0823777000000003	4.212616000000001	3.2016497000000004	1.4542183000000002	2.2957224999999997	3.5789592000000003	3.5322928	1.8875689999999998	1.4222745	3.8816602	1.2510145000000001	1.5607548	2.511014	1.5558652	3.1226732999999998	0.49579449999999997	1.5801983	1.2449315	3.5185032	1.6599708999999998	2.1538265	2.1954083	3.8894925000000002	2.0840685000000003	1.3896316999999998	2.565662	1.5898027	2.4541852000000004	1.2388668999999999
PLA2G2A	0.41153392	4.798064	0.58506453	0.2987822	5.746599	5.025061599999999	0.33353373	0.05672351	5.276086299999999	0.0	0.6781482	0.13763218	0.32205167	1.7697916	0.0	0.0	0.8797943000000001	4.185099	0.042784035	5.7535677000000005	0.097748086	0.08420307	0.0	0.097748086	6.1218476	0.9108029000000001	0.0	0.05672351	0.11116745	0.0	0.11116745	4.7290019999999995	5.9452844	4.678611	0.0	4.580153500000001	0.2751237	0.08420307	2.3785129	0.11116745	0.31045547	3.0548935	1.7049433	4.2395945	0.15068647	0.042784035	0.43305513	3.952353	0.08420307	1.2510145000000001	0.0	0.48553726	0.05672351	6.6321054	0.25107563	1.7355311999999998	0.20175661	1.0000511	1.989139	1.5059485000000001	0.8156711	2.1177437	5.938988	0.0	3.3420432	0.64164835	0.0	0.0	0.0	0.0
SLC44A3	0.40063623	1.2810018	0.80744386	1.400608	3.6005092000000003	0.48553726	0.25107563	3.3895449999999996	0.58506453	1.0144353000000002	0.35624728	0.58506453	0.9184638	0.0	2.8460355	3.305944	0.3674849	1.4647238	1.0215281999999999	2.2419004	0.44372052	0.54605496	0.90309465	0.94119436	1.5008324	2.9690335	0.99286234	0.64164835	1.0773331	0.2751237	0.62302387	0.42232955	0.7485361999999999	0.62302387	0.41153392	0.5361526	1.0976788999999998	0.7571259	0.4751773	0.6960961999999999	1.5558652	0.9184638	2.2898313999999997	0.77407175	0.4751773	0.13763218	0.89538705	0.4751773	0.20175661	0.35624728	1.3219714	0.64164835	0.887589	0.72254187	2.0807064	1.9561163000000001	0.17644595	0.52618414	0.38968015	1.2141696000000002	0.35624728	1.2570579	1.4751447	0.73994064	0.48553726	0.7312613	0.42232955	2.2110689999999997	1.5310872	0.887589
BCHE	1.4489502	2.2296095	2.7333708	0.13763218	3.9532883	0.8480885	0.26316009999999995	0.7571259	1.3104153	0.18916444	0.6871335	1.1310111	1.33921	0.8640384	0.6136315999999999	3.4660172	0.9561472	0.25107563	2.4541852000000004	4.0080857000000005	1.182776	1.2750628000000002	0.43305513	0.5754108	0.9486982	0.6323526999999999	1.2987429	0.08420307	0.72254187	0.22663648	0.55591464	0.55591464	0.78250456	1.0286552	0.5656918000000001	0.9486982	0.8400183000000001	0.124459624	0.34494959999999997	0.16362981	0.43305513	0.50599486	0.7571259	0.48553726	0.35624728	0.40063623	0.35624728	1.9184216	0.16362981	0.58506453	0.097748086	0.58506453	0.6041816	0.28699607	3.3161964	3.0089824	1.9598305	1.5801983	0.8480885	1.8237927	1.1044103	0.62302387	0.9184638	0.31045547	1.1954168	0.6600121	1.2928126	4.279498	0.3674849	2.3334424
TNFAIP8L3	0.50599486	4.963455000000001	3.3205156000000002	0.7991509	4.0205636	0.887589	2.189079	0.62302387	1.8197037	0.3786144	1.438321	1.0072758	0.80744386	0.6781482	0.014497611	2.6915857999999995	1.7049433	1.2079737	0.71378523	2.0072117	0.34494959999999997	0.5361526	0.3674849	1.0144353000000002	2.4329605	0.64164835	0.58506453	0.3674849	0.34494959999999997	0.8156711	0.43305513	1.4489502	1.4276745000000002	0.9108029000000001	0.64164835	0.83196074	0.9561472	0.90309465	1.2810018	1.0072758	1.1699992000000001	1.0144353000000002	1.3951445	1.5558652	1.1891136999999998	0.5656918000000001	0.9260758	1.2750628000000002	0.3786144	0.80744386	0.80744386	1.2203858	0.42232955	1.1310111	1.6960089	0.5656918000000001	0.59464574	2.121055	0.78250456	2.3978515	1.5656528	2.4356506	1.8600012	0.5656918000000001	0.9709230999999999	0.26316009999999995	0.9635396999999999	0.9184638	0.4751773	0.31045547
PLA2G4A	0.2751237	2.0391898	1.5849965	0.41153392	3.5909686	0.52618414	0.6041816	0.3786144	1.0773331	0.43305513	1.0357134	0.5656918000000001	1.1570913999999999	0.6041816	0.15068647	3.1193984	0.8640384	0.59464574	1.3505546	2.9542139	0.62302387	0.64164835	0.65087	0.7991509	2.2234745	0.49579449999999997	1.3104153	0.2751237	0.52618414	0.73994064	0.71378523	1.2327062	1.2928126	1.1570913999999999	0.8797943000000001	1.5410503999999998	0.71378523	0.77407175	1.0427017	0.72254187	0.8480885	0.6136315999999999	0.46478304	1.0566703000000002	1.7697916	0.76562524	0.54605496	1.3562181	0.45428359999999995	0.42232955	0.48553726	0.9782476000000001	0.5656918000000001	0.9486982	3.003641	2.1077466	0.44372052	1.5160798999999998	0.55591464	1.5753416	1.2141696000000002	0.6323526999999999	1.1570913999999999	0.6691063	1.0286552	0.71378523	0.7049559	0.42232955	0.7049559	0.887589
