	TARGET-30-PAITCI-01	TARGET-30-PAITEG-01	TARGET-30-PAIVHE-01	TARGET-30-PALBFW-01	TARGET-30-PALCBW-01	TARGET-30-PALETP-01	TARGET-30-PALIIN-01	TARGET-30-PALNVP-01	TARGET-30-PALTEG-01	TARGET-30-PALUYS-01	TARGET-30-PALWVJ-01	TARGET-30-PALXTB-01	TARGET-30-PAMYCE-01	TARGET-30-PANBJH-01	TARGET-30-PANBSP-01	TARGET-30-PANKFE-01	TARGET-30-PANNMS-01	TARGET-30-PANRHJ-01	TARGET-30-PANRRW-01	TARGET-30-PANRVJ-01	TARGET-30-PANUIF-01	TARGET-30-PANWRR-01	TARGET-30-PANYGR-01	TARGET-30-PANZPV-01	TARGET-30-PANZVU-01	TARGET-30-PAPBGH-01	TARGET-30-PAPBZI-01	TARGET-30-PAPEAV-01	TARGET-30-PAPHPE-01	TARGET-30-PAPKXS-01	TARGET-30-PAPLSD-01	TARGET-30-PAPUAR-01	TARGET-30-PAPUEB-01	TARGET-30-PAPUWY-01	TARGET-30-PAPVFD-01	TARGET-30-PAPVXS-01	TARGET-30-PARACS-01	TARGET-30-PARBGP-01	TARGET-30-PARDIW-01	TARGET-30-PARFWB-01	TARGET-30-PARGKK-01	TARGET-30-PARHAM-01	TARGET-30-PARHAM-02	TARGET-30-PARKGJ-01	TARGET-30-PARSBI-01	TARGET-30-PARYNK-01	TARGET-30-PARZIP-01	TARGET-30-PASFGG-01	TARGET-30-PASMNT-01	TARGET-30-PASNEF-01	TARGET-30-PASPER-01	TARGET-30-PASRFS-01	TARGET-30-PASSRS-01	TARGET-30-PASTCN-01	TARGET-30-PASTKC-01	TARGET-30-PASUCB-01	TARGET-30-PASUYG-01	TARGET-30-PASWIJ-01	TARGET-30-PASXHE-01	TARGET-30-PASXRJ-01	TARGET-30-PASYPX-01	TARGET-30-PATCFL-01	TARGET-30-PATDXC-01	TARGET-30-PATFCY-01	TARGET-30-PATGLU-01	TARGET-30-PATHVK-01	TARGET-30-PATINJ-01	TARGET-30-PATNKP-02	TARGET-30-PATYIL-01	TARGET-30-PATYIL-02
SMN2	5.1870203	4.134212000000001	4.719764700000001	4.3030324	4.304551999999999	4.344172	4.9387784	5.804229	4.671308	3.2448716	5.735216	5.1719475	5.667051	5.6255945999999994	0.9782476000000001	4.7697306	6.147675	5.9219713	3.1325932	5.7279553	5.7871413	4.905416000000001	4.936360400000001	3.844965	5.872809999999999	5.0259337	4.560707	5.725502	0.6871335	2.786652	5.746894	5.5852404	5.762303	5.600223000000001	5.3896003	3.730125	5.3222833	5.0733585	4.943906299999999	5.175934	5.512526	5.8787080000000005	5.577995	4.9873705	5.4292455	5.781054	4.501482	5.296451599999999	6.5772743	6.2534184	4.793919	4.846009	6.1793275	5.923643599999999	5.285732	5.2660527	5.102283	4.346264	2.3248699	0.22663648	5.1651416	5.205988400000001	6.268123999999999	1.5509181	5.8073716	6.321041999999999	5.563799400000001	5.917152	2.0072117	1.5210948
PTGS2	2.0807064	3.0635187999999998	4.0080857000000005	2.060053	0.6871335	0.11116745	0.7571259	0.5361526	0.99286234	0.5754108	3.1177167999999997	1.4489502	0.887589	0.35624728	0.028709901	1.7570888	0.9709230999999999	0.49579449999999997	1.3785836	3.9307550000000004	1.2928126	0.16362981	0.40063623	1.9745712	1.1891136999999998	0.44372052	0.2751237	0.25107563	0.80744386	0.46478304	0.8156711	1.1243893999999999	0.6960961999999999	1.2510145000000001	0.59464574	3.7071147000000004	2.2419004	0.32205167	0.8560810999999999	1.7527944	0.21424463	0.15068647	0.6136315999999999	4.898166000000001	2.0738373	0.46478304	0.73994064	0.59464574	0.40063623	0.08420307	0.21424463	0.38968015	0.41153392	0.26316009999999995	3.5260816	0.6323526999999999	0.42232955	1.1570913999999999	1.7949808	1.5801983	0.7312613	0.20175661	1.182776	0.13763218	1.8875689999999998	0.15068647	0.15068647	0.028709901	0.34494959999999997	0.07052474
PIWIL2	0.2751237	0.23891501	2.8953352000000003	0.7485361999999999	0.72254187	0.41153392	3.193808	0.08420307	1.996404	0.89538705	1.0072758	0.25107563	0.9184638	4.468617	1.7907819999999999	0.6781482	3.8440347000000004	0.38968015	1.2750628000000002	0.8797943000000001	0.82382965	1.2750628000000002	1.0909218	0.2987822	0.8400183000000001	0.89538705	1.1310111	0.124459624	0.45428359999999995	0.80744386	0.83196074	0.82382965	0.41153392	0.6041816	1.2203858	1.1699992000000001	0.5161281	0.77407175	1.0909218	0.83196074	0.34494959999999997	0.6600121	0.33353373	0.62302387	1.0215281999999999	0.55591464	0.9709230999999999	0.55591464	1.2327062	0.7049559	1.2449315	3.4396633999999997	0.7485361999999999	0.4751773	1.2016847	0.42232955	0.2751237	0.9782476000000001	0.49579449999999997	1.1310111	0.124459624	1.0566703000000002	0.42232955	0.87191325	3.6264071	3.500805	0.5656918000000001	0.20175661	0.6136315999999999	0.28699607
DIRAS3	0.54605496	4.4835167	1.929841	2.980032	5.283198400000001	0.90309465	0.6041816	1.7655522000000001	1.1111153	0.6136315999999999	1.6276582	4.574117	1.4222745	2.662223	1.2016847	4.321172	0.8480885	1.3449053999999998	2.3646336	1.1375494	4.455538	2.4409522999999997	1.8719058999999998	4.825261	0.5754108	0.54605496	0.05672351	0.9184638	3.9030194	2.8359669999999997	0.52618414	1.1506448999999999	0.9184638	3.4369402	0.8156711	0.43305513	1.1764042	0.76562524	1.4906301000000002	2.2600729999999998	4.134212000000001	3.9335587	5.396824	1.7093155	0.48553726	0.15068647	1.0841396	4.588012	0.08420307	0.6323526999999999	4.179524	2.1243687	0.5754108	3.7559432999999998	3.377157	0.50599486	0.18916444	2.3334424	0.33353373	1.0286552	1.5753416	2.275051	0.4751773	0.7485361999999999	0.5361526	0.52618414	1.7570888	1.5410503999999998	0.097748086	0.5161281
DTL	2.4541852000000004	0.21424463	4.4886756	1.4168863999999999	0.6781482	3.4724769999999996	4.6444163	2.1077466	3.7026825	5.6293178	3.8669366999999997	1.1111153	4.4436097000000006	5.123065	4.390228700000001	0.4751773	4.8313394	3.614739	3.3505199999999995	1.4060217	1.5898027	4.063492	4.571051000000001	2.8599954	4.0347385000000004	4.822270400000001	4.4711947	3.5619237	0.2987822	5.211437	3.5729122	4.936844000000001	5.6932306	5.308537	5.0587089999999995	4.972265	3.4263232000000006	5.3896003	3.7082229	5.3150687	1.1891136999999998	3.8649807000000003	0.52618414	4.137512999999999	3.8609760000000004	5.039991400000001	3.5534127	5.1457024	3.7907957999999997	4.161105600000001	3.17476	3.9097397000000003	4.8171577	4.5843697	4.012588	5.2559237	5.3125343	3.914595	4.9968634000000005	2.5533702000000003	4.6864915	3.1473117000000004	4.4501934	4.093411	4.9708122999999995	4.5969267	4.189825	5.734431	2.9927914	3.9316894999999996
RORC	0.6781482	0.49579449999999997	0.77407175	0.6323526999999999	0.59464574	0.22663648	0.59464574	2.4515689999999997	1.33921	0.26316009999999995	0.28699607	0.35624728	0.21424463	0.05672351	2.6826303	2.8679327999999997	0.23891501	1.5310872	0.46478304	4.5928044	1.1506448999999999	1.4168863999999999	0.34494959999999997	0.2751237	3.1537902	0.6871335	1.7782153000000003	1.4957263	3.3603556000000006	1.3162155	0.21424463	0.6691063	0.77407175	0.59464574	0.65087	0.23891501	2.5680728	0.45428359999999995	2.0143566	1.3104153	0.45428359999999995	0.7991509	0.99286234	0.21424463	1.6135489	0.5161281	0.6323526999999999	0.3786144	1.1441122	0.42232955	2.8094308	0.5656918000000001	0.9561472	1.3618348	0.73994064	0.9336372	0.124459624	1.049722	0.5656918000000001	0.9561472	0.94119436	2.021513	0.49579449999999997	0.54605496	0.4751773	0.54605496	0.22663648	0.90309465	1.5656528	0.46478304
CCAR1	4.577758	3.6881932999999996	5.826329	5.498247	4.3840394	4.3533015	6.1799197	5.636373000000001	5.4548435	5.6843069999999996	5.954434	5.3125343	5.6111937	6.357882	5.711474	4.7054324	6.1087394	4.840990000000001	6.4865639999999996	5.9993105	6.1091337	6.082134	5.768978	4.7175517	6.422404	5.399851	4.5849447	5.6100183	5.746894	6.539776	5.911645	6.529686	6.3608456	6.344151999999999	6.441480599999999	6.400168	6.584102000000001	6.5764823	6.155464	6.517618700000001	6.246017	6.080458999999999	4.936844000000001	5.5948367	5.7912655	6.113371400000001	6.380209	6.5739098	6.5394793	6.0787845	5.985924	6.2562804000000005	6.578066000000001	6.5417542	6.2454247	6.615178599999999	5.879690599999999	6.781759700000001	6.2121735000000005	6.4116316	6.3393125999999995	5.9918294	6.494871	6.0317025	6.580144000000001	6.1095276	6.522662599999999	6.333387	6.610428	5.843523
TDRD12	0.23891501	0.22663648	3.4918725	1.8914397	0.2751237	0.83196074	1.3618348	0.34494959999999997	1.4436299	1.2079737	0.5161281	1.1635615	1.4957263	5.341983	2.4956913	0.38968015	0.6041816	3.9126341	1.8797659	3.090849	1.4542183000000002	0.124459624	5.1473546	0.42232955	0.8640384	0.31045547	0.23891501	0.23891501	1.5361298	2.2691026	4.522327400000001	0.73994064	0.50599486	5.458166	1.1177393	0.65087	2.469904	1.3104153	1.0286552	1.0704504	2.4409522999999997	0.72254187	0.5656918000000001	0.31045547	0.48553726	1.2631196000000002	5.8183722	0.887589	3.4554699999999996	1.2987429	0.77407175	2.3191085	1.9030752	3.1424327	1.438321	0.25107563	0.59464574	1.6915852999999998	3.0444293	1.0635976	0.22663648	1.618267	0.9486982	0.9709230999999999	1.3562181	0.7312613	1.0144353000000002	0.43305513	0.7485361999999999	0.32205167
RPS4Y1	7.9223539999999995	8.329288	8.421011	7.5141067999999995	0.54605496	0.0	6.956552	0.07052474	6.7507470000000005	0.0	6.375565	8.469972	0.17644595	0.0	0.0	0.0	0.0	0.0	7.0786036999999995	8.307557000000001	8.297787	8.177986	8.625455	0.0	8.731096	0.0	4.788714	0.124459624	7.884015	0.042784035	6.4521565	0.0	1.1441122	0.35624728	6.3166970000000005	6.304848000000001	6.194911	0.0	7.3548326	5.5394296999999995	7.3242226	0.41153392	0.0	7.7333894	0.042784035	0.0	5.6630316	0.0	0.042784035	0.08420307	0.0	0.11116745	5.1638775	6.4677773	8.273166999999999	7.5953726999999995	4.951841	6.8542122999999995	5.340227	0.0	0.0	5.7912655	7.720451	7.6117883	5.7308984	0.0	6.930862400000001	6.828439	0.0	0.13763218
PIWIL1	0.05672351	0.16362981	0.028709901	0.31045547	0.18916444	0.46478304	0.46478304	0.11116745	0.014497611	2.9542139	0.028709901	0.6136315999999999	0.07052474	3.3533165	0.014497611	0.05672351	0.9709230999999999	0.028709901	1.5110093	0.08420307	0.15068647	2.8298626000000002	3.0687146	0.62302387	0.05672351	0.0	0.23891501	0.58506453	0.83196074	3.7928371	0.042784035	1.5993719	0.124459624	1.7740363000000001	2.8439693	0.124459624	1.9855485000000002	3.028621	0.26316009999999995	1.4906301000000002	1.3449053999999998	0.46478304	0.2987822	1.1441122	0.31045547	2.55586	0.042784035	0.38968015	2.5945642	2.8217013	1.5993719	2.0496476	0.18916444	0.028709901	0.097748086	0.41153392	3.7697464999999997	0.014497611	0.77407175	0.38968015	2.5753107	0.48553726	1.8520371	0.07052474	2.5509644000000002	0.33353373	0.05672351	3.5632052000000005	1.9336054	3.370199
RAD51AP1	3.31035	0.9561472	4.893333999999999	1.3951445	0.99286234	3.0089824	4.868409	2.166716	3.8738312999999995	3.9845574	3.9718193999999998	1.5607548	4.0721436	3.9269239999999996	3.9117002	1.1699992000000001	4.900583	3.4329467000000005	3.3490767	1.9145979	1.9524055	4.260818	4.6217666	3.0840537999999995	4.123463	3.9392605000000005	3.2956998	4.276463	1.2928126	5.4025846	4.019719	4.8191833	4.516015	4.4886756	5.15824	5.1473546	4.1659217	4.9694567	4.0729904	5.0687013	1.4751447	3.1293151000000003	1.0286552	4.3799453	4.212616000000001	5.062686	3.8104758000000003	5.228078400000001	4.1077256	4.242625	3.673532	3.3334818	5.011202	4.880193	3.8196730000000003	5.231875	4.6017209999999995	4.012588	5.6493087	2.8439693	5.9134154	3.4383016000000004	4.462029	4.232681299999999	4.8914013	5.313606299999999	3.9764078	4.310343700000001	3.3334818	4.280257
EXO1	2.6667721	0.25107563	3.288336	0.6781482	0.55591464	2.9011374	3.807411	1.182776	4.015215	4.1554413	3.490597	0.7991509	2.9634519	3.9514174	3.9439354	0.50599486	3.9269239999999996	3.0125740000000003	1.9069613	1.0841396	1.9561163000000001	3.0072305	4.62004	1.9222491000000002	2.6736007	4.604693	3.8328729	4.5391665	0.3786144	3.8459887999999998	3.5147612	3.7071147000000004	3.4033029999999997	3.8338957000000002	3.3895449999999996	4.30816	2.5385325	3.6484803999999995	3.0479455	4.196159	0.48553726	2.5033484	0.6691063	3.2063751	3.3205156000000002	3.8884665999999997	2.9745312000000004	5.0316529999999995	3.2094967	3.3219557	2.4672816	2.8114889	3.8609760000000004	3.0197616000000003	3.1985302000000004	5.0144	5.155421	3.1309093999999997	3.7192168	1.4276745000000002	4.0857863	3.2630455	4.4711947	4.227285	4.950002	3.9532883	3.8145629999999997	4.658243700000001	2.58014	3.4621067
TIMELESS	4.174705	1.6960089	4.915567	3.165159	2.1603448	4.4355965	5.9701777	2.922211	4.467280000000001	6.0887356	4.551514599999999	2.5509644000000002	4.568656400000001	4.753838	5.121803	2.31615	5.06094	4.6187925000000005	4.2172523	3.5862005	3.6881932999999996	4.6253166	5.3491035	2.922211	4.9387784	5.0678277000000005	5.18313	5.0539559999999994	3.5668676	6.3696375	4.375756299999999	5.146479599999999	5.523873	4.8455257000000005	4.7517195	5.3715434	4.6599727	5.6433306	4.908799	5.282419	2.695983	4.643264299999999	2.4672816	4.4100447	4.9918260000000005	5.6607769999999995	4.8535385	5.461391000000001	4.9579379999999995	4.9044495	4.0849395	4.51219	5.4873934	5.3458843	4.371568700000001	5.8785110000000005	6.2141470000000005	5.010330000000001	5.9154800000000005	3.7104397000000002	5.8742843	4.1260085	5.2842703	5.222628	5.459143599999999	5.8083534000000006	5.4025846	5.937807599999999	4.0008655	4.727366
PTHLH	0.71378523	4.427585	1.4803389999999998	2.8639631000000003	2.5459888	0.7049559	1.2141696000000002	0.8480885	1.0072758	0.4751773	0.90309465	4.945842	1.1570913999999999	0.73994064	0.15068647	3.5071885999999997	1.1570913999999999	0.9782476000000001	1.3104153	1.0773331	0.82382965	0.6691063	0.38968015	2.4168446	2.9448977000000003	0.8797943000000001	0.48553726	0.5656918000000001	2.5134885	1.2327062	0.31045547	1.618267	0.48553726	0.44372052	0.62302387	1.400608	0.8156711	0.64164835	1.0773331	0.80744386	4.2433834	2.7740042000000003	2.3701974999999997	3.8599517	0.94119436	0.18916444	0.6691063	0.8640384	0.17644595	0.49579449999999997	2.7676876	0.94119436	0.8560810999999999	3.0772630000000003	1.8359431	2.55586	0.13763218	1.7442220000000002	1.2016847	1.6508208999999998	0.6691063	0.83196074	1.4647238	0.6871335	0.54605496	1.182776	0.99286234	0.6781482	0.7908371	0.55591464
SOX17	1.618267	4.0391525999999995	3.4141739999999996	3.7856007000000007	2.8679327999999997	0.99286234	1.0000511	1.2928126	1.6960089	1.0072758	2.250979	2.0669782	2.0286055	1.4957263	1.1506448999999999	3.5521321000000006	1.8399782	1.8953143	2.493141	3.31035	3.6893002999999998	0.9561472	1.4060217	1.7740363000000001	1.7949808	1.7740363000000001	0.9561472	0.6871335	0.7991509	0.45428359999999995	1.5110093	1.182776	0.8560810999999999	3.0215151000000002	0.6781482	3.111082	1.9818863000000002	1.5059485000000001	1.7268628000000001	0.59464574	2.2448986	0.8156711	0.48553726	4.2629985999999995	2.1954083	0.54605496	0.89538705	1.7355311999999998	0.8640384	0.6323526999999999	1.2690823999999998	0.9108029000000001	1.7907819999999999	1.2449315	1.6870991000000002	1.1635615	0.52618414	1.8237927	1.3562181	1.1954168	0.9336372	0.887589	2.1473167	2.0807064	3.0250237	1.6041348	1.2928126	0.8400183000000001	0.55591464	1.3162155
NR4A2	2.5825560000000003	5.585828	4.3736625	4.0729904	3.5147612	0.26316009999999995	0.6960961999999999	1.400608	0.77407175	0.9336372	3.0687146	1.5460458000000001	4.145721	0.8400183000000001	0.49579449999999997	4.267549	1.2928126	3.2295833	3.2433507	4.198523000000001	4.0849395	0.71378523	0.40063623	4.5861906999999995	1.8359431	2.9726982000000004	0.40063623	1.0773331	1.4060217	1.2928126	3.111082	1.8679093	0.64164835	2.5825560000000003	0.55591464	4.4080434	1.718147	0.5161281	1.8914397	1.9782271	1.6915852999999998	0.38968015	1.2987429	4.2078857	3.2463925	1.1441122	2.4568024	0.7485361999999999	1.4854795	0.15068647	0.83196074	0.7571259	1.2079737	0.32205167	5.754058000000001	0.9561472	0.65087	0.76562524	3.8278519999999996	0.87191325	0.5361526	0.15068647	2.3191085	0.45428359999999995	4.8836718	0.5161281	0.26316009999999995	1.3785836	1.6041348	1.0286552
FOSL1	2.3448386	7.1350913	5.626182599999999	3.6052816	1.9928074	0.7485361999999999	0.58506453	1.0909218	0.77407175	0.6041816	3.7093312999999997	2.0566328	1.0704504	0.0	0.3786144	2.275051	0.4751773	0.9782476000000001	2.2079334	2.9297671000000003	2.4356506	0.5754108	0.59464574	1.4594975000000001	0.45428359999999995	1.1441122	0.41153392	0.83196074	0.48553726	0.6041816	0.8400183000000001	0.3786144	0.52618414	0.83196074	0.22663648	4.0329546999999994	1.5160798999999998	0.33353373	0.33353373	0.5361526	0.58506453	0.3674849	0.3674849	5.3077574	0.8480885	0.58506453	0.49579449999999997	1.1044103	0.8156711	0.15068647	1.1506448999999999	0.32205167	0.73994064	0.7571259	2.3561764	1.0357134	0.4751773	0.41153392	0.9709230999999999	0.32205167	0.44372052	0.3786144	0.9184638	0.44372052	1.4276745000000002	0.49579449999999997	0.52618414	0.31045547	0.34494959999999997	0.38968015
DMC1	1.4436299	1.2631196000000002	2.250979	1.1506448999999999	0.62302387	4.795461	3.9579663	0.7991509	0.7571259	0.34494959999999997	0.20175661	0.77407175	2.9653702	4.6082415999999995	0.5161281	1.1570913999999999	0.87191325	4.623493	1.0427017	0.46478304	1.6781452000000001	4.1366644	2.6415339	1.1506448999999999	1.1699992000000001	2.1310024	0.2751237	2.5210828999999997	1.1111153	3.4982522000000005	2.5873902	1.718147	1.5753416	3.2780166	2.5059025000000004	2.4956913	2.8953352000000003	1.3785836	1.3162155	3.9097397000000003	0.8400183000000001	1.3449053999999998	0.44372052	3.1209915	0.33353373	1.0427017	1.6599708999999998	4.473774	2.003606	3.3631544	3.4803050000000004	2.3074434	3.3190758000000002	3.5210589999999997	0.5656918000000001	4.006304	3.8032327000000006	1.0072758	4.0874805	0.6600121	3.8875341	2.8156068	2.469904	0.6960961999999999	1.0286552	3.5460038000000003	1.9373734	4.0823984	0.35624728	1.1699992000000001
CDCA5	4.4802685	1.0000511	5.900828400000001	2.5509644000000002	1.6736089	5.530721	5.899451999999999	2.4541852000000004	5.789203	6.7806697	5.639215	2.3103974	5.575645	5.591605	5.0840335	0.9782476000000001	6.958933	4.3405595	4.375756299999999	2.0976171000000003	3.8708496	5.1858525	6.808517	3.266092	5.2137723	5.419185	5.4393077000000005	5.8902097	1.182776	5.989861	5.7270722	6.0946474	5.7959795	5.809925	6.219178	6.952584299999999	5.1505613	5.8945355	5.510961	6.746091000000001	1.9745712	4.2148867	1.0635976	6.0154557	5.49414	6.4144974	4.100944	6.7929580000000005	5.129282	6.4083705	3.0426714	4.6004744	5.504897	6.377343700000001	5.0904393	6.2004347	5.694603400000001	4.554004	5.812773	3.9928036	6.7965255	4.9116992999999995	5.6452904	4.9823346	6.0574074	6.0853852999999996	6.850247	6.080458999999999	4.203251	5.465008
NMNAT3	0.5161281	2.1177437	4.653058000000001	3.4646529999999998	2.4672816	0.5361526	3.6915145	0.23891501	3.3561137000000003	2.5969849	0.18916444	1.1699992000000001	4.02413	0.5656918000000001	0.16362981	2.5969849	4.337041999999999	0.7991509	1.3334688000000001	1.636943	0.7049559	0.55591464	3.9982402	2.3391377999999996	1.5898027	0.83196074	0.5161281	0.28699607	3.7697464999999997	0.99286234	3.3631544	1.3785836	4.154592	3.2675259999999997	4.289839700000001	3.6938212	3.9918660000000004	1.3841318999999999	1.3449053999999998	3.8708496	0.8156711	0.2751237	0.6136315999999999	1.8156192	1.2016847	0.8640384	0.42232955	2.8540468	4.936844000000001	4.448285	4.4548697	3.2479136000000004	0.9108029000000001	3.8062966	1.2265648999999998	0.9260758	0.40063623	2.3477314	4.103487	2.3701974999999997	2.7824624	3.6792474000000004	0.7485361999999999	0.7049559	4.245657	0.43305513	3.056565	0.38968015	0.4751773	0.6600121
TERT	1.1310111	1.9486238	5.9756885	1.400608	0.0	0.07052474	2.8359669999999997	0.028709901	3.4931483	4.286139	1.0909218	0.0	2.7928972	0.014497611	2.8659477000000004	1.5008324	2.1077466	4.5945295999999995	0.07052474	0.6136315999999999	0.26316009999999995	3.014414	2.4880432999999997	0.0	0.028709901	2.8032591	0.9108029000000001	0.7312613	0.07052474	0.9782476000000001	4.265274	0.17644595	0.15068647	0.16362981	0.22663648	4.147325	0.4751773	0.07052474	0.55591464	0.31045547	1.3505546	0.042784035	0.2751237	0.028709901	2.6780720000000002	0.41153392	0.15068647	3.7813343999999995	0.028709901	4.229557	0.028709901	0.21424463	0.0	0.20175661	2.9855356	2.577725	2.032156	0.21424463	0.08420307	0.44372052	0.0	0.028709901	1.9145979	1.9336054	0.07052474	0.0	3.2063751	0.0	0.9635396999999999	1.6041348
FANCI	4.114415	0.887589	4.5441437	1.7866592000000001	1.8560168999999997	4.3533015	5.4433136	2.3334424	3.8590202000000007	5.3957505	4.4521976	1.4168863999999999	4.5552487	4.6627584	5.1870203	1.2928126	5.0139154999999995	4.835392	3.7452042000000003	2.533566	2.906943	4.9836903	5.297523	3.3132277	4.5354342	4.821209	4.469285	4.6513295	0.90309465	4.3384675999999995	4.4802685	5.0656934	5.224575	5.301227	4.887536	5.37047	3.5801506	5.341983	4.4289203	5.266832	2.0179709999999997	3.6518857000000002	0.6691063	3.9726622000000003	4.702644	4.759135	4.752201	5.1965523000000005	3.8569720000000003	5.121025599999999	3.8032327000000006	4.015215	5.859246	5.304540599999999	3.9854941	5.6383324	4.6837044	4.291357499999999	5.3575907	3.3547602	5.492478	3.5460038000000003	4.6129413	5.351542	5.4476123	5.610312	5.011202	6.096322499999999	3.7474256	4.5135283
TOP2A	5.8467655	1.8875689999999998	6.2936916	1.8639895	2.1144347000000003	7.779077	7.8757496	3.4303150000000002	6.866407000000001	6.6468563	6.2526293	3.266092	6.470249	6.897739	6.270296	0.77407175	6.9749039999999995	6.701318	4.464034	2.8719041	4.512859	5.146868	7.184642	4.8430165999999994	6.629235	6.559365	4.87971	7.7405553	0.6691063	7.1752080000000005	5.909973	6.326078400000001	6.915192599999999	7.435152499999999	7.225960700000001	6.948617	5.1561985	6.885839999999999	6.6407185	7.8394070000000005	2.3277528	6.0378074999999995	1.1177393	4.7087026	5.5971875	8.031519	6.1901765	6.3173885	6.8002910000000005	7.993666	4.526058	5.9001402999999994	7.9680675999999995	6.907457400000001	5.9623055	6.7497563	7.591492999999999	6.739849	7.359007400000001	5.01973	8.36458	6.6264634000000004	7.8587229999999995	7.046545	7.732593	6.942169	7.584628599999999	8.103152	5.5825963	6.3504734
RXRG	0.7571259	1.400608	1.4436299	0.73994064	5.6985264	2.1144347000000003	0.25107563	1.1570913999999999	0.54605496	0.40063623	1.6323309	1.608838	0.31045547	0.50599486	0.20175661	4.7398777	0.45428359999999995	0.65087	2.1043677000000005	3.5197809999999996	1.8953143	0.72254187	0.11116745	2.8400102	0.83196074	0.49579449999999997	1.4803389999999998	0.34494959999999997	0.9260758	0.0	0.124459624	0.45428359999999995	0.44372052	1.2203858	0.46478304	1.1954168	2.1699827000000003	0.2987822	0.54605496	2.0942453999999997	2.6346498	3.3561137000000003	3.8309202000000004	0.94119436	0.50599486	3.8934097000000003	0.3786144	0.34494959999999997	1.1506448999999999	1.6645558999999996	2.6736007	0.78250456	0.31045547	1.2079737	3.0179202999999997	0.5161281	0.11116745	0.2987822	0.55591464	0.6960961999999999	1.3449053999999998	0.22663648	2.1985368999999997	0.2751237	1.3334688000000001	0.48553726	0.8156711	0.48553726	0.55591464	0.3786144
MND1	2.9763644	0.5656918000000001	2.9726982000000004	1.2510145000000001	0.124459624	2.3363294999999997	4.1077256	2.72683	3.1634705000000003	3.211013	3.8430114	1.4803389999999998	2.6392662999999996	3.5071885999999997	3.9963653	0.76562524	3.6713199999999997	2.687107	2.6599494999999997	1.0976788999999998	2.8197267000000004	3.6814603999999997	4.063492	1.5753416	3.291299	4.370141	3.4073784	3.8104758000000003	0.9184638	3.7104397000000002	3.5729122	3.574103	3.952353	3.692622	3.2780166	3.419522	2.8439693	3.6564891000000004	3.0338876	4.1666765	1.5607548	3.1160357000000003	1.7442220000000002	2.9049497000000004	3.058325	3.7886617	3.3117886	3.9854941	3.375711	3.5273602	2.6438859	2.577725	4.036523000000001	3.5373187000000006	2.8972402	4.833945	4.1317606	3.0089824	4.3168974	2.4356506	4.950486	3.0197616000000003	3.7538133	3.5084655	3.8836180000000002	3.1890876	3.5582623	5.408052400000001	3.3348334000000004	4.2265277
TOP1MT	4.2683077	3.419522	4.2957234	3.8166067999999997	3.6194236000000006	3.4436587999999997	3.2824125	1.2016847	4.259302	4.493167	4.464034	2.759159	3.8145629999999997	1.7655522000000001	4.6328974	3.5185032	3.4699292	1.8875689999999998	3.4763904	4.491829	3.6690164	5.062686	3.7623339	3.471203	3.5595436	4.447617	2.8953352000000003	1.4699608999999998	3.952353	4.3348556	2.5533702000000003	3.7365991999999997	3.8669366999999997	2.577725	3.6713199999999997	3.8972344	3.7082229	3.305944	4.4121413	3.9680746	3.6949286	1.5558652	1.0841396	3.7570546	5.1715584	3.2972269999999995	1.7570888	4.1448717	4.666793	3.5969307	4.1293087	3.9532883	3.9900856	3.4128146	3.5273602	4.595105	4.016153299999999	3.7147815000000004	3.9597445	3.8480358	4.7739697	4.259302	4.228041999999999	3.053134	3.7430756	3.323396	3.314667	2.8619790000000003	3.3547602	3.111082
