pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
B CELL RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050853	7.53012048192771e-05	0.00346913245085274	0.8399194693608779	3.8391853903306496	0	46	CD79A|CD79B|IGHV1OR15-1|LCK|CD19|PTPRC|IGHV1-69-2|BLK|IGHV5-51|IGHV1-18|CD38|IGHV3-74|IGHV3-49|BTK|IGHV1-24|ITK|IGHG4|CTLA4|IGHV4-61|IGHG1|PLCG2|IGHV4-4|IGHV3-73|IGHV3-43|NCKAP1L|IGHV3-21|IGHG2|LAT2|IGHV2-26|BAX|VAV3|SYK|IGLL5|IGHV3-15|PIK3CD|IGHA1|PRKCB|LIME1|IGHV1-3|MNDA
COMPLEMENT ACTIVATION, CLASSICAL PATHWAY%GOBP%GO:0006958	7.9088895919013e-05	0.00346913245085274	0.818695201942976	3.3669082562982497	0	29	IGHV1OR15-1|IGHV1-69-2|IGHV5-51|IGHV1-18|IGHV3-74|IGHV3-49|IGHV1-24|IGHG4|IGKV3-11|IGHV4-61|IGHG1|IGHV4-4|IGHV3-73|IGHV3-43|IGKV2-28|IGHV3-21|IGHG2|IGKV4-1|IGHV2-26|IGLL5|IGHV3-15|IGHA1|IGKV2D-28|IGHV1-3
PHAGOCYTOSIS, RECOGNITION%GOBP%GO:0006910	8.016032064128259e-05	0.00346913245085274	0.830334506435955	3.31687499391609	0	26	IGHV1OR15-1|IGHV1-69-2|IGHV5-51|IGHV1-18|IGHV3-74|IGHV3-49|IGHV1-24|IGHG4|IGHV4-61|IGHG1|IGHV4-4|IGHV3-73|IGHV3-43|IGHV3-21|IGHG2|IGHV2-26|IGLL5|IGHV3-15|FCN1|IGHA1|IGHV1-3
HALLMARK_E2F_TARGETS%MSIGDB_C2%HALLMARK_E2F_TARGETS	6.746272684341899e-05	0.00346913245085274	0.5587532780957	3.2369140530815397	0	200	EZH2|CDKN3|LSM8|PSMC3IP|ASF1B|KIF18B|RPA2|BRCA1|EXOSC8|MKI67|TK1|TOP2A|BIRC5|POLA2|CDKN2C|NASP|CDCA8|HELLS|RAD51AP1|RAD51C|E2F8|SMC4|TCF19|RRM2|TACC3|DLGAP5|MXD3|MCM5|CENPM|AURKA|ESPL1|DEPDC1|HMGB2|ATAD2|CDC20|CDC25B|NOP56|TMPO|WEE1|AURKB|KIF2C|MYBL2|SRSF1|LMNB1|KIF22|PPM1D|CDK1|POLD1|DNMT1|PLK4|TIMELESS|SPAG5|RACGAP1|PNN|MMS22L|MCM6|BUB1B|SRSF2|HMMR|PCNA|MCM2|CTPS1|ORC6|CDC25A|LIG1|KIF4A|SPC25|USP1|CTCF|KPNA2|CCNB2|GINS1|MCM7|ING3|PLK1|DIAPH3|PTTG1|STMN1|NUP205|LUC7L3|MELK|SUV39H1|SHMT1|MAD2L1|RNASEH2A|RFC3|CENPE|SPC24|TUBG1|CDCA3|BRCA2|DONSON|POLE|PPP1R8|RFC2|H2AFZ|HMGB3|MCM3|NCAPD2|MSH2|PSIP1|SMC3|DEK|LBR|DDX39A|SMC1A|UBE2T|UBE2S|DSCC1|RANBP1|H2AFX|CIT|XPO1|NUP107|POLD2|POP7|HN1|RQCD1|ORC2|CDKN1B|SMC6|STAG1|HNRNPD|UBR7|CHEK2|GINS3|TIPIN|MCM4|PAN2|PHF5A|AK2|RPA3|DUT
POSITIVE REGULATION OF B CELL ACTIVATION%GOBP%GO:0050871	7.31635937957273e-05	0.00346913245085274	0.662490308283276	3.20492347901268	0	59	IGHV1OR15-1|CD27|FCRL3|SASH3|PTPRC|IGHV1-69-2|IGHV5-51|IGHV1-18|CD38|IGHV3-74|IGHV3-49|BTK|IGHV1-24|IGHG4|IGHV4-61|IGHG1|IGHV4-4|IGHV3-73|IL7|IGHV3-43|NCKAP1L|IGHV3-21|IGHG2|IGHV2-26|VAV3|SYK|IGLL5|IGHV3-15|TNFSF13B|TNFRSF4|PAXIP1|IGHA1
HUMORAL IMMUNE RESPONSE MEDIATED BY CIRCULATING IMMUNOGLOBULIN%GOBP%GO:0002455	7.82901432709622e-05	0.00346913245085274	0.7594166454903599	3.19870755112688	0	32	IGHV1OR15-1|IGHV1-69-2|IGHV5-51|IGHV1-18|IGHV3-74|IGHV3-49|IGHV1-24|IGHG4|IGKV3-11|IGHV4-61|IGHG1|IGHV4-4|IGHV3-73|IGHV3-43|IGKV2-28|IGHV3-21|IGHG2|IGKV4-1|IGHV2-26|IGLL5|IGHV3-15|IGHA1|IGKV2D-28|IGHV1-3
ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0050851	6.86247598133407e-05	0.00346913245085274	0.575481128877329	3.1902447145142	0	133	CD79A|CD79B|IGHV1OR15-1|LCK|GRAP2|CD3D|CD19|CD3E|ZAP70|TRAT1|CD3G|PTPRC|CD247|CARD11|IGHV1-69-2|SLA2|BLK|IGHV5-51|FYB|PTPN22|IGHV1-18|CD38|IGHV3-74|SKAP1|WAS|LAT|TXK|IGHV3-49|BTK|IGHV1-24|ITK|IGHG4|HLA-DQB2|CTLA4|IGHV4-61|IGHG1|PLCG2|IGHV4-4|IGHV3-73|IGHV3-43|NCKAP1L|IGHV3-21|IGHG2|LAT2|CSK|PRKCQ|IGHV2-26|BAX|VAV3|SYK|IGLL5|LCP2|IGHV3-15|CD4|INPP5D|PIK3CD|BTN2A2|IGHA1|PRKCB|GATA3|LIME1|NFKBID|BTNL9|HLA-DQA2|IGHV1-3
T CELL ACTIVATION%GOBP%GO:0042110	7.004272606289841e-05	0.00346913245085274	0.593526440369718	3.1563245852922006	0	99	LCK|SPN|CCL19|CD8B|CD3D|SLAMF6|CD3E|ZAP70|CD3G|CD2|CCL21|CCR7|CD7|RHOH|PTPRC|NLRC3|PLA2G2D|CD1C|SLA2|ITGAL|FOXP3|PTPN22|LCP1|AMICA1|LY9|RIPK3|LAT|CD1D|LEF1|BATF|DOCK8|ITK|CD8A|DPP4|LILRB1|HMGB1|CD4|CASP8|ADA|MICB|PIK3CD|TNFRSF4|BLM|CTPS1|CLEC4A|CD74|NCK1|INS|LIG4|TNFSF8|JAG2|PTPN2
ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002250	7.02543206407194e-05	0.00346913245085274	0.5959261378654991	3.15612961011791	0	97	IGHV1OR15-1|SPN|CD27|SLAMF6|ZAP70|IGHV1-69-2|SLA2|IGHV5-51|MYO1G|IGHV1-18|IGHV3-74|LY9|CXCL13|TXK|IGHV3-49|BTK|CTSH|LEF1|IGHV1-24|BATF|ITK|CD8A|IGHG4|IGKV3-11|GAPT|IGHV4-61|IGHG1|IGHV4-4|IGHV3-73|IGHV3-43|IGKV2-28|IGHV3-21|JCHAIN|IGHG2|IL18|IGKV4-1|IGHV2-26|SYK|HMGB1|IGLL5|IGHV3-15|IL18BP|MICB|PIK3CD|IGHA1|IGKV2D-28|IGHV1-3|EBI3|TNFRSF11A|CD74|LIG4|MSH2|C1S|TLR4|EXOSC3|HLA-E|MSH6
LYMPHOCYTE ACTIVATION%GOBP%GO:0046649	6.780120686148211e-05	0.00346913245085274	0.5510153607501329	3.15297011630122	0	176	CD79A|CD79B|LCK|SPN|CCL19|CD8B|MS4A1|CD3D|SLAMF6|CORO1A|BANK1|CD3E|FCRL1|ZAP70|CD3G|CD2|CCL21|CCR7|CD7|RHOH|PTPRC|NLRC3|KLRK1|PLA2G2D|IL21R|CR2|CD1C|IKZF1|SLA2|ITGAL|NCR3|FOXP3|JAK3|PTPN22|LCP1|AMICA1|LY9|CD6|RIPK3|LAT|CD1D|BLNK|BTK|CD180|LEF1|BATF|DOCK8|ITK|CD8A|PRF1|GAPT|DPP4|MFNG|PLCG2|LILRB1|LAT2|SLAMF7|HMGB1|HELLS|CD4|CASP8|ADA|PTK2B|MICB|PIK3CD|TNFRSF4|DOCK10|CD40|PRKCB|BLM|CTPS1|SLAMF8|DOCK11|ITGA4|LYL1|CLEC4A|CD74|NCK1|INS|LIG4|HHEX|TNFSF8|JAG2|PTPN2
HALLMARK_G2M_CHECKPOINT%MSIGDB_C2%HALLMARK_G2M_CHECKPOINT	6.746272684341899e-05	0.00346913245085274	0.5427873682826451	3.1406975906569303	0	197	EZH2|CDKN3|HMGN2|CDC6|E2F2|RPA2|POLQ|MKI67|EWSR1|TOP2A|KIF20B|BIRC5|POLA2|CDKN2C|NASP|NDC80|MTF2|CDC45|SMC4|CASP8AP2|CCNF|CCND1|TACC3|MCM5|TROAP|AURKA|ESPL1|INCENP|NUP50|CDC20|CDC25B|TMPO|AURKB|SMC2|KIF2C|MYBL2|SRSF1|KIF11|LMNB1|E2F1|KIF22|STIL|CDK1|NUSAP1|PLK4|TTK|CDC7|DBF4|CBX1|SRSF10|CCNA2|RACGAP1|H2AFV|MCM6|NEK2|GINS2|SRSF2|HMMR|MCM2|ORC6|CDC25A|CHAF1A|BUB1|KIF4A|HIST1H2BK|CASC5|PBK|CTCF|KPNA2|CCNB2|KIF23|SFPQ|DTYMK|PLK1|PTTG1|STMN1|KIF15|TPX2|RAD54L|PRC1|UBE2C|SUV39H1|HIRA|FBXO5|ORC5|TOP1|MAD2L1|CENPA|SETD8|CENPE|KPNB1|RBL1|CENPF|BRCA2|POLE|H2AFZ|TRAIP|CUL1|HMGB3|MCM3|E2F4|TFDP1|LBR|ARID4A|DDX39A|SMC1A|UBE2S|ODF2|H2AFX|XPO1|WHSC1|RBM14|MEIS1|HN1
B CELL MEDIATED IMMUNITY%GOBP%GO:0019724	7.4861506213505e-05	0.00346913245085274	0.681209757906418	3.1345391669589002	0	47	IGHV1OR15-1|CD27|IGHV1-69-2|SLA2|IGHV5-51|IGHV1-18|IGHV3-74|IGHV3-49|IGHV1-24|BATF|IGHG4|IGKV3-11|GAPT|IGHV4-61|IGHG1|IGHV4-4|IGHV3-73|IGHV3-43|IGKV2-28|IGHV3-21|IGHG2|IGKV4-1|IGHV2-26|IGLL5|IGHV3-15|IGHA1|IGKV2D-28|IGHV1-3|CD74|LIG4|MSH2|C1S|EXOSC3|MSH6|EXO1
ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002460	7.11136395960745e-05	0.00346913245085274	0.603169211861204	3.10039319339299	0	82	IGHV1OR15-1|SPN|CD27|SLAMF6|IGHV1-69-2|SLA2|IGHV5-51|MYO1G|IGHV1-18|IGHV3-74|LY9|CXCL13|IGHV3-49|CTSH|LEF1|IGHV1-24|BATF|CD8A|IGHG4|IGKV3-11|GAPT|IGHV4-61|IGHG1|IGHV4-4|IGHV3-73|IGHV3-43|IGKV2-28|IGHV3-21|IGHG2|IL18|IGKV4-1|IGHV2-26|HMGB1|IGLL5|IGHV3-15|IL18BP|MICB|IGHA1|IGKV2D-28|IGHV1-3|EBI3|CD74|LIG4|MSH2|C1S|TLR4|EXOSC3
IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE%GOBP%GO:0016064	7.53012048192771e-05	0.00346913245085274	0.6770018728507761	3.0945058357237	0	46	IGHV1OR15-1|CD27|IGHV1-69-2|IGHV5-51|IGHV1-18|IGHV3-74|IGHV3-49|IGHV1-24|BATF|IGHG4|IGKV3-11|GAPT|IGHV4-61|IGHG1|IGHV4-4|IGHV3-73|IGHV3-43|IGKV2-28|IGHV3-21|IGHG2|IGKV4-1|IGHV2-26|IGLL5|IGHV3-15|IGHA1|IGKV2D-28|IGHV1-3|CD74|LIG4|MSH2|C1S|EXOSC3|MSH6|EXO1
