	TARGET.40.0A4HMC.01A.01R	TARGET.40.0A4HX8.01A.01R	TARGET.40.0A4HXS.01A.01R	TARGET.40.0A4HY5.01A.01R	TARGET.40.0A4I0Q.01A.01R	TARGET.40.0A4I0W.01A.01R	TARGET.40.0A4I3S.01A.01R	TARGET.40.0A4I42.01A.01R	TARGET.40.0A4I48.01A.01R	TARGET.40.0A4I4E.01A.01R	TARGET.40.0A4I4M.01A.01R	TARGET.40.0A4I4O.01A.01R	TARGET.40.0A4I5B.01A.01R	TARGET.40.0A4I65.01A.01R	TARGET.40.0A4I6O.01A.01R	TARGET.40.0A4I8U.01A.01R	TARGET.40.0A4I9K.01A.01R	TARGET.40.PAKFVX.01A.01R	TARGET.40.PAKZZK.01A.01R	TARGET.40.PALECC.01A.01R	TARGET.40.PALHRL.01A.01R	TARGET.40.PALKDP.01A.01R	TARGET.40.PALKGN.01A.01R	TARGET.40.PALWWX.01A.01R	TARGET.40.PALZGU.01A.01R	TARGET.40.PAMHLF.01A.01R	TARGET.40.PAMHYN.01A.01R	TARGET.40.PAMJXS.01A.01R	TARGET.40.PAMLKS.01A.01R	TARGET.40.PAMRHD.01A.01R	TARGET.40.PAMTCM.01A.01R	TARGET.40.PAMYYJ.01A.01R	TARGET.40.PANGPE.01A.01R	TARGET.40.PANGRW.01A.01R	TARGET.40.PANMIG.01A.01R	TARGET.40.PANPUM.01A.01R	TARGET.40.PANSEN.01A.01R	TARGET.40.PANVJJ.01A.01R	TARGET.40.PANXSC.01A.01R	TARGET.40.PANZHX.01A.01R	TARGET.40.PANZZJ.01A.01R	TARGET.40.PAPFLB.01A.01R	TARGET.40.PAPIJR.01A.01R	TARGET.40.PAPKWD.01A.01R	TARGET.40.PAPXGT.01A.01R	TARGET.40.PARBGW.01A.01R	TARGET.40.PARDAX.01A.01R	TARGET.40.PARFTG.01A.01R	TARGET.40.PARGTM.01A.01R	TARGET.40.PARJXU.01A.01R	TARGET.40.PARKAF.01A.01R	TARGET.40.PASEBY.01A.01R	TARGET.40.PASEFS.01A.01R	TARGET.40.PASFCV.01A.01R	TARGET.40.PASNZV.01A.01R	TARGET.40.PASRNE.01A.01R	TARGET.40.PASSLM.01A.01R	TARGET.40.PASUUH.01A.01R	TARGET.40.PASYUK.01A.01R	TARGET.40.PATAWV.01A.01R	TARGET.40.PATEEM.01A.01R	TARGET.40.PATJVI.01A.01R	TARGET.40.PATKSS.01A.01R	TARGET.40.PATMIF.01A.01R	TARGET.40.PATMPU.01A.01R	TARGET.40.PATMXR.01A.01R	TARGET.40.PATPBS.01A.01R	TARGET.40.PATUXZ.01A.01R	TARGET.40.PAUBIT.01A.01R	TARGET.40.PAUTWB.01A.01R	TARGET.40.PAUTYB.01A.01R	TARGET.40.PAUUML.01A.01R	TARGET.40.PAVALD.01A.01R	TARGET.40.PAVCLP.01A.01R
Adipocytes	0	0.006	0	0.0065	0.0014	0	0.0363	0	0.0057	0.0064	0.0104	0	0	0	0.044	0	0	0	0.0024	0	9e-04	0.0011	0.0047	0	0	0.0056	0.001	0	0	0	0	0	0	0.0029	0.0042	0.0133	0.001	0	0.0015	0.0426	8e-04	0	0	0	0.0916	0	0	0.0921	0	0.0013	0.0071	0.0708	0	0	0	0	0.0045	0	0.0025	0	0.0454	0	0.0036	0.0027	0	0	0.0205	0	0	0	0	0	0	0.0043
Astrocytes	0	0.004	0	0	0	0	0	0	0	0	0.007	0.0783	0.0094	0	0	0	0	0	0.0321	0	0	0	0	0	0.0027	0	0.0063	0	0	0.0124	0	0	0	0	0	0	0	0	0.0448	0	0	0.0051	0	0	0	0	0	0	0	0	0	0.0095	0	0	0	0	0	0	0	0.023	0.0089	0	0	0	0	0.001	0	0	0	0	0	0	0	0
B-cells	0	0	0	0.0192	0	0	0	0	0	0	0	0	0	0	0	0	0.0095	0	0	0	0	0	0	0.0033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0551	0	0	0.005	0	0	0.017	0	0	0	0.0017	0	0	0	0	0.0729	0.0129	0	0	0.0598	0.0644	0	0	0	0	8e-04	0.0081	0	0	0	0	0	0.0087	0	0	0
Basophils	0.099	0.0854	0.0853	0.0916	0.0847	0	0.1554	0.1349	0.126	0.0527	0.0048	0.1816	0.0601	0.2152	0	0.2198	0	0.2505	0.0955	0.1339	0.3332	0.2264	0.2928	0.1065	0.0174	0.0651	0	0.0725	0.2457	0.0417	0.0071	0.1177	0.0215	0	0.0506	0	0.0077	0.0575	0.0692	0.037	0.0133	0.1909	0.0199	0.1285	0.0089	0.0836	0.0093	0	0.0706	0.2888	0.0519	0.0198	0.067	0.0017	0.0555	0.0546	0.094	0.2949	0.0292	0.0944	0	0.0203	0.1368	0.1367	0.0639	0.0521	0	0.2794	0.0618	0.1386	0.015	0.1069	0.0511	0
CD4+ T-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4+ Tcm	0.0095	0	0	0.0041	0	0.022	0	0.043	0.0497	0	0.0425	0	0	0	0	0	0.0042	0.0054	0	0	0.0133	0	0.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0088	0.0057	0	0	0	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0257	0	0	0.0212	0	0.0303	0	0.0047	0.0048	0.0145	0.0367	0
CD4+ Tem	0.0212	0	0	0	0	0	0	0.004	0	0	0.0169	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	4e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105	0	0	0	0.0447	0	0.0057	0.0244	0	0.0341	0.0943	0	0	0	0	0	0.0123	0	0.0051	0.0675	0.0115	0	0	0	0.0345	0.0108	0	0	0	0	0	0	0.1322	0	0	0
CD4+ memory T-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0.0165	0	0	0.0045	0	0.0104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0169	0.013	0	0.0144	0.0051	0	0.004	0.0022	0.0119	0.0192	0	0.0143	0.0047	0	0	0	0.0061	0.0033	0	0	0	0	0	0.0195	0	0	0
CD4+ naive T-cells	0	0	0	0	0	0.0039	0	0	0	0	0	0	0	0	0	0	0.0143	0	0	0	0	0	0	0.0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0053	0	0	0	0	0	0	0	0	0	0.0053	0	0	0	0	0	0	0	0	0	0.0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD8+ T-cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	4e-04	0	0.0363	0.0657	0	0	0.0057	0	0	0.0111	0	0	0	0	0	0.0017	0	0.0172	0
